year,vingt - deux livres
1908,4.5026375738999036e-08
1909,5.641440870007841e-08
1910,2.6542613440483365e-08
1911,4.110267159962433e-08
1912,5.172949707477059e-08
1913,2.7500171029259945e-08
1914,2.5853077900706012e-08
1915,9.611192197667151e-08
1916,3.3861411452562606e-08
1917,2.2915943365120484e-08
1918,1.2637696222839168e-08
1919,5.675569880736475e-08
1920,4.8391582962992175e-08
1921,3.509923196531872e-08
1922,1.628777301920792e-08
1923,2.8155394460327443e-08
1924,1.7098868099196807e-08
1925,2.6807409625462242e-08
1926,3.70371111557688e-08
1927,3.702804107774682e-08
1928,3.036396134525887e-08
1929,3.579361873562448e-08
1930,8.719345245822296e-08
1931,2.6519947127212617e-08
1932,1.455458420451805e-08
1933,1.6494370314035223e-08
1934,2.7875769248453253e-08
1935,3.31593490443538e-08
1936,4.295133837484144e-08
1937,1.9526627426103005e-08
1938,2.5819399951387823e-08
1939,4.235543826780486e-08
1940,2.2516919884196795e-08
1941,1.968578189348591e-08
1942,2.0186373461683615e-08
1943,2.2479609507186638e-08
1944,4.259340613543827e-08
1945,5.526812785205948e-08
1946,2.3096038415104658e-08
1947,1.4484610844078816e-08
1948,2.1657717397260967e-08
1949,1.9468934908672964e-08
1950,3.999339792670753e-08
1951,1.5338777359374944e-08
1952,1.7520424222539077e-08
1953,8.335782730739538e-09
1954,2.2694118584354328e-08
1955,1.973686991618706e-08
1956,1.929378257159442e-08
1957,2.0535431133339443e-08
1958,2.3787187330981396e-08
1959,3.25827803626666e-08
1960,3.3674809052364196e-08
1961,3.604020548664266e-08
1962,2.378047703199826e-08
1963,2.6389076923649668e-08
1964,2.8858646583529435e-08
1965,2.835915735577288e-08
1966,2.3220183775762848e-08
1967,3.856639452237687e-08
1968,2.6186951274098647e-08
1969,3.1953541368423544e-08
1970,2.9335688545018e-08
1971,2.4931863351618233e-08
1972,1.7524312112549012e-08
1973,2.4373126183974136e-08
1974,2.425523071281077e-08
1975,3.915651591857028e-08
1976,5.3015490664165554e-08
1977,2.79270420122657e-08
1978,1.6358674415073438e-08
1979,3.0918937410362446e-08
1980,1.3775667717652595e-08
1981,1.3925651742852097e-08
1982,1.3637428963875209e-08
1983,1.5272249243025726e-08
1984,2.993022008013213e-08
1985,1.718187547794514e-08
1986,1.7775567684452653e-08
1987,2.1483773982033938e-08
1988,2.9636160803203637e-08
1989,1.8083419206504914e-08
1990,1.9700985731674336e-08
1991,2.1218752976892574e-08
1992,2.1122624760394615e-08
1993,2.9117144140222706e-08
1994,1.9629458392067534e-08
1995,2.7865631579970795e-08
1996,2.916765967642121e-08
1997,1.4132449044357287e-08
1998,2.0810239476087844e-08
1999,1.7946513941602404e-08
2000,3.0831058317470905e-08
2001,2.2931839538387067e-08
2002,1.0501361558112876e-08
2003,2.7227592624967656e-08
2004,2.4942598708665997e-08
2005,4.610639092739177e-08
2006,2.916822056109325e-08
2007,2.094251527751112e-08
2008,2.4638840856461286e-08
2009,1.0431393748788764e-08
2010,1.4495215416854279e-08
2011,1.3428565148743132e-08
2012,2.1372520642159998e-08
2013,1.54009722197479e-08
2014,1.5328992741814318e-08
2015,1.8385624300787384e-08
2016,1.375492804378542e-08
2017,1.812862926442449e-08
2018,1.4038469942079246e-08
2019,1.8694507775141034e-08
