year,quels_DET livres_NOUN
1887,7.508263344391253e-08
1888,7.291707149192916e-08
1889,6.202485369755095e-08
1890,9.962667668617087e-08
1891,9.370103182249068e-08
1892,9.277398405060922e-08
1893,7.205347474226187e-08
1894,7.435816229417469e-08
1895,8.907549542414017e-08
1896,7.60716734049538e-08
1897,8.273933183033932e-08
1898,9.788954002942774e-08
1899,1.0004917072592434e-07
1900,9.75917977541485e-08
1901,9.892068142391963e-08
1902,9.03492267667616e-08
1903,9.072369877571873e-08
1904,6.879520242364379e-08
1905,8.979720789170642e-08
1906,8.74511369985953e-08
1907,1.1108541997373322e-07
1908,1.3358978456778914e-07
1909,1.1442046066179046e-07
1910,1.2665636717201778e-07
1911,9.09783999247793e-08
1912,1.0470936739892522e-07
1913,6.84085685875857e-08
1914,1.1853236614456364e-07
1915,6.832842025517039e-08
1916,8.570220444426013e-08
1917,1.1076088313188848e-07
1918,6.087779347296873e-08
1919,1.0865260691161893e-07
1920,7.345064823027769e-08
1921,8.02711213054863e-08
1922,1.1140682509847011e-07
1923,1.1465223792583856e-07
1924,1.32783732453845e-07
1925,1.2427941342707527e-07
1926,1.1814906741847153e-07
1927,1.3379070296082318e-07
1928,1.3482728533631416e-07
1929,1.1474618588636076e-07
1930,9.663315125862937e-08
1931,1.1519410492155657e-07
1932,8.548438223954236e-08
1933,1.2044195507598943e-07
1934,8.147474694908396e-08
1935,9.813992818408224e-08
1936,1.0548501805374144e-07
1937,8.687871755341803e-08
1938,7.649476607696215e-08
1939,7.494084819370528e-08
1940,1.0143131490281121e-07
1941,1.1215709960765707e-07
1942,7.585529360198962e-08
1943,7.838734994436436e-08
1944,4.4984606262232774e-08
1945,1.1763921747842687e-07
1946,9.466351258424766e-08
1947,7.867774876046951e-08
1948,8.588791011732155e-08
1949,7.460926454427863e-08
1950,8.082874813908347e-08
1951,8.42250766908137e-08
1952,7.065018792218325e-08
1953,8.080370506036161e-08
1954,8.404381190985077e-08
1955,8.82247128686231e-08
1956,8.8955642851829e-08
1957,8.128234973980852e-08
1958,8.685855590329083e-08
1959,7.518225508817977e-08
1960,9.896791475227928e-08
1961,9.518978139055889e-08
1962,8.625061020950398e-08
1963,7.823924619287936e-08
1964,7.969998705448234e-08
1965,9.576075754580415e-08
1966,7.311578720248235e-08
1967,8.775997173415817e-08
1968,9.656544186498195e-08
1969,9.628526242977387e-08
1970,8.691590380749403e-08
1971,1.1304474512030538e-07
1972,7.900426268747651e-08
1973,8.490333947008821e-08
1974,8.157078745796298e-08
1975,8.110301763508687e-08
1976,7.827531689486023e-08
1977,7.11090599736508e-08
1978,7.722768557982818e-08
1979,7.724604778047706e-08
1980,8.811983676082491e-08
1981,6.831593424294624e-08
1982,8.628428105339481e-08
1983,8.65198312993698e-08
1984,9.278413770630323e-08
1985,1.0226448665662247e-07
1986,9.531231981441124e-08
1987,1.1549443712510765e-07
1988,1.1933142118891737e-07
1989,1.179946274021404e-07
1990,8.554381736303185e-08
1991,1.0433408093035723e-07
1992,8.320015609797338e-08
1993,1.0690670748658704e-07
1994,8.228885306493794e-08
1995,9.868860217920883e-08
1996,9.074757034710501e-08
1997,6.76080134098811e-08
1998,8.058138334376963e-08
1999,8.866190448486577e-08
2000,7.908276167256645e-08
2001,6.61562973292007e-08
2002,7.141391122900131e-08
2003,7.417122915853724e-08
2004,9.161965763837543e-08
2005,9.638024067726292e-08
2006,9.141715473504064e-08
2007,9.946253598513977e-08
2008,8.812900453847305e-08
2009,6.627787563218135e-08
2010,7.369117049904617e-08
2011,6.883149339387273e-08
2012,8.204249013488152e-08
2013,8.03268012106173e-08
2014,8.142074037209568e-08
2015,7.536356427806368e-08
2016,9.507450471346601e-08
2017,7.999643969469616e-08
2018,9.13839208749323e-08
2019,7.908061938621813e-08
