year,ayez_VERB assez_ADV
1976,5.7135269293517865e-09
1977,5.289103821581875e-09
1978,1.6039596650863075e-08
1979,1.1703946811714161e-08
1980,9.09624131573139e-09
1981,1.012087885721158e-08
1982,3.1037510339615437e-09
1983,3.78918940668882e-09
1984,9.278413592994639e-09
1985,7.218669439978953e-09
1986,1.079007377891017e-08
1987,1.0388388482773792e-08
1988,5.396898372644898e-09
1989,7.683371050504206e-09
1990,7.628111253765724e-09
1991,6.447611611282156e-09
1992,8.264916362410446e-09
1993,4.4313659408601325e-09
1994,5.8024192117756e-09
1995,3.795715741716776e-09
1996,6.4057106285986265e-09
1997,4.794894259418925e-09
1998,1.1920323395031573e-08
1999,8.226361813967742e-09
2000,3.976228346580513e-09
2001,6.133696439647451e-09
2002,7.448076710936391e-09
2003,9.167230363704704e-09
2004,4.404791198453495e-09
2005,4.954124666056714e-09
2006,8.235780224463696e-09
2007,7.988959105365012e-09
2008,1.1069342858993636e-08
2009,1.3827758715834193e-08
2010,1.4643758206034363e-08
2011,1.5678285114617552e-08
2012,1.804253879633677e-08
2013,1.9523874961180354e-08
2014,2.3819896499688298e-08
2015,2.2165753343905692e-08
2016,2.1334802369210593e-08
2017,1.9370206771895937e-08
2018,2.0135439759982887e-08
2019,1.8112013000504135e-08
