year,soixante - dix lieues
1942,1.345758171567013e-08
1943,3.2113727232996325e-09
1944,7.098901022573045e-09
1945,4.805924103123971e-09
1946,4.619207683020932e-09
1947,3.950348492764988e-09
1948,4.8128261376234605e-09
1949,1.4060897335355094e-08
1950,7.05765845765427e-09
1951,5.899529753605748e-09
1952,7.008169156108579e-09
1953,5.954130521956813e-09
1954,3.242016877180731e-09
1955,3.1163478464435457e-09
1956,8.682201624310437e-09
1957,1.9557553354587753e-09
1958,7.319134631700308e-09
1959,7.716973726701326e-09
1960,2.2194759807803166e-08
1961,1.3802631926296272e-08
1962,1.53873678243599e-08
1963,7.132183288405258e-09
1964,5.369050537495923e-09
1965,2.413545363566527e-09
1966,8.55480486450233e-09
1967,1.4122905511726458e-08
1968,1.5316896195827212e-08
1969,1.597677012910026e-08
1970,8.598391332270694e-09
1971,9.63276480803188e-09
1972,5.653004286898522e-09
1973,1.8279845193092115e-08
1974,8.085077496389204e-09
1975,1.389424753028834e-08
1976,1.0729325872205209e-08
1977,1.1690389989382766e-08
1978,4.5804289250384045e-09
1979,9.662167954616052e-09
1980,6.26166718475929e-09
1981,3.481412935713024e-09
1982,6.136843033743844e-09
1983,5.553545179282082e-09
1984,4.457691993309254e-09
1985,9.912620946295192e-09
1986,5.266834968153944e-09
1987,1.0741887379595028e-08
1988,2.6343254244665104e-09
1989,4.2194647775772864e-09
1990,2.9849978044893533e-09
1991,1.6717804030008665e-08
1992,8.449050348247056e-09
1993,1.5165179334530876e-08
1994,9.237392184502369e-09
1995,2.3715431840543033e-09
1996,7.58359153252286e-09
1997,3.1405442690868313e-09
1998,4.162048039546562e-09
1999,7.976228566519694e-09
2000,6.744293568061721e-09
2001,9.077187002048959e-09
2002,7.637353860445728e-09
2003,7.26069160350562e-09
2004,8.154311004204828e-09
2005,5.395428992471807e-09
2006,5.384902301841521e-09
2007,5.23562881937778e-09
2008,1.5341164782967098e-08
2009,7.3019754687209115e-09
2010,6.2122351707216694e-09
2011,7.553567549223317e-09
2012,1.574817432015152e-08
2013,8.932564021790768e-09
2014,1.4849962148844043e-08
2015,1.9611333001989806e-08
2016,2.1320138543501344e-08
2017,8.924863514891967e-09
2018,1.4038469942079246e-08
2019,1.727825704733732e-08
