year,vingt - deux lettres
1888,7.687921410592935e-09
1889,7.328905660131113e-08
1890,1.0843462305842877e-07
1891,4.989317003989413e-08
1892,1.0375782399929534e-07
1893,3.736117992758636e-08
1894,2.018054728880614e-08
1895,2.7896222221102107e-08
1896,1.3008708554806958e-08
1897,3.671849668762661e-08
1898,1.623074069589947e-08
1899,3.11120926799191e-08
1900,4.588803415028764e-08
1901,6.907427341218408e-08
1902,3.78500688569261e-08
1903,2.205567117830043e-08
1904,2.6708519951235132e-08
1905,2.5070741982435862e-08
1906,3.632420425558891e-08
1907,2.8418447817202264e-08
1908,5.696107818753404e-08
1909,7.825224379587326e-08
1910,3.185113706116738e-08
1911,3.053341335323978e-08
1912,2.184134251237424e-08
1913,2.5159730132617852e-08
1914,3.102369339202937e-08
1915,9.09166830709296e-09
1916,7.256016565371226e-09
1917,5.427460525453398e-08
1918,2.0220314311814036e-08
1919,2.4323871361531246e-08
1920,4.004820775005413e-08
1921,1.922100700824103e-08
1922,1.4658995795002738e-08
1923,1.8770263565670575e-08
1924,2.564830126061679e-08
1925,4.5085188915550134e-08
1926,2.0987695137364426e-08
1927,6.788473827512576e-08
1928,3.2894291734919534e-08
1929,1.3576889834610029e-08
1930,3.3714801617179546e-08
1931,1.6417110115796163e-08
1932,7.277292102259025e-09
1933,2.664475218239204e-08
1934,2.1238681369162293e-08
1935,3.8464843754582034e-08
1936,2.2817898237548206e-08
1937,8.508030746590123e-08
1938,2.0081756701983977e-08
1939,2.5413263826656873e-08
1940,1.97023051207168e-08
1941,1.2467660726045438e-07
1942,2.0186373461683615e-08
1943,1.6056864282631977e-08
1944,1.0648351533859568e-08
1945,2.4029620959709064e-08
1946,2.771524609812559e-08
1947,7.769018506298409e-08
1948,5.2941087957947275e-08
1949,3.569304762862657e-08
1950,3.764084466340023e-08
1951,1.8878495211538393e-08
1952,1.8688451675075157e-08
1953,2.9770651721605645e-08
1954,2.8097479898292477e-08
1955,9.349043317286032e-09
1956,1.5435025479959563e-08
1957,2.5424819583008684e-08
1958,2.3787187330981396e-08
1959,1.543394778646956e-08
1960,2.3725433617727276e-08
1961,2.6838451183675005e-08
1962,3.0774734705030227e-08
1963,1.4264366465788214e-08
1964,2.080507027768519e-08
1965,3.378963409073066e-08
1966,4.155191019039606e-08
1967,2.444348901065041e-08
1968,2.8657418660316125e-08
1969,2.596225190387713e-08
1970,4.299195854873261e-08
1971,4.363075856161913e-08
1972,4.748523568798291e-08
1973,1.88891715602324e-08
1974,2.301137397298092e-08
1975,1.8315144512115467e-08
1976,3.3450250569444506e-08
1977,3.507116952405909e-08
1978,2.224779738213556e-08
1979,2.3189203224305288e-08
1980,4.884100635038635e-08
1981,3.481412891304103e-08
1982,7.432398696494147e-08
1983,4.72051340238977e-08
1984,2.3562087281270294e-08
1985,4.2293848201424566e-08
1986,2.567582013668357e-08
1987,2.6183349710606763e-08
1988,2.9636160303603276e-08
1989,3.978352491884607e-08
1990,1.910398506055344e-08
1991,1.6717804363075572e-08
1992,3.6813719850314897e-08
1993,4.488892857423821e-08
1994,2.8866850243502995e-08
1995,4.2687777090932855e-08
1996,4.025136962626519e-08
1997,3.663968195510847e-08
1998,4.682304077796573e-08
1999,4.486628624178479e-08
2000,3.902055611959554e-08
2001,4.4430439327669546e-08
2002,2.864007697667148e-08
2003,2.9496560305375397e-08
2004,3.741389986711141e-08
2005,2.844862567741302e-08
2006,3.8591800699538936e-08
2007,3.53404938646662e-08
2008,3.7190703183753726e-08
2009,2.190592707229655e-08
2010,4.141490173026341e-08
2011,3.189284114579749e-08
2012,2.5871999653759303e-08
2013,3.234204143387487e-08
2014,3.8082968334407497e-08
2015,2.5004448928056533e-08
2016,3.851379731800719e-08
2017,1.9802040396310616e-08
2018,2.12009546585179e-08
2019,2.6059010949097683e-08
