year,cents_ADJ livres_NOUN
1885,3.0133346626826096e-06
1886,2.4639325602038298e-06
1887,2.505801376173622e-06
1888,4.68761663796613e-06
1889,3.0548806080332724e-06
1890,2.123621243299567e-06
1891,2.4247533474408556e-06
1892,2.704863163671689e-06
1893,2.327265519852517e-06
1894,2.139372554665897e-06
1895,2.1149410258658463e-06
1896,2.986845174746122e-06
1897,2.3569057248096215e-06
1898,1.928367282744148e-06
1899,2.0330433017079486e-06
1900,2.0452748685784172e-06
1901,2.133780526492046e-06
1902,1.513840516054188e-06
1903,1.7701921706247958e-06
1904,1.7193425492223469e-06
1905,2.143263145626406e-06
1906,1.8596226709632901e-06
1907,2.374450787101523e-06
1908,1.6330368453054689e-06
1909,1.8598825590743218e-06
1910,1.6695126987542608e-06
1911,1.8451057712809416e-06
1912,1.6321116618200904e-06
1913,1.3554441693486297e-06
1914,1.3058649983577197e-06
1915,1.1097478136434802e-06
1916,1.1108323860753444e-06
1917,1.1580543741729343e-06
1918,1.246271835952939e-06
1919,1.4401074395209434e-06
1920,1.2683487966569373e-06
1921,1.3161435390429688e-06
1922,1.215883798977302e-06
1923,1.2356963452475611e-06
1924,1.0867639730349765e-06
1925,1.2405944289639592e-06
1926,9.351610401608923e-07
1927,1.2453683666535653e-06
1928,1.2522941688075662e-06
1929,1.222102582687512e-06
1930,1.0850222906810814e-06
1931,9.945471219907631e-07
1932,1.2844576531279017e-06
1933,9.34858974233066e-07
1934,1.2916143532493152e-06
1935,1.1118536349385977e-06
1936,1.0560626151345787e-06
1937,1.1457917707957677e-06
1938,9.710945505503332e-07
1939,8.136435099004302e-07
1940,8.799166835160577e-07
1941,1.0536864465393592e-06
1942,9.80050458565529e-07
1943,1.306455828853359e-06
1944,8.514943488080462e-07
1945,7.799044396961108e-07
1946,1.0287695886290749e-06
1947,6.830658776380005e-07
1948,5.066299877398706e-07
1949,6.430140615520941e-07
1950,8.763537948652811e-07
1951,8.283909096462594e-07
1952,6.885757102281787e-07
1953,6.636677767346555e-07
1954,6.557371534654521e-07
1955,6.513611765512906e-07
1956,6.00886664869904e-07
1957,7.942699085106142e-07
1958,7.577374958600558e-07
1959,7.16169097358943e-07
1960,8.374208277928119e-07
1961,7.510960244871967e-07
1962,8.035258929339761e-07
1963,8.244217610808846e-07
1964,9.922952131091733e-07
1965,1.1124664069939172e-06
1966,8.092588359431829e-07
1967,1.1014369647455169e-06
1968,1.034822162182536e-06
1969,1.5927944332361221e-06
1970,1.0613857739372179e-06
1971,9.62421836447902e-07
1972,7.613137995576835e-07
1973,1.0442007578603807e-06
1974,8.089572247627075e-07
1975,1.4387218243427924e-06
1976,8.918815410652314e-07
1977,9.114888825934031e-07
1978,7.984154990481329e-07
1979,8.520473215867241e-07
1980,6.74827390412247e-07
1981,7.242754236358451e-07
1982,6.846875066912617e-07
1983,5.424856226454722e-07
1984,5.364082653613877e-07
1985,6.851720399936312e-07
1986,6.354154606924567e-07
1987,6.135260264272802e-07
1988,7.417737037940242e-07
1989,1.1936665487155551e-06
1990,5.862748366780579e-07
1991,7.555428851446777e-07
1992,6.595403192477534e-07
1993,7.599792866130883e-07
1994,6.651682724623242e-07
1995,6.447294254030567e-07
1996,7.80429104452196e-07
1997,7.921165661173291e-07
1998,8.554023906981456e-07
1999,5.776734042228782e-07
2000,6.233842668734724e-07
2001,5.993497893541644e-07
2002,8.600337650932488e-07
2003,6.579571163456421e-07
2004,8.298626994474034e-07
2005,5.242364409241418e-07
2006,7.119831479940331e-07
2007,6.710725415359775e-07
2008,5.262195372779388e-07
2009,6.022227125868085e-07
2010,5.030839815844956e-07
2011,5.495047616932425e-07
2012,6.890207373544399e-07
2013,7.834652251403895e-07
2014,7.518425491070957e-07
2015,1.0668377399269957e-06
2016,9.391455932927784e-07
2017,5.479001288222207e-07
2018,7.264247301463911e-07
2019,8.295812108372047e-07
