year,avais_VERB assez_ADV
1916,4.0653610255958483e-08
1917,3.947912929902486e-08
1918,5.054005569604669e-08
1919,4.327688785110695e-08
1920,9.389567168227586e-08
1921,5.9067428281878165e-08
1922,8.263288009402459e-08
1923,5.732611896291928e-08
1924,8.379555538340355e-08
1925,6.598907020816114e-08
1926,7.244990030130793e-08
1927,9.365349029621939e-08
1928,8.455270261720216e-08
1929,5.570203143179242e-08
1930,6.932378227020308e-08
1931,6.044839295782367e-08
1932,9.315606064319581e-08
1933,8.373583426646292e-08
1934,7.06913212411564e-08
1935,8.258115968828861e-08
1936,7.032334536916096e-08
1937,6.673292318737367e-08
1938,8.427389275311725e-08
1939,6.882322622914216e-08
1940,4.057252667166722e-08
1941,8.854507882460894e-08
1942,1.153000468434584e-07
1943,8.129058670647282e-08
1944,8.675602458652065e-08
1945,8.931866801731303e-08
1946,1.0023195073927127e-07
1947,8.46381809083141e-08
1948,1.2176514019301976e-07
1949,9.915178367236877e-08
1950,8.401935502888591e-08
1951,1.3753208349953638e-07
1952,1.0333907596304925e-07
1953,9.480967833042087e-08
1954,1.192249357018227e-07
1955,1.0511880788044436e-07
1956,9.68046691696145e-08
1957,9.18843952035786e-08
1958,1.2987422337573662e-07
1959,1.0153479479413363e-07
1960,1.1280958034376454e-07
1961,1.1325499826853047e-07
1962,1.6615925346741278e-07
1963,1.306142820567402e-07
1964,1.3080531857667665e-07
1965,1.1053527515514361e-07
1966,1.3681514587915444e-07
1967,1.3706332424590073e-07
1968,1.1408196343154486e-07
1969,1.021895528197092e-07
1970,9.979233084322914e-08
1971,1.1818314504807859e-07
1972,8.823852937211996e-08
1973,1.1081539952328967e-07
1974,1.2094979240373505e-07
1975,9.766630881813398e-08
1976,7.998937689990271e-08
1977,8.932708084330443e-08
1978,9.920787391592967e-08
1979,9.070558348867053e-08
1980,1.0574380127081895e-07
1981,1.1322733683982733e-07
1982,1.0366528613303672e-07
1983,9.599280303973501e-08
1984,1.1250076425994848e-07
1985,1.1970961111273937e-07
1986,9.890901253584161e-08
1987,1.0816145845637948e-07
1988,1.3132452636455128e-07
1989,1.3500780937647505e-07
1990,1.2204978361296526e-07
1991,1.3188297032229457e-07
1992,1.113008707420704e-07
1993,1.2850961184085463e-07
1994,1.0655351445620909e-07
1995,9.814635859584087e-08
1996,1.0676184558633395e-07
1997,1.0740563993749674e-07
1998,1.1348147666012665e-07
1999,1.0694270713429432e-07
2000,1.1972865365805774e-07
2001,1.2048332109770854e-07
2002,1.3318913261173293e-07
2003,1.2667445048464288e-07
2004,1.4447715557253105e-07
2005,1.29257614389644e-07
2006,1.7048064648861327e-07
2007,2.2648698916327703e-07
2008,2.12446238379016e-07
2009,2.212441359006334e-07
2010,3.1413222245646466e-07
2011,3.2159604756998306e-07
2012,4.32680508311023e-07
2013,4.867023335464182e-07
2014,5.086630494588462e-07
2015,4.510731059781392e-07
2016,4.660515173782187e-07
2017,4.973363729732228e-07
2018,5.480453637574101e-07
2019,4.7677960424152843e-07
