year,vingt - six livres
1942,1.345758215975934e-08
1943,3.2113727232996325e-09
1944,1.419780204514609e-08
1945,2.6432582345137234e-08
1946,1.2317887154722484e-08
1947,6.58391385854884e-09
1948,8.42244596288566e-09
1949,7.571252291782571e-09
1950,1.176276454017966e-08
1951,1.0619153556490346e-08
1952,1.7520422890271448e-08
1953,1.3099087148304989e-08
1954,5.4033617580273585e-09
1955,9.349043317286032e-09
1956,7.717512739979782e-09
1957,2.3469064025505304e-08
1958,1.646805236621418e-08
1959,7.716973726701326e-09
1960,1.224538548338927e-08
1961,9.201754525012262e-09
1962,1.468794175174537e-08
1963,1.569080371188747e-08
1964,1.5436020461834232e-08
1965,1.2067726373743426e-08
1966,1.4665379632905484e-08
1967,2.172754598461779e-08
1968,1.5810989850706392e-08
1969,2.7460073326324164e-08
1970,2.2760447748737533e-08
1971,6.23296569912668e-09
1972,1.0740708211720573e-08
1973,2.1935813609985644e-08
1974,1.2438579943818695e-08
1975,1.4525803671006088e-08
1976,8.835914999671957e-09
1977,1.1690389989382766e-08
1978,1.504998081713893e-08
1979,1.2882890310095263e-08
1980,1.0644834402828707e-08
1981,2.0888478502456564e-08
1982,8.864328826518886e-09
1983,1.3883862948205206e-08
1984,1.1462637061754322e-08
1985,1.7842716859561847e-08
1986,9.216961416314007e-09
1987,1.2755991152246793e-08
1988,9.220139318699694e-09
1989,1.4466735365203931e-08
1990,1.313399056179776e-08
1991,3.857954844477263e-09
1992,1.3880582017122833e-08
1993,1.2132143289989017e-08
1994,9.237391906946613e-09
1995,8.300401255212364e-09
1996,1.4000477221998153e-08
1997,9.421632363171284e-09
1998,1.5607680481366515e-08
1999,5.982171202845166e-09
2000,7.226029108409193e-09
2001,1.1465919769193533e-08
2002,1.2888034639502166e-08
2003,1.2252417525004944e-08
2004,1.1991634352170877e-08
2005,1.3243325214240542e-08
2006,1.929589932281317e-08
2007,1.3525374598089002e-08
2008,9.76255931650627e-09
2009,8.866684497732535e-09
2010,7.247607791693866e-09
2011,5.874997377475211e-09
2012,9.373912757126845e-09
2013,8.624544634017184e-09
2014,9.10159014821943e-09
2015,1.005080815796866e-08
2016,1.123319144646917e-08
2017,3.0679219165108407e-09
2018,5.443488104717176e-09
2019,9.91375387338067e-09
