year,soixante - dix livres
1902,3.676863613577552e-08
1903,3.9342548774357056e-08
1904,3.026965700314577e-08
1905,4.900190475609634e-08
1906,5.27836121477776e-08
1907,2.7281711112436824e-08
1908,2.8209294455905365e-08
1909,2.1231228330975682e-08
1910,2.0054418792270212e-08
1911,3.757958699779351e-08
1912,3.4486330180438785e-08
1913,3.159594125223819e-08
1914,3.471699017154606e-08
1915,3.6366671452015e-08
1916,1.2093360979292811e-08
1917,2.2915944253298903e-08
1918,1.7692775244881886e-08
1919,1.7229409010610652e-08
1920,1.91897662205065e-08
1921,1.754961509448094e-08
1922,9.772664455454105e-09
1923,1.994340514954729e-08
1924,1.7098867433062992e-08
1925,2.4370372386783856e-08
1926,1.6049414242047533e-08
1927,1.4811216253463044e-08
1928,3.162912776133453e-08
1929,1.3576889834610029e-08
1930,1.6276111125534953e-08
1931,2.02056735787437e-08
1932,1.2128820614520919e-08
1933,2.0300763736713634e-08
1934,3.5840276524368164e-08
1935,1.0610991196813302e-08
1936,1.8791210365520783e-08
1937,2.0921385512906454e-08
1938,1.147528916334295e-08
1939,1.0165305042164618e-08
1940,1.6887689469058387e-08
1941,1.64048170603337e-08
1942,3.3643953400996907e-08
1943,2.569098178639706e-08
1944,1.7747252556432613e-08
1945,2.1626657797924054e-08
1946,2.771524520994717e-08
1947,1.9751741242579612e-08
1948,1.6844891703726717e-08
1949,1.081607514663574e-08
1950,1.5291593769006795e-08
1951,1.5338777359374944e-08
1952,2.3360565037933156e-08
1953,1.5480740245266134e-08
1954,1.2968067508722925e-08
1955,9.349043317286032e-09
1956,9.64689128579721e-09
1957,1.2712409791504342e-08
1958,1.6468053587459508e-08
1959,1.457650622427309e-08
1960,2.3725434394883393e-08
1961,1.6103070876738457e-08
1962,1.8884495966986492e-08
1963,1.925689407933362e-08
1964,2.2147333467170682e-08
1965,1.9308362908532217e-08
1966,1.5887493987065682e-08
1967,2.661624365352111e-08
1968,2.3716484331970378e-08
1969,3.5448458390874293e-08
1970,1.770257185285118e-08
1971,1.6998997764972046e-08
1972,1.6393712498619095e-08
1973,2.0107828291315855e-08
1974,1.6792082391248186e-08
1975,3.347250521201772e-08
1976,2.9032293791253494e-08
1977,2.0133448686010524e-08
1978,1.308693953205875e-08
1979,1.6747757403123842e-08
1980,1.878500116569981e-08
1981,1.4621933885905491e-08
1982,3.272983040147892e-08
1983,1.7354828685256507e-08
1984,1.8467581130998667e-08
1985,2.907702145726887e-08
1986,1.3167087087317952e-08
1987,2.0141038281629164e-08
1988,3.029474271443178e-08
1989,3.13445933097789e-08
1990,3.999896946993431e-08
1991,1.6717804030008665e-08
1992,2.4743646243052808e-08
1993,2.1837857744344547e-08
1994,1.7897447079917583e-08
1995,1.6007916825433455e-08
1996,1.3417123689851707e-08
1997,1.3609025018013199e-08
1998,2.237100815705162e-08
1999,1.744799993375068e-08
2000,1.5415528187290306e-08
2001,1.5287893617710324e-08
2002,2.4344065430170758e-08
2003,1.951310935055517e-08
2004,1.5349291615507354e-08
2005,2.3543689664506928e-08
2006,2.064212445418434e-08
2007,2.7487051301733345e-08
2008,2.370907381532561e-08
2009,1.8254939337936094e-08
2010,1.553058825987108e-08
2011,2.1401776018059593e-08
2012,2.8871651291950684e-08
2013,2.1253341364602107e-08
2014,3.017895533474757e-08
2015,3.039756613087974e-08
2016,3.553356509033989e-08
2017,2.3985569974627197e-08
2018,3.466642661820174e-08
2019,2.0960507995937405e-08
