year,probabilités_NOUN égales_ADJ
1921,3.7863738810983705e-09
1922,7.377935484775833e-10
1923,7.431163684401554e-09
1924,6.445812328337297e-09
1925,8.798542339150117e-09
1926,1.114613823460786e-08
1927,1.3379070296082318e-08
1928,5.713020723163709e-09
1929,7.798284684668033e-09
1930,1.1553964007759987e-08
1931,4.5621426636444085e-09
1932,1.4247397928102146e-08
1933,8.02946331646126e-09
1934,2.3963160344919743e-09
1935,3.590485242455088e-09
1936,1.2124714565686645e-08
1937,2.895957251780601e-08
1938,2.5930429359277696e-08
1939,5.047036566452334e-08
1940,2.028626333583361e-08
1941,2.6563522936839945e-08
1942,1.8205270180260413e-08
1943,1.7419411690866582e-08
1944,6.4263723231761105e-09
1945,4.357008087652048e-09
1946,3.480275978517966e-08
1947,3.5762614203349585e-08
1948,1.4133454406817236e-08
1949,3.337782672474532e-08
1950,4.0414374069541736e-08
1951,5.970385075215745e-08
1952,4.007025466989944e-08
1953,4.8482224457302436e-08
1954,1.8567819282111486e-08
1955,1.9709776921672528e-08
1956,1.657016923672927e-08
1957,3.180613461495341e-08
1958,3.4743422361316334e-08
1959,4.030388822684472e-08
1960,3.114374891310945e-08
1961,1.80652133252579e-08
1962,4.249110929777089e-08
1963,2.2631185814248056e-08
1964,2.798625509115027e-08
1965,2.3529786119524942e-08
1966,4.652822838124848e-08
1967,3.254021407883556e-08
1968,1.392338955241712e-08
1969,2.0892086283197386e-08
1970,6.898087434592526e-09
1971,1.1304474689666222e-08
1972,1.4364410994005539e-08
1973,1.7642252103655665e-08
1974,1.912694358452427e-08
1975,3.198428899509054e-08
1976,1.0284348483935446e-08
1977,7.639816779203557e-09
1978,1.6633656230169436e-08
1979,1.2289143924704149e-08
1980,1.2507331170752423e-08
1981,2.213942273954217e-08
1982,2.5450759721934446e-08
1983,1.6419821946556112e-08
1984,1.739702604197646e-08
1985,1.8648229627160617e-08
1986,1.558566253834215e-08
1987,5.560843163721074e-08
1988,1.6190695006912392e-08
1989,2.908704743731505e-08
1990,2.2884334427430986e-08
1991,1.52398094144246e-08
1992,1.322386644631024e-08
1993,3.600484888011124e-08
1994,2.5319646823618314e-08
1995,3.3619194539369346e-08
1996,1.014237493990322e-08
1997,2.7810388658622287e-08
1998,1.2397135762398648e-08
1999,1.7823785114501334e-08
2000,1.2812291672048559e-08
2001,2.1029816110740285e-08
2002,2.102986229601811e-08
2003,2.2918076325595393e-08
2004,1.5857247959161214e-08
2005,4.1434496722558833e-08
2006,5.60033015517547e-08
2007,1.2382886716011399e-08
2008,7.2376473703172906e-09
2009,1.8595951445377068e-08
2010,1.2754241218715379e-08
2011,9.942326961720482e-09
2012,1.4297861561374248e-08
2013,4.741512515948898e-09
2014,4.980523993225461e-09
2015,5.319781060109108e-09
2016,4.556948152156792e-09
2017,4.2765391228272165e-09
2018,5.162933192082164e-09
2019,1.1479444950168727e-08
