year,deux_DET livres_NOUN
1899,1.680383840962918e-06
1900,1.4711444289439157e-06
1901,1.449718920909504e-06
1902,1.1902527923268735e-06
1903,1.3090133998971965e-06
1904,1.303346608416689e-06
1905,1.492491477073088e-06
1906,1.3683531214780942e-06
1907,1.4924531992477341e-06
1908,1.4277407922591578e-06
1909,1.4269551105172695e-06
1910,1.3862726451208118e-06
1911,1.417347698762228e-06
1912,1.38518508130403e-06
1913,1.3649895791445488e-06
1914,1.316579840704435e-06
1915,1.089720466751487e-06
1916,1.2800393527356846e-06
1917,9.946546868366823e-07
1918,1.2612040878323683e-06
1919,1.1463771349973229e-06
1920,1.2721349733624265e-06
1921,1.1336402940820278e-06
1922,1.3523755955091588e-06
1923,1.4565080288519994e-06
1924,1.2891624150412895e-06
1925,1.4132658829879574e-06
1926,1.240565192794918e-06
1927,1.3200681880931597e-06
1928,1.3391320168310017e-06
1929,1.4159456114271052e-06
1930,1.4085331816460211e-06
1931,1.4404965700265393e-06
1932,1.1858218176286073e-06
1933,1.3753323502285753e-06
1934,1.4114301389867023e-06
1935,1.4266195131895643e-06
1936,1.52043917012179e-06
1937,1.2666664637173142e-06
1938,1.208358039406221e-06
1939,1.336700053755635e-06
1940,1.313535562985635e-06
1941,1.3252247175188359e-06
1942,1.2318900057817217e-06
1943,1.4080690755591263e-06
1944,1.204944773292027e-06
1945,1.019539894286936e-06
1946,1.2013912424890805e-06
1947,1.3875893749570878e-06
1948,1.27092371471349e-06
1949,1.0533649703603487e-06
1950,1.2719892383827869e-06
1951,1.3699901160180161e-06
1952,1.175745591552868e-06
1953,1.383359425233266e-06
1954,1.2499074149019407e-06
1955,1.2407773066769323e-06
1956,1.166888736747751e-06
1957,1.0840591411209743e-06
1958,1.0241037529112873e-06
1959,1.0409254223020525e-06
1960,1.2277558076867479e-06
1961,1.268039044433067e-06
1962,1.1916536095668562e-06
1963,1.3371798459616002e-06
1964,1.154737185871113e-06
1965,1.4747156988903498e-06
1966,1.3653819053160987e-06
1967,1.4140202857504391e-06
1968,1.3406876195887207e-06
1969,1.338001796469257e-06
1970,1.4127283307630023e-06
1971,1.379145913915636e-06
1972,1.1901940917269371e-06
1973,1.4979374487467112e-06
1974,1.3265098006698395e-06
1975,1.2845119297111296e-06
1976,1.2912570444001403e-06
1977,1.2782000347044686e-06
1978,1.3188112433226706e-06
1979,1.2815822003631183e-06
1980,1.512818633031543e-06
1981,1.3783372239117853e-06
1982,1.4072407310550261e-06
1983,1.4001056083401409e-06
1984,1.4793271141400055e-06
1985,1.380570611608789e-06
1986,1.353554862415507e-06
1987,1.3566012935228855e-06
1988,1.5639012778123629e-06
1989,1.5981411420895597e-06
1990,1.4847573455156748e-06
1991,1.4442650337898044e-06
1992,1.4998068520455377e-06
1993,1.5603947804976315e-06
1994,1.4031304669259725e-06
1995,1.349105714254506e-06
1996,1.5331000522422755e-06
1997,1.5295712945118112e-06
1998,1.4600011706278337e-06
1999,1.389798196527181e-06
2000,1.4672282180328011e-06
2001,1.4523717304371075e-06
2002,1.538246849897007e-06
2003,1.4342548952939183e-06
2004,1.4399262848741046e-06
2005,1.4682224032114277e-06
2006,1.482852177048244e-06
2007,1.5454641086876109e-06
2008,1.2793606734007312e-06
2009,1.1868031464246087e-06
2010,1.0123088687308268e-06
2011,8.73777574295076e-07
2012,9.293609934957203e-07
2013,8.492885923416793e-07
2014,9.519297243798519e-07
2015,9.79283012902954e-07
2016,9.658658441935586e-07
2017,8.231080075304931e-07
2018,8.539491878067906e-07
2019,8.762642904613926e-07
