year,vingt - trois livres
1989,1.567229723775654e-08
1990,7.760994513716923e-09
1991,6.429925036854911e-09
1992,8.449050348247056e-09
1993,1.7591608170164363e-08
1994,4.04135924725324e-09
1995,1.4822145288917454e-08
1996,8.166944731602399e-09
1997,1.3085600381046447e-08
1998,1.456716824943527e-08
1999,1.0967314167942277e-08
2000,7.226028830853437e-09
2001,1.5287893617710324e-08
2002,7.637353860445728e-09
2003,1.2706210306134835e-08
2004,1.343062994152433e-08
2005,1.1281350964509329e-08
2006,8.974836873676395e-09
2007,8.726048328355773e-09
2008,1.3946514165752433e-08
2009,4.694126864990267e-09
2010,4.141490206333032e-09
2011,2.0982131587743424e-09
2012,1.1248695308552215e-08
2013,1.2012757899526605e-08
2014,1.005965177824919e-08
2015,9.805666473239327e-09
2016,9.16995208932736e-09
2017,4.462431757445984e-09
2018,1.0886976320456654e-08
2019,4.248751572788478e-09
