year,aurions_VERB également_ADV
1870,5.160643912205387e-09
1871,2.0180236148803488e-08
1872,2.3584624031514068e-08
1873,5.387403856360606e-09
1874,1.5533982988813477e-08
1875,2.2886109007913547e-08
1876,1.209202959984168e-08
1877,1.2369632429454214e-08
1878,1.1474268646338714e-08
1879,8.55305515301552e-09
1880,5.776061406947974e-09
1881,8.367009307619355e-09
1882,6.655385131892899e-09
1883,1.0110942305630033e-08
1884,1.3203393933736152e-08
1885,1.0313017106966527e-08
1886,1.7424351739236954e-08
1887,1.697520346510828e-08
1888,1.3949351895803375e-08
1889,5.6386229019267375e-09
1890,1.9007721618891082e-08
1891,1.1473596295275001e-08
1892,1.2537024751679837e-08
1893,1.847524977449666e-08
1894,1.5753848003896564e-08
1895,1.5648398132839247e-08
1896,1.1794058174530164e-08
1897,2.0976168357833558e-08
1898,9.05336783318944e-09
1899,8.844125432005967e-09
1900,1.1939421895590385e-08
1901,1.0618603774048552e-08
1902,1.4730851205513318e-08
1903,1.5120615870500842e-08
1904,1.3436562973367927e-08
1905,1.2901897328276846e-08
1906,1.388929860013377e-08
1907,2.0571373937627868e-08
1908,1.7189861978295085e-08
1909,9.901770070541716e-09
1910,1.7635697346918278e-08
1911,9.044636151145369e-09
1912,1.0939784189645252e-08
1913,1.0605979205990934e-08
1914,1.808120764223986e-08
1915,3.534228465440492e-09
1916,1.3184954461564757e-08
1917,1.2063066989753679e-08
1918,1.722956355365568e-08
1919,1.1049418269237776e-08
1920,1.665890891899835e-08
1921,6.058197943303867e-09
1922,1.9182632371439468e-08
1923,4.246379248229459e-09
1924,1.2891624656674594e-08
1925,6.598906754362588e-09
1926,6.687683296036084e-09
1927,1.5608915049369898e-08
1928,1.0283437212876834e-08
1929,1.2254447234738564e-08
1930,1.470504518152893e-08
1931,1.0264820993199919e-08
1932,1.2055489939655217e-08
1933,4.588264879146209e-09
1934,5.990790086229936e-09
1935,2.393656828303392e-09
1936,6.0623572828433225e-09
1937,7.554670666820584e-09
1938,5.186085783037697e-09
1939,1.2235240376412548e-08
1940,1.2678914806940611e-08
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,2.645009899993056e-08
1947,1.4305045148432782e-08
1948,1.195907639583993e-08
1949,2.1597418964347526e-08
1950,7.444753258312176e-09
1951,1.3859822622919182e-08
1952,1.1599284199803606e-08
1953,1.0773827163745864e-08
1954,7.818028890937967e-09
1955,1.5016972554349195e-08
1956,6.104799332717903e-09
1957,1.236905244894615e-08
1958,7.445019267748876e-09
1959,1.2401196514133517e-08
1960,1.5225833038812198e-08
1961,8.33779090214648e-09
1962,1.0781326054143392e-08
1963,9.052474325699222e-09
1964,1.6426714211092985e-08
1965,1.8057743744748223e-08
1966,1.7725039214155913e-08
1967,2.1200442290592036e-08
1968,1.122853987567396e-08
1969,1.4533624970169967e-08
1970,1.4256047897731605e-08
1971,1.0790635052160269e-08
1972,1.128632298730281e-08
1973,9.923766697284009e-09
1974,1.0688586016271984e-08
1975,1.0851811893530794e-08
1976,4.570821499072508e-09
1977,1.3516598507123945e-08
1978,1.3663360221016774e-08
1979,1.1703946256602649e-08
1980,1.1370301145063877e-08
1981,1.2651098835192442e-08
1982,6.828252629986764e-09
1983,8.841442245000053e-09
1984,1.5077421977593986e-08
1985,1.2031115659283387e-08
1986,1.498621315931814e-08
1987,6.110816741511371e-09
1988,1.0793796967334401e-08
1989,1.0976243913773942e-08
1990,2.179460389939436e-09
1991,1.4653663171770859e-08
1992,1.1019888113139586e-08
1993,1.3294098266669607e-08
1994,4.747434001473039e-09
1995,9.21816667442954e-09
1996,1.5480466686312866e-08
1997,1.2946214766884623e-08
1998,1.1920323395031573e-08
1999,1.5081663917726473e-08
2000,1.6346715980830595e-08
2001,1.3581756164171566e-08
2002,1.3581786362237835e-08
2003,1.3750845795357236e-08
2004,1.5857247959161214e-08
2005,1.5763124139311913e-08
2006,1.1941880373456115e-08
2007,1.2382886716011399e-08
2008,1.1069342775726909e-08
2009,1.5258216023994464e-08
2010,2.172944846279279e-08
2011,2.370862617340208e-08
2012,1.5319137958158535e-08
2013,1.7850400269026068e-08
2014,1.4508482415465096e-08
2015,1.4186082530898148e-08
2016,1.5949318310504168e-08
2017,1.7609279368002717e-08
2018,1.626323964387666e-08
2019,1.5561024468979667e-08
