year,avais_VERB également_ADV
1982,8.690503427999374e-09
1983,1.3893695083311286e-08
1984,8.69851302098823e-09
1985,1.142956040922627e-08
1986,7.792831269171074e-09
1987,9.166225112267057e-09
1988,7.795519785247507e-09
1989,1.5366742545097622e-08
1990,4.90378582185258e-09
1991,1.2895223555631219e-08
1992,4.958949695321735e-09
1993,7.754890063438324e-09
1994,1.3714808844156323e-08
1995,8.133675954979935e-09
1996,7.473328622609188e-09
1997,1.2466725429760572e-08
1998,6.675381136744818e-09
1999,1.0968483010742602e-08
2000,1.678851901942835e-08
2001,1.7524847351069184e-08
2002,1.62105191492401e-08
2003,1.2500768420409258e-08
2004,1.6297727611913615e-08
2005,2.34194974524371e-08
2006,1.523619275189958e-08
2007,1.7975157362570826e-08
2008,2.086145478585877e-08
2009,2.145686650578682e-08
2010,1.4643758206034363e-08
2011,2.6385405860196443e-08
2012,2.1787217363566924e-08
2013,4.016339971713023e-08
2014,3.443057750018852e-08
2015,3.457857644661999e-08
2016,3.024156569608749e-08
2017,3.899197409396038e-08
2018,4.4143082078562657e-08
2019,4.1326000399521945e-08
