year,associations_NOUN légales_ADJ
1921,1.0601846123226011e-08
1922,1.0329109734197317e-08
1923,1.4862327368803108e-08
1924,1.4180787211159895e-08
1925,2.3096174084358267e-08
1926,1.4489980437737415e-08
1927,4.4596899506643695e-09
1928,3.6563331917705e-08
1929,1.6710609784809094e-08
1930,1.05036033204442e-08
1931,1.0264820993199919e-08
1932,5.4797681947604815e-09
1933,8.02946376055047e-09
1934,1.1981580172459871e-09
1935,5.98414207075848e-09
1936,1.8187071404440758e-08
1937,5.0364472592434595e-09
1938,6.482607339819424e-09
1939,0.0
1940,0.0
1941,2.9515025978810172e-09
1942,9.102635090130207e-09
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,1.5249527862692958e-08
1946,1.3921104269343232e-09
1947,2.3841741914054637e-09
1948,0.0
1949,3.9268033269479474e-09
1950,7.444753258312176e-09
1951,4.264560704569931e-09
1952,2.1089607837865287e-09
1953,3.232148326759443e-09
1954,3.9090144454689835e-09
1955,1.0324168187025862e-08
1956,6.976913269340912e-09
1957,7.0680299946168645e-09
1958,1.6544486891589827e-09
1959,1.3951345856355601e-08
1960,6.2287499602575735e-09
1961,5.55852741612739e-09
1962,2.219684702708946e-08
1963,2.5864212993553792e-09
1964,4.867174663303331e-09
1965,3.283225968875314e-09
1966,8.862519385033352e-09
1967,9.367637332502454e-09
1968,4.042274071025531e-09
1969,7.2668124850849836e-09
1970,5.518470125309705e-09
1971,4.624557625731995e-09
1972,4.1041173792777386e-09
1973,7.1671650836435674e-09
1974,7.313243344242437e-09
1975,5.711480177694739e-09
1976,6.2848797277581525e-09
1977,3.526069047854463e-09
1978,5.346532105932056e-09
1979,3.511183899185255e-09
1980,2.2740602734216964e-09
1981,3.162774819820413e-09
1982,3.7245013739806154e-09
1983,5.052252838311233e-09
1984,4.639206796497319e-09
1985,3.0077789148208467e-09
1986,5.994485463567401e-10
1987,2.4443267410134695e-09
1988,1.798966087207532e-09
1989,9.329808037250586e-09
1990,8.172976573295188e-09
1991,1.7584396161396398e-09
1992,3.30596661157756e-09
1993,6.093128224193833e-09
1994,4.219941229788304e-09
1995,3.795715741716776e-09
1996,5.871901187504136e-09
1997,4.794894259418925e-09
1998,5.72175506974304e-09
1999,5.941261704833778e-09
2000,7.068850393920911e-09
2001,1.095302959441824e-08
2002,7.009954394732176e-09
2003,6.250384210204629e-09
2004,5.285749615779878e-09
2005,1.0808999140188291e-08
2006,3.294311934354255e-09
2007,1.1583990489061335e-08
2008,1.7029758714315335e-09
2009,2.860915504498962e-09
2010,6.140930874920514e-09
2011,6.500752353089112e-09
2012,2.0425516833455504e-09
2013,5.578249862026041e-09
2014,2.3819897165822113e-09
2015,1.994917786518613e-09
2016,2.4856081637381067e-09
2017,5.785906254107687e-09
2018,1.5488800242380307e-09
2019,1.2754939326953263e-09
