year,aux_ADP livres_NOUN
1898,1.122051744850694e-06
1899,1.3503873628195606e-06
1900,1.0350959573912633e-06
1901,1.192636934987945e-06
1902,1.0468724749301828e-06
1903,1.1459266886504338e-06
1904,1.1206093724069888e-06
1905,1.2793521166898358e-06
1906,1.1934508030719826e-06
1907,1.2358252217126164e-06
1908,1.2494574219701349e-06
1909,1.180511070231205e-06
1910,1.1938833033298124e-06
1911,1.1151504661910394e-06
1912,1.1778500983439244e-06
1913,1.1809758415637361e-06
1914,1.2857748199479602e-06
1915,9.295020957367228e-07
1916,9.910691014525241e-07
1917,9.869782253701942e-07
1918,1.0291792920114062e-06
1919,1.136248513944338e-06
1920,1.0540546995230216e-06
1921,1.0473110041431255e-06
1922,1.0712762872344683e-06
1923,1.3089464552251684e-06
1924,1.381982116299696e-06
1925,1.3868702772867891e-06
1926,1.2873790069534152e-06
1927,1.3490561645568278e-06
1928,1.279716562052613e-06
1929,1.3379628533982668e-06
1930,1.4326914907769606e-06
1931,1.2420433463944391e-06
1932,1.2767860724238744e-06
1933,1.3707441164356737e-06
1934,1.285623522306878e-06
1935,1.2255522428006316e-06
1936,1.211259014866073e-06
1937,1.2805167060037093e-06
1938,1.3600510300193491e-06
1939,1.1317597596871565e-06
1940,1.4859688270973948e-06
1941,1.366545671288577e-06
1942,1.0923162463427616e-06
1943,1.3383914598819047e-06
1944,1.201731643973858e-06
1945,1.0108258585717067e-06
1946,1.176333316976752e-06
1947,1.2481151649978983e-06
1948,1.1056710071954967e-06
1949,1.0896879096833345e-06
1950,1.2847516277503246e-06
1951,1.0672063002203913e-06
1952,1.0302273230067271e-06
1953,1.0719958751792547e-06
1954,1.228407818132382e-06
1955,1.1675696329760399e-06
1956,1.2872405115160745e-06
1957,1.1043796845910947e-06
1958,1.1696952242346015e-06
1959,1.1680376896805456e-06
1960,1.1654682978701203e-06
1961,1.1804922745994872e-06
1962,1.165651538848067e-06
1963,1.1076348833682914e-06
1964,1.1802898161050734e-06
1965,1.35378354571003e-06
1966,1.2363215411426154e-06
1967,1.1108045523400278e-06
1968,1.2719689639340004e-06
1969,1.207653369306172e-06
1970,1.172674901184223e-06
1971,1.2327015497248794e-06
1972,1.1809598392531484e-06
1973,1.0513680095414202e-06
1974,1.1329901177248303e-06
1975,1.0600507147628946e-06
1976,1.1449907955096705e-06
1977,1.0443040796559444e-06
1978,1.158415345869912e-06
1979,1.1733206264352702e-06
1980,1.192744584876948e-06
1981,1.313184105455889e-06
1982,1.3128867504264008e-06
1983,1.3735812380843981e-06
1984,1.3355116497137942e-06
1985,1.3083838439342799e-06
1986,1.2816210182009513e-06
1987,1.469651467189692e-06
1988,1.5285216168337001e-06
1989,1.5015501944048992e-06
1990,1.3850470494958245e-06
1991,1.6570362433299124e-06
1992,1.4380954551640457e-06
1993,1.556517290168813e-06
1994,1.4780343970954846e-06
1995,1.5464830234179772e-06
1996,1.4845234499460958e-06
1997,1.4773070233786711e-06
1998,1.4275778443817444e-06
1999,1.4455545809255455e-06
2000,1.4323257975235038e-06
2001,1.3432795267220854e-06
2002,1.5465712213114102e-06
2003,1.6000984057740197e-06
2004,1.4888194659334886e-06
2005,1.4952448879057556e-06
2006,1.4585566159297514e-06
2007,1.5586459305438893e-06
2008,1.3857966445485204e-06
2009,1.155333058555641e-06
2010,1.10395040753275e-06
2011,1.0278836466426355e-06
2012,1.0045949530024245e-06
2013,9.156697702294991e-07
2014,9.7856468261881e-07
2015,9.087959060849471e-07
2016,9.466024071258516e-07
2017,8.671312139441056e-07
2018,9.27262862937539e-07
2019,9.923342831896775e-07
