year,toutes_DET lois_NOUN
1883,8.91026781246751e-08
1884,9.044324755791422e-08
1885,8.959433461797062e-08
1886,7.09881016192071e-08
1887,1.2339667776473107e-07
1888,1.4076164345233622e-07
1889,7.267558765899906e-08
1890,1.0093754987394732e-07
1891,6.692930920593199e-08
1892,9.528138611436532e-08
1893,7.451684158610306e-08
1894,9.767386033310288e-08
1895,8.907549253756031e-08
1896,1.0378771087005134e-07
1897,7.807795954217767e-08
1898,6.676858843590594e-08
1899,9.949641288642397e-08
1900,6.904100935400947e-08
1901,8.327221268089602e-08
1902,6.727089019165078e-08
1903,9.234376641131803e-08
1904,7.363236687041308e-08
1905,1.1714922854011434e-07
1906,1.1625856632946352e-07
1907,1.439996095697893e-07
1908,1.5569103695156628e-07
1909,1.105697693404295e-07
1910,1.0474535094839865e-07
1911,8.885024627147686e-08
1912,1.0679313433570314e-07
1913,1.696956646313197e-07
1914,1.634005535322558e-07
1915,8.835571185805691e-08
1916,2.2304547453444457e-07
1917,1.2501724011571014e-07
1918,1.5621472115867618e-07
1919,1.2338516741650096e-07
1920,1.5523075624912508e-07
1921,8.178567045824536e-08
1922,7.304156302012643e-08
1923,1.5393124241924738e-07
1924,2.0755515972581406e-07
1925,8.028669729043258e-08
1926,7.913758182098718e-08
1927,1.2041162733567035e-07
1928,7.655447920029701e-08
1929,9.803557987630995e-08
1930,8.823026687032609e-08
1931,9.010231760697707e-08
1932,8.877224377812354e-08
1933,9.97947591230286e-08
1934,9.944711187870325e-08
1935,1.292574651756695e-07
1936,1.1154737045160346e-07
1937,9.695161207190495e-08
1938,1.1409388411820487e-07
1939,4.435274547631707e-08
1940,5.832300842278926e-08
1941,3.836953368363538e-07
1942,8.495793002438745e-08
1943,3.309688241248665e-07
1944,3.855823393905666e-08
1945,6.099811411530709e-08
1946,4.872386583087973e-08
1947,5.245183398727704e-08
1948,3.370285384107774e-08
1949,5.693864846278984e-08
1950,4.785912621763089e-08
1951,1.0234946001830281e-07
1952,6.221434223352418e-08
1953,8.080370550445082e-08
1954,8.40438083571371e-08
1955,6.006789066148599e-08
1956,5.407107694921365e-08
1957,4.417518939536791e-08
1958,5.956015214358956e-08
1959,5.2705086517335076e-08
1960,6.021125176225439e-08
1961,7.365049059515627e-08
1962,3.5514956420179544e-08
1963,4.267595299367599e-08
1964,8.882593505177283e-08
1965,4.979559509177278e-08
1966,4.431259803538978e-08
1967,4.042875123566603e-08
1968,3.682961044471078e-08
1969,1.0446042875145167e-07
1970,5.2885337720187664e-08
1971,3.9565659526452635e-08
1972,3.9502129567381417e-08
1973,2.756601907849543e-08
1974,4.669224629161306e-08
1975,2.7415104852934746e-08
1976,4.228009742313077e-08
1977,3.4673013793451446e-08
1978,4.752473103941668e-08
1979,4.564539046736371e-08
1980,6.59477479292292e-08
1981,2.7199863139593106e-08
1982,3.910726531497488e-08
1983,2.778739049968948e-08
1984,5.5090579653693794e-08
1985,4.872602077377053e-08
1986,2.937297916005832e-08
1987,3.788706604002101e-08
1988,7.675589008826478e-08
1989,6.750390535437134e-08
1990,2.7788120138261263e-08
1991,2.403200716205589e-08
1992,2.5896736921549035e-08
1993,2.6588196533339215e-08
1994,3.639699375224126e-08
1995,2.7654498579998688e-08
1996,2.2419988088273612e-08
1997,2.0618046159270875e-08
1998,2.8608774793603686e-08
1999,2.9706308191101982e-08
2000,3.7111462791727945e-08
2001,3.461157260797876e-08
2002,2.5411083903748022e-08
2003,2.500153828410845e-08
2004,2.9071621554521698e-08
2005,2.6572121836210272e-08
2006,2.553091726920087e-08
2007,2.5165220796097287e-08
2008,1.788124590063056e-08
2009,3.0039613463372916e-08
2010,2.2674207234008037e-08
2011,1.797266771519368e-08
2012,1.8382964817043046e-08
2013,2.370756352343406e-08
2014,1.6673928182608933e-08
2015,2.2165754037795082e-08
2016,2.4027544398563805e-08
2017,1.4338984194450788e-08
2018,1.5488799576246493e-08
2019,1.3265136045159664e-08
