year,grandeurs_NOUN égales_ADJ
1910,2.67207544979442e-09
1911,9.683081003686311e-08
1912,2.031674206648404e-08
1913,2.969674284258872e-08
1914,4.018046340092951e-08
1915,0.0
1916,1.648119329900055e-08
1917,4.496234140560773e-08
1918,6.89182577673364e-09
1919,1.749491218561161e-08
1920,4.316171953178127e-08
1921,4.1650110915725236e-08
1922,1.696925089333945e-08
1923,4.458698299458774e-08
1924,1.2891624656674594e-08
1925,1.3197813508725176e-08
1926,1.7833821530643945e-08
1927,2.1183527820767267e-08
1928,1.4853853258500749e-08
1929,2.785101571589621e-08
1930,1.1553964007759987e-08
1931,4.5621426636444085e-09
1932,8.767629289252454e-09
1933,1.4911860191091364e-08
1934,1.0783422155213884e-08
1935,3.4708023122220766e-08
1936,2.0612015205756506e-08
1937,8.813782592653752e-09
1938,5.704694316932546e-08
1939,1.8352860564618823e-08
1940,2.5357829169792012e-09
1941,5.9030051957620344e-09
1942,9.102635090130207e-09
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.742803235060819e-08
1946,1.8097434661967782e-08
1947,1.7881307101674793e-08
1948,9.458542393758762e-08
1949,1.8652315247891238e-08
1950,2.0207187034770868e-08
1951,4.264560704569931e-09
1952,2.4253049346611988e-08
1953,1.0773827163745864e-08
1954,1.07497895029951e-08
1955,3.566530892840092e-08
1956,2.3547082506070183e-08
1957,1.4136060322300636e-08
1958,7.445019267748876e-09
1959,3.4878365084978213e-08
1960,1.5225833038812198e-08
1961,1.598076693198891e-08
1962,8.8787386332001e-09
1963,1.0345685197421517e-08
1964,1.7035111099517053e-08
1965,3.3379464525751246e-08
1966,6.425326404269072e-08
1967,1.3311906243984595e-08
1968,1.0330256650092906e-08
1969,2.952142530432411e-08
1970,2.2993624781975086e-08
1971,8.221435976452085e-09
1972,6.156176013405457e-09
1973,3.859242703185828e-09
1974,1.1251143128276908e-08
1975,0.0
1976,7.998937512354587e-09
1977,5.876781727920388e-09
1978,5.940591130126904e-09
1979,1.2289143924704149e-08
1980,5.116635559687666e-09
1981,3.1627747087981106e-09
1982,7.449002747961231e-09
1983,1.136756910824488e-08
1984,3.479405208395292e-09
1985,6.617113967877231e-09
1986,8.991728250862252e-09
1987,1.2832715334809564e-08
1988,1.4391728697660255e-08
1989,6.585746614717891e-09
1990,1.8525414091641323e-08
1991,5.8614650910726596e-09
1992,1.3774860363469088e-08
1993,8.308811416668505e-09
1994,3.323203756622206e-08
1995,8.675921314704738e-09
1996,1.5480466686312866e-08
1997,1.7741109914481967e-08
1998,1.7642078020685403e-08
1999,8.226361813967742e-09
2000,6.185244316725402e-09
2001,4.8193329327261836e-09
2002,9.63868718173444e-09
2003,6.250384210204629e-09
2004,2.642874807889939e-09
2005,3.377812163307681e-08
2006,4.529678854225949e-09
2007,5.192823504529542e-09
2008,2.1287198670449925e-09
2009,1.4781396551200032e-08
2010,1.4171379625338432e-09
2011,5.7359579308524644e-09
2012,1.0212758416727752e-09
2013,1.9523875849358774e-09
2014,4.114345752981308e-09
2015,1.573768493301486e-08
2016,4.349814286541687e-09
2017,2.5156112748447867e-09
2018,2.323319980845895e-09
2019,1.4540630033366142e-08
