year,aviez_VERB assez_ADV
1878,1.268208649207736e-08
1879,1.3440515367335593e-08
1880,5.776061406947974e-09
1881,5.5780060570498335e-09
1882,1.7304001787010748e-08
1883,7.58320695126713e-09
1884,8.582206056928499e-09
1885,3.86738152613475e-09
1886,2.5813855497602844e-09
1887,1.9586773092328258e-08
1888,3.1703073499755874e-09
1889,1.8168895721260014e-08
1890,5.243509182406569e-09
1891,1.3385862196457765e-08
1892,1.6298132621272998e-08
1893,1.23168328869383e-08
1894,6.301539290376468e-09
1895,1.1435367319734269e-08
1896,2.0049897742069334e-08
1897,4.078699600285063e-09
1898,1.9804241802034994e-08
1899,4.4220627160029835e-09
1900,5.19105292084987e-09
1901,5.029864968975062e-09
1902,4.910283735171106e-09
1903,7.560307935250421e-09
1904,8.061937784020756e-09
1905,1.0837593933388234e-08
1906,1.4918134283448126e-08
1907,9.771402353919711e-09
1908,1.080505640516094e-08
1909,3.850688656825696e-09
1910,1.068830179917768e-08
1911,4.788336838146279e-09
1912,1.7712032729377825e-08
1913,9.545381374209683e-09
1914,7.366418142140674e-09
1915,4.712304768617059e-09
1916,1.0987462051303964e-09
1917,3.289927441585405e-09
1918,0.0
1919,5.524709134618888e-09
1920,1.665890891899835e-08
1921,1.3630945261411398e-08
1922,0.0
1923,2.1231896241147297e-09
1924,7.734974438733389e-09
1925,9.898360353588487e-09
1926,1.3375366592072169e-08
1927,6.689535148041159e-09
1928,1.0283437212876834e-08
1929,2.0052731031228177e-08
1930,8.402882833991043e-09
1931,2.2810713318222042e-09
1932,8.767629289252454e-09
1933,8.02946331646126e-09
1934,5.990790086229936e-09
1935,7.180970484910176e-09
1936,1.091224355320719e-08
1937,1.2591118370153254e-08
1938,1.2965214457594243e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,1.7709016475464523e-08
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,2.2492303131116387e-08
1945,2.178504043826024e-09
1946,1.1136883415474585e-08
1947,1.907339353124371e-08
1948,9.784699273041042e-09
1949,5.890204768377316e-09
1950,1.914365022059883e-08
1951,9.595261474260042e-09
1952,7.381362632230548e-09
1953,1.723812381726475e-08
1954,1.172704333640695e-08
1955,1.407841132561316e-08
1956,2.0058624983221307e-08
1957,7.068030161150318e-09
1958,1.8198935691771112e-08
1959,1.5501495198577686e-08
1960,4.844583401109048e-09
1961,6.94815938118154e-09
1962,8.8787386332001e-09
1963,7.759263453976928e-09
1964,1.520992043424485e-08
1965,1.0396882466068291e-08
1966,8.862519607077957e-09
1967,6.902469706915326e-09
1968,8.982831367632116e-09
1969,9.991866889436096e-09
1970,1.103694025061941e-08
1971,1.1818314327172175e-08
1972,6.669190977248718e-09
1973,7.1671650836435674e-09
1974,3.3753431161187564e-09
1975,3.4268881066168433e-09
1976,7.998937512354587e-09
1977,2.3507127355770763e-09
1978,4.158414057542359e-09
1979,1.0533551808578068e-08
1980,2.8425752862659692e-09
1981,6.958104314946922e-09
1982,5.586751949948621e-09
1983,1.0104505676622466e-08
1984,8.118611560803402e-09
1985,6.617113967877231e-09
1986,1.019062523255343e-08
1987,3.0554083707556856e-09
1988,4.197587610832443e-09
1989,7.683371272548811e-09
1990,8.172976073694826e-09
1991,7.033758464558559e-09
1992,4.958949695321735e-09
1993,6.647049133334804e-09
1994,6.857404422078162e-09
1995,8.133675954979935e-09
1996,6.4057106285986265e-09
1997,8.151320507465698e-09
1998,5.72175506974304e-09
1999,5.0272213059088244e-09
2000,6.185244316725402e-09
2001,1.0514908055370142e-08
2002,4.381221607729913e-09
2003,6.667076668520622e-09
2004,7.928623979580607e-09
2005,4.954124666056714e-09
2006,7.823991232669414e-09
2007,8.38840730210677e-09
2008,8.940623352771127e-09
2009,9.53638501499654e-09
2010,1.6060896612657416e-08
2011,1.9502257586623273e-08
2012,1.6340413466764403e-08
2013,1.8687137171014e-08
2014,3.1182409543362155e-08
2015,2.1944096317838557e-08
2016,2.5477483234226384e-08
2017,2.3646746782901573e-08
2018,2.323320025254816e-08
2019,2.040790292312522e-08
