year,as_VERB eu_VERB,as_VERB lu_VERB
1861,2.664519627160189e-07,2.357981898626349e-08
1862,2.3041729946271516e-07,1.626475132354699e-08
1863,2.9068692697364895e-07,2.1976331865403154e-08
1864,3.5624827887659194e-07,3.643993196078554e-08
1865,2.574643929165177e-07,3.247722446531043e-08
1866,2.875577251870709e-07,2.6274308950746672e-08
1867,2.7563970661503845e-07,1.94112459439566e-08
1868,2.5341554987790005e-07,5.236266531483125e-08
1869,2.6517508899814857e-07,3.369628132077196e-08
1870,2.322289702760827e-07,3.325748210158963e-08
1871,3.1544897183266585e-07,1.4869648623516696e-08
1872,3.0962377195464796e-07,3.9912439575573444e-08
1873,2.2986256453805254e-07,5.028243776905583e-08
1874,2.820015652105212e-07,1.9118749250424116e-08
1875,3.15828287966724e-07,3.4901315615343265e-08
1876,2.110059114102114e-07,4.292670396921494e-08
1877,2.4058934400272847e-07,2.783167118991514e-08
1878,2.11972007946315e-07,1.0266450800600069e-08
1879,3.4090035683220776e-07,2.3215436684154156e-08
1880,2.2462461402028566e-07,1.7969970400599777e-08
1881,2.2660650245143188e-07,2.370652651961791e-08
1882,2.7353632958693197e-07,1.3976308999019693e-08
1883,2.4961389044619864e-07,2.1485751844352308e-08
1884,2.970763546272792e-07,2.178559910248623e-08
1885,2.507352405700658e-07,1.2246707647989297e-08
1886,1.981213415547245e-07,2.2587123282846733e-08
1887,2.428759842132422e-07,2.0239665943222462e-08
1888,2.4918614371927106e-07,2.3460273723685532e-08
1889,2.2930400689347152e-07,2.255449160770695e-08
1890,2.7856142992277455e-07,2.2284913470116408e-08
1891,1.905891764408807e-07,8.92390783491237e-09
1892,2.137562660209369e-07,1.6298132621272998e-08
1893,1.866000189920669e-07,1.1700991287000306e-08
1894,2.2370464591858763e-07,1.8904618315218613e-08
1895,2.8106930471949454e-07,3.7315409429083957e-08
1896,2.8954411845916184e-07,3.184395680477792e-08
1897,2.2316312708881014e-07,1.5732126712464378e-08
1898,2.682060085135163e-07,3.508180057565369e-08
1899,2.7306236916047055e-07,3.371822998587959e-08
1900,1.9777912996232772e-07,2.803168719367477e-08
1901,2.0734221095608518e-07,2.6267072072982955e-08
1902,2.131063183696824e-07,1.5221880644844532e-08
1903,1.9602799739004695e-07,2.3220946943069976e-08
1904,2.2519679987453856e-07,2.2573425795258117e-08
1905,2.069464386522668e-07,2.9932401446330914e-08
1906,2.0525295951756561e-07,3.9095802151223324e-08
1907,2.4994218961182924e-07,2.6228502036929058e-08
1908,2.9861246275686426e-07,5.5007557620001535e-08
1909,2.8770145377166045e-07,4.8408654862441836e-08
1910,3.1797696919966256e-07,2.672075360976578e-08
1911,2.5112166213148157e-07,2.7133907565257687e-08
1912,2.484893855125847e-07,2.344239469209697e-08
1913,2.2060437743220973e-07,2.4924052155483878e-08
1914,2.089384025794061e-07,1.9420557606508737e-08
1915,1.9673872486691835e-07,2.3561524287174507e-08
1916,2.0766303521213558e-07,1.3184954461564757e-08
1917,2.1055535626146593e-07,4.496234140560773e-08
1918,1.9526839878380997e-07,2.6418664589300533e-08
1919,2.384832669122261e-07,4.6960025201769895e-08
1920,2.6351366955168487e-07,3.9375606775138294e-08
1921,2.506579335204151e-07,4.1650110915725236e-08
1922,3.2905592206589063e-07,3.8365264742878935e-08
1923,2.8450742206587165e-07,2.5478275489376756e-08
1924,3.416280378587544e-07,4.640984840875717e-08
1925,3.134480834887654e-07,3.629398648286042e-08
1926,3.5444719514998724e-07,6.35329868714507e-08
1927,4.6269283870969957e-07,6.689534615134107e-08
1928,3.6906112654833123e-07,3.313552099371009e-08
1929,3.219577422441944e-07,4.3447585085232276e-08
1930,3.770793739477085e-07,3.886333388436469e-08
1931,2.7144747605234443e-07,4.5621426636444085e-08
1932,3.6276065884521813e-07,4.4934100884574946e-08
1933,3.0167842623995966e-07,3.326492148403304e-08
1934,3.258989806909085e-07,2.6359476379411717e-08
1935,2.9920710176156717e-07,3.949533677882755e-08
1936,3.103926928815781e-07,6.426098764222843e-08
1937,2.581179217031604e-07,3.5255130370615007e-08
1938,3.1116513810047763e-07,3.759912203804561e-08
1939,3.1658683496971207e-07,2.4470480752825097e-08
1940,2.0032685199566913e-07,7.86092684279538e-08
1941,3.6598632391360297e-07,2.9515025090631752e-08
1942,3.3679751254567236e-07,4.8547388331598995e-08
1943,3.135494068828848e-07,3.193558839598154e-08
1944,3.373845345322479e-07,4.819779064746399e-08
1945,4.966989308741177e-07,5.2284097051824574e-08
1946,4.176331174221559e-07,5.290019799986112e-08
1947,4.4584058400687354e-07,6.437270627657199e-08
1948,4.5770647716381063e-07,6.740570768215548e-08
1949,3.524305896007718e-07,4.123143426681963e-08
1950,5.28577459135704e-07,5.211327192000681e-08
1951,4.0086871422317927e-07,3.6248767543156646e-08
1952,3.237254873056372e-07,4.007025466989944e-08
1953,3.835482687009062e-07,3.770839640537815e-08
1954,4.896040763924248e-07,5.374894840315392e-08
1955,3.557145475951984e-07,5.9129330765017585e-08
1956,4.1163787045661593e-07,4.6222051963695776e-08
1957,3.640035401986097e-07,2.738861759610245e-08
1958,4.4008334043610375e-07,7.362296372548371e-08
1959,4.286163459710224e-07,4.8829711829512235e-08
1960,3.7856958101656346e-07,4.221708493901133e-08
1961,3.696420662890887e-07,5.766972321907815e-08
1962,4.6042603685236827e-07,5.2638238656754766e-08
1963,4.209400685795117e-07,6.207410763181542e-08
1964,4.033670961689495e-07,7.239922439339352e-08
1965,3.649852828857547e-07,3.447387442179206e-08
1966,3.938282020499173e-07,4.708213552362395e-08
1967,3.682960709738836e-07,6.310829547828689e-08
1968,3.745840899682662e-07,5.704098171577243e-08
1969,3.7742006497865077e-07,4.541757903098187e-08
1970,3.168521516272449e-07,2.9431840076199478e-08
1971,3.5968781730844057e-07,5.60085311462899e-08
1972,2.7138477776134096e-07,4.052816038324636e-08
1973,3.3079223271670344e-07,4.796487118596815e-08
1974,3.139068951441004e-07,5.119270340969706e-08
1975,2.6501268735046324e-07,5.5401358167728176e-08
1976,2.58251418472355e-07,4.513686135965145e-08
1977,3.138201520869188e-07,4.760193306196925e-08
1978,2.7504938771016896e-07,4.81187889533885e-08
1979,3.429256310027995e-07,4.7400984470868934e-08
1980,3.558904211331537e-07,5.9125568441231735e-08
1981,3.5676100651471643e-07,3.795329561739891e-08
1982,3.0975436970948067e-07,5.524676893742253e-08
1983,3.479739234535373e-07,4.483874249672226e-08
1984,3.3576259284018306e-07,4.059305780401701e-08
1985,3.783786155509006e-07,5.7749357296188464e-08
1986,3.7285698795130884e-07,4.6756987615026446e-08
1987,3.0309652743198967e-07,4.27757171905796e-08
1988,3.6459047692005697e-07,3.957725525083333e-08
1989,3.5672795206664887e-07,4.9941910162942804e-08
1990,3.6288014371166355e-07,5.775569889010512e-08
1991,3.3410350397389266e-07,7.15098735781794e-08
1992,3.300456512533856e-07,3.581463658974826e-08
1993,3.7278866216183815e-07,4.4313658520422905e-08
1994,3.27572934111231e-07,5.011180448377672e-08
1995,3.6709991491079563e-07,4.0126135303353294e-08
1996,3.36833608116649e-07,4.697520950003309e-08
1997,3.763992140193295e-07,4.6510475470995516e-08
1998,3.4902706147477147e-07,5.5787111818972335e-08
1999,3.190000370523194e-07,5.3014332479506265e-08
2000,3.251671216730756e-07,5.87598201207129e-08
2001,3.662693188744015e-07,6.790878614992835e-08
2002,4.2278787759642e-07,5.607963515785741e-08
2003,4.487775981942832e-07,5.75035379313249e-08
2004,3.8630020071650506e-07,6.12266006783102e-08
2005,4.0668859924153367e-07,7.701412130245444e-08
2006,4.5749757759949716e-07,9.63586259672411e-08
2007,8.356450962310191e-07,1.1623935591842383e-07
2008,9.779339507076656e-07,1.260202111552644e-07
2009,1.0790419082695735e-06,1.2778755831277522e-07
2010,1.5583792674078722e-06,1.9084123437096423e-07
2011,1.6825476905069081e-06,2.1834880215010344e-07
2012,2.037785634456668e-06,2.648508541369665e-07
2013,2.258354470541235e-06,2.89511177697932e-07
2014,2.4614614630991127e-06,3.2178516562453297e-07
2015,2.4847809072525706e-06,3.160836570259562e-07
2016,2.4893365662137512e-06,3.146365656903072e-07
2017,2.871821834560251e-06,3.572168054688518e-07
2018,2.9501002245524433e-06,3.771522756323975e-07
2019,2.803025381581392e-06,3.5305669143781415e-07
