year,seules_ADJ armes_NOUN,seules_ADJ larmes_NOUN
1952,7.803154744578933e-08,1.370824520563474e-08
1953,5.602390373837807e-08,4.3095309543161875e-09
1954,9.967986613901303e-08,9.772536113672459e-10
1955,8.822471642133678e-08,4.6928039232341234e-09
1956,8.459507228053553e-08,8.72114114258693e-09
1957,7.774833221674271e-08,5.301022731885041e-09
1958,9.18219029699685e-08,4.9633461784992505e-09
1959,8.448315469422596e-08,4.650448914844674e-09
1960,1.0035208219960623e-07,6.2287499602575735e-09
1961,8.059864597953492e-08,5.55852741612739e-09
1962,9.830032610125272e-08,4.43936931660005e-09
1963,1.1832877788719998e-07,7.1126584622049904e-09
1964,9.004273238133464e-08,7.909158661334459e-09
1965,8.91943088277003e-08,4.377634699181954e-09
1966,8.640956394856403e-08,4.985167390003653e-09
1967,1.0649524995187676e-07,2.9582012395223956e-09
1968,9.476887186110616e-08,3.5931326802796093e-09
1969,1.1717735048932809e-07,3.6334062425424918e-09
1970,9.519360588683412e-08,6.898087434592526e-09
1971,1.084201883827518e-07,1.0276794970565106e-09
1972,8.156933262171151e-08,5.643161493651405e-09
1973,1.1687991730013891e-07,5.513203671370093e-09
1974,9.732239192317138e-08,5.625571564138454e-09
1975,1.0452009036043819e-07,2.8557400888473694e-09
1976,8.341748980456032e-08,2.285410749536254e-09
1977,7.404744906125416e-08,1.7630346071939584e-09
1978,8.316828115084718e-08,5.346532105932056e-09
1979,9.129078648584255e-08,5.851973128301324e-09
1980,9.72160734136196e-08,3.411090521154847e-09
1981,9.108791232392832e-08,3.795329828193417e-09
1982,1.0180303888773778e-07,4.345251713999687e-09
1983,9.725586380682216e-08,3.78918940668882e-09
1984,1.1713996883599975e-07,2.8995041922996734e-09
1985,1.16701826868848e-07,3.0077789148208467e-09
1986,1.1209687755808773e-07,3.5966913891627428e-09
1987,1.3077148253159976e-07,1.8332451112712533e-09
1988,1.121355595046225e-07,4.197587610832443e-09
1989,1.3006849997054815e-07,1.0976244357863152e-09
1990,1.0243464032555494e-07,3.2691906959314565e-09
1991,1.1840159430676067e-07,2.9307325455363298e-09
1992,9.477103901645023e-08,2.7549720282848966e-09
1993,8.973515974730617e-08,7.200969598386564e-09
1994,9.916862353520628e-08,2.1099706426497278e-09
1995,1.1007575295707284e-07,2.1689803286761844e-09
1996,8.807852225345414e-08,2.135236876199542e-09
1997,1.0740563993749674e-07,7.671831170341648e-09
1998,1.0919016091293088e-07,2.3840645013706308e-09
1999,1.1014184764235324e-07,5.0272213059088244e-09
2000,9.145325208237409e-08,3.5344251969604557e-09
2001,9.726289817990619e-08,2.6287270138425356e-09
2002,1.3099852935738454e-07,1.752488598683044e-09
2003,9.167230530238157e-08,4.583615265119079e-09
2004,1.0659594806838868e-07,3.9643119897903034e-09
2005,1.1979973635334318e-07,4.503749373441224e-09
2006,1.120066031035094e-07,1.6471559671771274e-09
2007,1.0625315383094858e-07,4.393927444112933e-09
2008,1.0260429661457238e-07,5.5346713878634546e-09
2009,1.0251613957734662e-07,4.76819250749827e-09
2010,1.043958235413811e-07,5.196172381261022e-09
2011,1.1280717160389031e-07,3.823971805871906e-09
2012,1.109786396114032e-07,8.510632198976964e-09
2013,1.0961261409647705e-07,9.483025031897796e-09
2014,1.2754472322740185e-07,9.094869746206768e-09
2015,1.1326699933533746e-07,1.0196246513771712e-08
2016,1.2966589224561176e-07,8.285359953674742e-09
2017,1.1345407102680838e-07,1.0062445099379147e-08
2018,1.053238420922753e-07,7.228107001822082e-09
2019,1.0305990372216911e-07,9.94885240857002e-09
