year,tes_DET livres_NOUN
1924,1.0055466848069017e-07
1925,8.908524185002875e-08
1926,1.0031524255715851e-07
1927,1.248713212831376e-07
1928,1.0854738929921837e-07
1929,7.909688548579652e-08
1930,9.033098935518069e-08
1931,1.0606981604155408e-07
1932,7.452484551695449e-08
1933,6.767690519104974e-08
1934,7.42857970692512e-08
1935,8.377799076697556e-08
1936,8.487300329207415e-08
1937,5.5400918963499635e-08
1938,6.352955028710028e-08
1939,5.8117390899781185e-08
1940,6.846613587185857e-08
1941,5.312704676185831e-08
1942,6.37184480734021e-08
1943,1.422585289567735e-07
1944,6.42637232317611e-08
1945,9.149717339340668e-08
1946,7.795818124378684e-08
1947,1.3232166939936008e-07
1948,7.175446281593167e-08
1949,6.184715273249708e-08
1950,1.1805251332042133e-07
1951,7.036525007109162e-08
1952,7.80315463355663e-08
1953,9.696444369655666e-08
1954,1.0456613752651833e-07
1955,7.508486543628123e-08
1956,7.151336411936882e-08
1957,6.272876751367562e-08
1958,6.617794634511398e-08
1959,9.145882451377929e-08
1960,8.3049999599627e-08
1961,8.893643732577061e-08
1962,9.259256250615522e-08
1963,8.85849278375872e-08
1964,1.1559539503380734e-07
1965,8.372226406594407e-08
1966,9.194864381001366e-08
1967,9.614154627968219e-08
1968,8.264204776065043e-08
1969,8.356834679812408e-08
1970,6.53018986940257e-08
1971,9.60880309763823e-08
1972,7.028301496347922e-08
1973,7.883881547599003e-08
1974,6.300640587042494e-08
1975,1.0394893967813346e-07
1976,7.827531489645878e-08
1977,8.227494774359911e-08
1978,1.0158411267724432e-07
1979,1.0884670742505875e-07
1980,1.1199746707823977e-07
1981,1.0120879295749674e-07
1982,1.3221979333621903e-07
1983,8.209910751233451e-08
1984,8.81449260248246e-08
1985,1.058738196002551e-07
1986,9.890901297993082e-08
1987,1.0938362260404233e-07
1988,9.534520695186899e-08
1989,1.339101785013952e-07
1990,9.644112364259882e-08
1991,1.1488471596265981e-07
1992,1.0468893668624801e-07
1993,1.3294098266669607e-07
1994,1.0022360874550884e-07
1995,8.187901068268388e-08
1996,1.1370136565602706e-07
1997,1.1747491179825431e-07
1998,1.1348147843648348e-07
1999,9.551720103750938e-08
2000,1.3033193602129955e-07
2001,1.016441109058519e-07
2002,1.1785486159210379e-07
2003,1.1375699804361261e-07
2004,1.1936984445348742e-07
2005,1.0403661254709817e-07
2006,1.3341962645796457e-07
2007,1.5818138621170874e-07
2008,1.8434713275339298e-07
2009,1.7499266302678507e-07
2010,1.8470030571648977e-07
2011,1.7093155335601296e-07
2012,2.1412749751092974e-07
2013,2.5966752836836804e-07
2014,2.730626510460965e-07
2015,2.1678107264833102e-07
2016,2.431753267639891e-07
2017,2.2414096445544374e-07
2018,2.5995370922515804e-07
2019,2.4821111271888796e-07
