year,son_DET chantier_NOUN
1965,8.755269220728223e-08
1966,1.0302679376295032e-07
1967,1.1142558736798591e-07
1968,1.0554827534203781e-07
1969,1.3171098112163548e-07
1970,1.1174901648480784e-07
1971,1.2126617976448983e-07
1972,1.0875911299335073e-07
1973,1.1302068125829123e-07
1974,1.3670138632182471e-07
1975,1.0737582556430425e-07
1976,1.5083710258601002e-07
1977,1.0343136169765899e-07
1978,1.0930688421062484e-07
1979,1.2406183325097686e-07
1980,1.1199746929868581e-07
1981,1.0626923052647896e-07
1982,8.752578273263367e-08
1983,1.1935947608066044e-07
1984,1.1482036610388491e-07
1985,1.0406915085248158e-07
1986,1.0670183941963174e-07
1987,1.1427227253335559e-07
1988,1.0733831579123887e-07
1989,1.2128750559448065e-07
1990,1.0406923567352067e-07
1991,1.3715828606208902e-07
1992,1.2838169882734007e-07
1993,1.3017137590054517e-07
1994,1.4769794587365936e-07
1995,1.1549820344569639e-07
1996,1.2117469072592257e-07
1997,1.155569586686056e-07
1998,1.0823653695535285e-07
1999,1.2156735085255832e-07
2000,1.2282127626050965e-07
2001,1.2530265403043472e-07
2002,1.130355125056326e-07
2003,1.3167476886621898e-07
2004,1.2597703191730147e-07
2005,1.4051698649097943e-07
2006,1.2971353324786605e-07
2007,1.1943493460897514e-07
2008,1.2857468378868475e-07
2009,1.3398620879456757e-07
2010,1.5352327586981573e-07
2011,2.1490722756922764e-07
2012,1.4025521566374266e-07
2013,1.612114326476899e-07
2014,1.7128671503385817e-07
2015,1.6978967920522336e-07
2016,1.4747940424442163e-07
2017,1.4464765207833352e-07
2018,1.5204838677007615e-07
2019,1.5510004880425754e-07
