year,rien_PRON eu_VERB
1876,6.584110110452457e-07
1877,6.704340762553329e-07
1878,5.712977895200311e-07
1879,7.490032771784172e-07
1880,7.040377454359259e-07
1881,7.404802886412654e-07
1882,6.86170210428827e-07
1883,6.527877189910214e-07
1884,6.925180286998511e-07
1885,6.239375238692446e-07
1886,6.55026610729692e-07
1887,6.365701779031951e-07
1888,6.911270133969083e-07
1889,6.559598091371299e-07
1890,5.997263770041172e-07
1891,6.272232440096559e-07
1892,6.11806797223835e-07
1893,6.127624487817229e-07
1894,7.001009976193018e-07
1895,6.289452016972064e-07
1896,6.292129910434596e-07
1897,6.042301947672968e-07
1898,6.603299880225677e-07
1899,6.378825219144346e-07
1900,5.788024282082915e-07
1901,6.717664291500114e-07
1902,6.152585569907387e-07
1903,6.507265197797096e-07
1904,5.869090955457068e-07
1905,5.774889473286748e-07
1906,6.332491011562524e-07
1907,6.413125674953335e-07
1908,6.812096557951008e-07
1909,6.430649932553933e-07
1910,6.509175705105008e-07
1911,5.841770871484187e-07
1912,6.121069873188389e-07
1913,5.440867312245246e-07
1914,5.819470061396714e-07
1915,6.37339212516963e-07
1916,7.185799972830864e-07
1917,6.667585807917931e-07
1918,6.191156671775389e-07
1919,6.648066346315318e-07
1920,5.770040729657921e-07
1921,5.778006197942887e-07
1922,6.905747795826755e-07
1923,6.624351840400777e-07
1924,6.484486902991193e-07
1925,6.400939582817955e-07
1926,6.096937568145222e-07
1927,6.644938252975408e-07
1928,5.610186235571746e-07
1929,6.238627747734427e-07
1930,6.753817274329776e-07
1931,5.919380328123225e-07
1932,6.279814215304214e-07
1933,6.756220045645023e-07
1934,5.415674309006135e-07
1935,5.708871526621806e-07
1936,6.159355052659521e-07
1937,5.527500661628437e-07
1938,5.199050860937859e-07
1939,5.138800815984723e-07
1940,5.705511512132944e-07
1941,8.087117180366477e-07
1942,6.311160518635006e-07
1943,5.167758558854985e-07
1944,7.133273243198346e-07
1945,7.624764180036436e-07
1946,6.682130333501846e-07
1947,6.663767067038862e-07
1948,5.685997166438028e-07
1949,6.125813456492324e-07
1950,6.912985099916114e-07
1951,6.599407811336278e-07
1952,6.021082867846417e-07
1953,5.613164262285864e-07
1954,7.143723905755905e-07
1955,5.988017619529273e-07
1956,6.68911582124565e-07
1957,5.027136467106175e-07
1958,4.988162913832639e-07
1959,6.673394068457128e-07
1960,5.723529170609254e-07
1961,6.433995736188081e-07
1962,6.062910529180954e-07
1963,5.994031084810558e-07
1964,6.534182261930255e-07
1965,6.139632660051575e-07
1966,6.131755867500033e-07
1967,6.532694669658667e-07
1968,6.072394285183691e-07
1969,5.913368568144506e-07
1970,5.762202590631205e-07
1971,5.400455620474531e-07
1972,5.145537329553918e-07
1973,5.821943318551348e-07
1974,5.085516932012979e-07
1975,4.466377561129775e-07
1976,4.5022591166343773e-07
1977,4.889482738690276e-07
1978,5.762373689321976e-07
1979,5.506706770574965e-07
1980,5.429319003269484e-07
1981,5.047788249612495e-07
1982,5.437772188088275e-07
1983,4.6607033254986163e-07
1984,5.358284056455886e-07
1985,4.896664336229151e-07
1986,5.718738975701854e-07
1987,4.7419939619430806e-07
1988,5.199012207413034e-07
1989,5.339942958926258e-07
1990,4.958272370458872e-07
1991,5.720789886254352e-07
1992,5.664222726409207e-07
1993,5.517050567505066e-07
1994,5.338225719242473e-07
1995,5.173018280402175e-07
1996,4.4893354811392783e-07
1997,4.775715183313878e-07
1998,5.044680619903374e-07
1999,4.757579290526337e-07
2000,5.049810170021374e-07
2001,5.09096821588173e-07
2002,5.200510031500016e-07
2003,5.89202898026997e-07
2004,5.488369652084657e-07
2005,5.634190642922476e-07
2006,5.822696493851254e-07
2007,6.754664809704991e-07
2008,7.254677143464505e-07
2009,7.209507089100953e-07
2010,9.10747303350945e-07
2011,9.16223712010833e-07
2012,1.1591480415518163e-06
2013,1.224425886903191e-06
2014,1.3159410627849866e-06
2015,1.2989131619178806e-06
2016,1.2587534001795575e-06
2017,1.2761696552843205e-06
2018,1.436328034287726e-06
2019,1.3265135976325837e-06
