year,vieux_ADJ jeux_NOUN
1925,3.299453377181294e-09
1926,4.458455382660986e-09
1927,8.919379901328739e-09
1928,1.3711249025050165e-08
1929,4.4561625500705304e-09
1930,5.2518016602221e-09
1931,1.7108034988666532e-08
1932,3.287861094491973e-09
1933,2.064719195615794e-08
1934,1.3179738189705859e-08
1935,1.4361940969820353e-08
1936,8.487299751891442e-09
1937,3.777335333410292e-09
1938,6.482607339819424e-09
1939,7.647025235257843e-09
1940,1.7750480196809804e-08
1941,0.0
1942,9.102635090130207e-09
1943,5.806470415592457e-09
1944,2.2492303131116387e-08
1945,8.714016175304096e-09
1946,5.568441707737293e-09
1947,3.5762612871081956e-09
1948,6.523132700664291e-09
1949,1.9634016634739737e-09
1950,0.0
1951,5.330700769690111e-09
1952,5.272402070488624e-09
1953,1.723812381726475e-08
1954,1.172704333640695e-08
1955,9.385607846468247e-09
1956,1.5698054411927842e-08
1957,1.7670075402875796e-09
1958,4.1361216673863055e-09
1959,2.325224457422337e-09
1960,1.314958364417862e-08
1961,6.94815938118154e-09
1962,1.9025869768540815e-09
1963,5.819448034571906e-09
1964,1.034274621503073e-08
1965,7.1136563306595235e-09
1966,3.8773522170743036e-09
1967,5.423369309198733e-09
1968,8.084548142051062e-09
1969,4.995933444718048e-09
1970,4.598724956395017e-09
1971,5.652237344833111e-09
1972,1.2825367434743384e-08
1973,6.064523994098181e-09
1974,6.750686232237513e-09
1975,7.4249242310031605e-09
1976,4.570821499072508e-09
1977,7.639816779203557e-09
1978,4.158414057542359e-09
1979,2.925986564150662e-09
1980,2.8425752862659692e-09
1981,4.427884725544118e-09
1982,9.311253101884631e-09
1983,6.315316269933646e-09
1984,6.378909400694965e-09
1985,2.4062232206745193e-09
1986,5.994485352545098e-09
1987,7.94406213033838e-09
1988,3.597932174415064e-09
1989,4.939309850016116e-09
1990,6.538381391862913e-09
1991,1.0550637696837839e-08
1992,2.7549720282848966e-09
1993,7.200969598386564e-09
1994,6.329911705904578e-09
1995,8.133675954979935e-09
1996,8.007138063703678e-09
1997,2.4453961633419397e-08
1998,9.059445638115449e-09
1999,3.1991407301035224e-09
2000,6.185243983658495e-09
2001,3.5049694258049158e-09
2002,7.886198361006791e-09
2003,9.167230530238157e-09
2004,3.523833003171717e-09
2005,1.261049931144953e-08
2006,9.471146533712727e-09
2007,7.589511241690161e-09
2008,1.3198063253394565e-08
2009,7.1522885392028e-09
2010,1.0864724231396394e-08
2011,9.942326961720482e-09
2012,1.8042539906559796e-08
2013,9.204113027294625e-09
2014,1.6457383816836924e-08
2015,1.50727123282568e-08
2016,1.6570720046127363e-08
2017,1.2578056818313144e-08
2018,1.9619147195726327e-08
2019,1.4540630033366142e-08
