year,quelques_DET iles_NOUN
1953,1.1851209791302608e-08
1954,4.886268278880834e-09
1955,1.2201290200408721e-08
1956,2.703553869665143e-08
1957,1.4136059989233729e-08
1958,8.272243445794913e-09
1959,1.0851046838844525e-08
1960,4.844583401109048e-09
1961,1.04222386276831e-08
1962,1.331810839388936e-08
1963,1.2285501060915749e-08
1964,4.8671746077921796e-09
1965,1.1491291085352628e-08
1966,1.4401594583546284e-08
1967,7.395503098805989e-09
1968,1.2126822879210408e-08
1969,5.450109141769133e-09
1970,9.197450273612517e-09
1971,9.249115584530898e-09
1972,3.5911026929902334e-09
1973,4.961883459664307e-09
1974,1.2376257685353664e-08
1975,3.998036124386317e-09
1976,5.713526762818333e-09
1977,1.2928920267718524e-08
1978,1.1881182926387623e-08
1979,9.363157360553487e-09
1980,9.096240982664483e-09
1981,6.3255494731073725e-09
1982,8.069752754913395e-09
1983,5.052252727288931e-09
1984,9.278413815039244e-09
1985,9.02333718855175e-09
1986,5.395036861699509e-09
1987,8.555143538035992e-09
1988,4.7972429917386705e-09
1989,2.7440609784434855e-09
1990,2.7243255429354463e-09
1991,1.7584395606284886e-09
1992,4.95894991736634e-09
1993,3.323524566667402e-09
1994,3.164956019485743e-09
1995,4.880205572987961e-09
1996,1.0142375161947825e-08
1997,3.835915585170824e-09
1998,2.8608774238492174e-09
1999,3.1991407856146736e-09
2000,3.0926219363180962e-09
2001,8.762423564512289e-10
2002,1.752488598683044e-09
2003,1.2500768753476166e-09
2004,1.7619165015858584e-09
2005,1.8014998381943315e-09
2006,4.1178899179428186e-10
2007,1.9972397624634652e-09
2008,2.1287198115338413e-09
2009,9.53638501499654e-10
2010,4.723793023408973e-10
2011,0.0
2012,1.3617010852229328e-09
2013,1.9523875849358774e-09
2014,0.0
2015,6.649726186358507e-10
2016,8.285360175719347e-10
2017,2.0124890642847504e-09
2018,7.744400121190154e-10
2019,5.1019755087367e-10
