year,véritables_ADJ gens_NOUN
1974,1.2938814464291681e-08
1975,6.282628195464213e-09
1976,5.142174241967723e-09
1977,1.1753563455840776e-08
1978,8.316828115084718e-09
1979,8.777959692451986e-09
1980,7.390696055153967e-09
1981,7.590659656386833e-09
1982,9.311253101884631e-09
1983,4.4207211225000265e-09
1984,6.958810416790584e-09
1985,7.820225356169885e-09
1986,2.3977941854269602e-09
1987,6.721898593298192e-09
1988,6.596209356501959e-09
1989,6.036934507847036e-09
1990,4.90378582185258e-09
1991,9.96449056600568e-09
1992,7.713921945651236e-09
1993,3.323524566667402e-09
1994,1.1077346151466827e-08
1995,4.880205572987961e-09
1996,8.007138063703678e-09
1997,1.4864173003559245e-08
1998,1.2873949017944142e-08
1999,9.597422412355172e-09
2000,6.185244316725402e-09
2001,9.20054432640427e-09
2002,2.1906108038649563e-09
2003,6.667076668520622e-09
2004,6.166707589017051e-09
2005,9.908249332113428e-09
2006,7.412201963319376e-09
2007,1.2382886716011399e-08
2008,6.811903485726134e-09
2009,9.059565542202108e-09
2010,6.140930874920514e-09
2011,6.500752380844688e-09
2012,6.127654827992046e-09
2013,6.9728125495771565e-09
2014,8.228691505962615e-09
2015,8.201329393386914e-09
2016,6.8354220061905835e-09
2017,3.2702947017071438e-09
2018,6.453666934191915e-09
2019,1.0459049626376782e-08
