year,divers_DET jeux_NOUN
1876,4.353130655943005e-08
1877,6.246664163711557e-08
1878,3.985798580075084e-08
1879,3.971061457441749e-08
1880,5.519347801019592e-08
1881,3.555978950187111e-08
1882,4.1928927219103684e-08
1883,5.18185784281755e-08
1884,2.178560087884307e-08
1885,3.7384687789909776e-08
1886,6.582533074173114e-08
1887,3.982644092292986e-08
1888,3.9945873719915426e-08
1889,2.6940088715399213e-08
1890,3.5393685759999016e-08
1891,3.3145945876889016e-08
1892,3.5730521874555166e-08
1893,3.818218285989161e-08
1894,2.6466464131402745e-08
1895,3.3704241841903126e-08
1896,4.36380157564642e-08
1897,4.253501018069983e-08
1898,4.187182744974649e-08
1899,2.819064981451902e-08
1900,4.6200374193006155e-08
1901,3.968004691490279e-08
1902,3.830021244599635e-08
1903,2.9161189907256357e-08
1904,4.837162670412454e-08
1905,3.767353984329702e-08
1906,3.96102197708359e-08
1907,3.5485619775954547e-08
1908,2.455694603220593e-08
1909,2.4754425509421196e-08
1910,2.4048678826105174e-08
1911,2.7665944757337968e-08
1912,3.438218065809906e-08
1913,4.5605710541352096e-08
1914,4.085013555199524e-08
1915,2.9451904026700504e-08
1916,1.0987462051303964e-08
1917,9.8697816586224e-09
1918,9.189101035644853e-09
1919,3.59106084313332e-08
1920,3.180337415642498e-08
1921,2.0446417448027887e-08
1922,3.393850267485732e-08
1923,6.157249821114874e-08
1924,3.351822264185955e-08
1925,5.719052453834195e-08
1926,4.6813779186472004e-08
1927,3.9022287179335535e-08
1928,3.54207270181206e-08
1929,5.681607095908703e-08
1930,4.411513643276521e-08
1931,3.5356604755065746e-08
1932,2.082311956197458e-08
1933,3.9000252805010405e-08
1934,3.354842448288764e-08
1935,4.4282649547255915e-08
1936,2.182448533005754e-08
1937,4.5328025777280345e-08
1938,3.630259948206316e-08
1939,1.988226561167039e-08
1940,3.042939522579502e-08
1941,2.3612020783048138e-08
1942,3.944475324146879e-08
1943,9.000029344008453e-08
1944,5.46241629706401e-08
1945,3.0499055725385915e-08
1946,3.7586982415405146e-08
1947,5.245183132274178e-08
1948,3.913879664807496e-08
1949,3.9268032381301055e-08
1950,1.9143650442643434e-08
1951,7.036525184744846e-08
1952,2.7416489856157966e-08
1953,3.23214819353268e-08
1954,4.690817156927096e-08
1955,3.378818824728569e-08
1956,4.273359310857927e-08
1957,1.5903067751565914e-08
1958,5.542403025415865e-08
1959,5.037986250400195e-08
1960,6.367166660581347e-08
1961,4.2383770937348686e-08
1962,3.678334725698562e-08
1963,3.297687178882569e-08
1964,4.867174663303331e-08
1965,4.651236773511869e-08
1966,4.874385828301797e-08
1967,3.697751616016376e-08
1968,4.850729107275242e-08
1969,4.905098371921213e-08
1970,4.414775967021001e-08
1971,4.2648698794778284e-08
1972,4.719735136049508e-08
1973,6.395316276552876e-08
1974,4.3316900066869835e-08
1975,5.1974469172932913e-08
1976,5.1993093386215605e-08
1977,3.9374438209893725e-08
1978,5.762373511686292e-08
1979,5.0326971923198016e-08
1980,5.1166355152787446e-08
1981,5.6297391859416734e-08
1982,5.462601926353727e-08
1983,5.494324906152315e-08
1984,6.030968835446515e-08
1985,6.376491645809779e-08
1986,5.874595832011664e-08
1987,4.7053290153087346e-08
1988,6.356347137526086e-08
1989,3.567279538430057e-08
1990,5.884542897405254e-08
1991,5.0994748868049555e-08
1992,4.297756417415144e-08
1993,3.8774453203771486e-08
1994,8.228885395311636e-08
1995,7.862553452753218e-08
1996,6.99290074734904e-08
1997,4.6510475915084726e-08
1998,6.770743699036075e-08
1999,5.712751494080237e-08
2000,6.361965443346662e-08
2001,6.396569085520554e-08
2002,7.798574142015013e-08
2003,6.333722879503512e-08
2004,7.267905743901792e-08
2005,5.4044995145829944e-08
2006,6.38272918962457e-08
2007,6.630835758247855e-08
2008,6.258436169304105e-08
2009,7.104606858376883e-08
2010,6.943975661144464e-08
2011,7.189067627311196e-08
2012,8.238291382411944e-08
2013,4.713621171159588e-08
2014,5.586848661476296e-08
2015,4.699139910524508e-08
2016,5.3440572411744824e-08
2017,4.4274759192219904e-08
2018,4.3884933464966025e-08
2019,5.918291523521191e-08
