year,fallait_VERB imiter_VERB,fallait_VERB limiter_VERB
1846,3.8639708321852595e-08,7.610851504580296e-09
1847,2.1572894581822766e-08,1.0786447290911383e-09
1848,1.930853166243196e-08,1.126331028444838e-08
1849,1.0893239199560867e-08,1.8434713311421547e-08
1850,3.6660580349234806e-08,1.2899092460827433e-08
1851,1.483370937194195e-08,1.3543821175687754e-08
1852,1.9531636752390114e-08,1.0416872697760482e-08
1853,2.269334054005867e-08,2.388772735173461e-09
1854,1.1430461910322265e-08,3.117398783558656e-09
1855,1.8043586180738203e-08,1.1675261646360013e-08
1856,1.1907535402144731e-08,4.659470143053568e-09
1857,2.001418764052687e-08,7.810414537345878e-09
1858,2.6425849952715907e-08,4.404308473482388e-09
1859,1.2730433596175317e-08,3.5645213447565993e-09
1860,2.334363813361051e-08,2.0597328287408345e-08
1861,2.4994607272788016e-08,5.659156698811785e-09
1862,1.9427341513278407e-08,5.421583626485926e-09
1863,2.2975255475898848e-08,8.990317823531768e-09
1864,2.9247839705703882e-08,8.151037178549814e-09
1865,2.3063536858103362e-08,7.0602665935837194e-09
1866,2.238181906477621e-08,6.3252967308358166e-09
1867,4.464586567110018e-08,1.8925964795357686e-08
1868,2.5687345583946808e-08,9.87974857480367e-09
1869,1.953407746668745e-08,7.813630631403612e-09
1870,3.55511033944822e-08,1.0894693147633916e-08
1871,2.3366590440332402e-08,3.080141297573391e-08
1872,4.172663992108028e-08,6.047339295989218e-10
1873,1.7359413462259e-08,7.183205141814142e-09
1874,1.7326366119618797e-08,1.7326366119618797e-08
1875,2.4030413214859436e-08,2.2886108563824337e-09
1876,2.539326260375674e-08,1.209202959984168e-08
1877,2.5976227391311113e-08,1.8554447978047506e-09
1878,1.0870359723469392e-08,1.3285995414946683e-08
1879,3.4823152361695975e-08,7.94212251520321e-09
1880,1.7328185109022343e-08,1.1552122813895949e-08
1881,1.045876096839038e-08,5.5780060570498335e-09
1882,1.7969540522244642e-08,1.2645231528551903e-08
1883,1.516641390253426e-08,3.791603475633565e-09
1884,9.242375753615306e-09,9.242375753615306e-09
1885,1.5469526104539e-08,9.66845359329227e-09
1886,2.710454793941608e-08,7.744156427236248e-09
1887,2.546280519766242e-08,1.3057849024278312e-08
1888,1.5851536971922542e-08,1.6485598663962264e-08
1889,1.1277245803853475e-08,8.771191772893872e-09
1890,1.2453334363726754e-08,1.9007721618891082e-08
1891,2.039750413018737e-08,1.4023283867459213e-08
1892,1.002961980134387e-08,6.8953633913793055e-09
1893,1.4780200174868696e-08,1.539604177480669e-08
1894,6.301539290376468e-09,6.301539290376468e-10
1895,1.1435367319734269e-08,1.2037228991346183e-08
1896,2.4177818858106548e-08,1.1204354777305525e-08
1897,8.740070001067579e-09,5.2440420894583895e-09
1898,1.5277558773618694e-08,2.0370077180587032e-08
1899,1.3818945987509323e-08,1.0502398950507086e-08
1900,1.5054054003371675e-08,9.863001082521805e-09
1901,1.900171220370339e-08,1.0618603774048552e-08
1902,7.365425602756659e-09,5.4013122863239005e-09
1903,1.5660639007819555e-08,1.0800440541913758e-08
1904,1.0211787859759625e-08,1.5586412160928376e-08
1905,2.0643036169332163e-09,9.28936660926638e-09
1906,1.2860461140462576e-08,6.173021205313489e-09
1907,5.65712765521198e-09,7.71426478252124e-09
1908,1.276961114626829e-08,2.701263923654551e-08
1909,6.0510818578052294e-09,2.0903737407707013e-08
1910,1.3894791983659616e-08,1.0153886620400954e-08
1911,1.4897047151407605e-08,7.980561100850991e-09
1912,1.1981668990301841e-08,1.1460726589973547e-08
1913,1.0075680734189518e-08,4.242391771214216e-09
1914,1.0045115850232378e-08,1.808120764223986e-08
1915,2.3561523843085297e-09,9.424609537234119e-09
1916,1.0987461607214755e-08,1.538244731591476e-08
1917,3.289927441585405e-09,1.864292187292449e-08
1918,2.2972752589112133e-08,6.89182577673364e-09
1919,9.207848372660976e-10,2.1178051312631396e-08
1920,3.786115865267448e-09,1.0601124422748853e-08
1921,1.3630945261411398e-08,9.087297137000405e-09
1922,1.2542490601674672e-08,1.549366501762961e-08
1923,7.431163684401554e-09,1.2739137744688378e-08
1924,2.4494086758863887e-08,1.4180787211159895e-08
1925,3.299453377181294e-09,1.2097995494286806e-08
1926,7.802296586589819e-09,2.0063049888108253e-08
1927,1.2264147031260109e-08,1.5608915049369898e-08
1928,7.998228745975666e-09,2.0566874425753667e-08
1929,5.570202965543558e-09,1.3368487650211591e-08
1930,1.3654684494213143e-08,9.453243521306831e-09
1931,3.4216069977333063e-09,1.1405356659111021e-08
1932,7.6716757391182e-09,9.863582839386709e-09
1933,1.0323596200123575e-08,2.1794258842078307e-08
1934,5.990790086229936e-09,9.585264137967897e-09
1935,7.180970484910176e-09,1.4361940969820353e-08
1936,8.487299751891442e-09,1.2124714565686645e-08
1937,7.554670666820584e-09,1.0072894518486919e-08
1938,1.9447821131279852e-08,1.6854778905894818e-08
1939,3.058810094103137e-09,2.5999884911698246e-08
1940,7.607348528892999e-09,2.2822046474857416e-08
1941,5.9030051957620344e-09,3.246652724442356e-08
1942,3.034211770724937e-09,2.1239483061208375e-08
1943,0.0,8.709705845433291e-09
1944,2.2492303131116387e-08,1.2852744646352221e-08
1945,1.9606536838523425e-08,1.089252066321933e-08
1946,2.227376683094917e-08,2.5057987684817817e-08
1947,9.536696765621855e-09,2.26496545963073e-08
1948,6.523132700664291e-09,7.610321262063735e-09
1949,6.8719057111366055e-09,2.9451024730065e-08
1950,1.808011518278363e-08,2.5524867552917385e-08
1951,5.330700769690111e-09,1.3859822622919182e-08
1952,8.435843135146115e-09,2.4253049346611988e-08
1953,1.4005975934594517e-08,1.4005975934594517e-08
1954,1.4658803948464083e-08,1.7590565448699635e-08
1955,5.631364707880948e-09,1.1262729415761896e-08
1956,6.976913269340912e-09,1.744228228517386e-08
1957,1.4136060322300636e-08,2.2087593976038988e-08
1958,6.617794756635931e-09,2.6471179026543723e-08
1959,6.200598257066758e-09,1.2401196514133517e-08
1960,9.689166802218097e-09,1.1073333361366622e-08
1961,1.389631876236308e-08,1.528595028332802e-08
1962,1.3952304200870458e-08,1.2683912586908264e-08
1963,1.2932106940866106e-08,2.5217607557692645e-08
1964,1.034274621503073e-08,1.9468698653213323e-08
1965,1.3132904541635071e-08,2.4624196015565758e-08
1966,1.2185964237687585e-08,1.9386762417639147e-08
1967,8.381570104631919e-09,1.2818872185960117e-08
1968,1.527081394669949e-08,1.7965662735264232e-08
1969,1.1808570121729645e-08,2.497966811176866e-08
1970,6.438214850135182e-09,1.5175793066646293e-08
1971,1.284599360218408e-08,1.4387513402880359e-08
1972,1.128632298730281e-08,2.0520587895589415e-08
1973,1.4885650045926013e-08,2.1501493918663073e-08
1974,9.563471792262135e-09,1.800182936051442e-08
1975,5.711480177694739e-09,1.770558810676448e-08
1976,1.0284348483935446e-08,1.542652228181396e-08
1977,1.23412418062685e-08,2.3507126911681553e-08
1978,1.544553818177974e-08,1.3663360221016774e-08
1979,1.345953837272873e-08,2.1067103617156135e-08
1980,3.411090521154847e-09,1.989802811408481e-08
1981,1.0753434587229549e-08,2.4037088763861902e-08
1982,1.0552754226011984e-08,2.1726258125909226e-08
1983,8.841442245000053e-09,1.894594880980094e-08
1984,5.219107812592938e-09,1.8556827185989277e-08
1985,6.617113967877231e-09,2.8273122509858695e-08
1986,1.0790073723399018e-08,2.1580147446798037e-08
1987,1.1610551631235921e-08,2.749867533680117e-08
1988,4.797243047249822e-09,2.0388283061834045e-08
1989,6.585746614717891e-09,1.8110803523541108e-08
1990,4.90378582185258e-09,1.5801088437683575e-08
1991,2.9307325455363298e-09,1.992898113201136e-08
1992,9.91789939064347e-09,2.589673719910479e-08
1993,6.093128224193833e-09,1.994114740000441e-08
1994,8.967375286772494e-09,2.2154692302933654e-08
1995,7.0491861237087505e-09,2.3858783393393423e-08
1996,9.074756945892659e-09,2.1886178203089912e-08
1997,6.233362714880286e-09,1.3905194329311144e-08
1998,9.536258005482523e-09,1.859570453177639e-08
1999,5.484241505371301e-09,1.416762351880152e-08
2000,7.068850393920911e-09,1.502130686503733e-08
2001,1.0514908055370142e-08,2.365854356867203e-08
2002,1.2267419968736704e-08,1.3581786362237835e-08
2003,1.5417615628621206e-08,2.25013838672794e-08
2004,8.80958239690699e-09,1.761916479381398e-08
2005,9.457874483587148e-09,1.8465373230469595e-08
2006,1.1118302722934459e-08,1.317724773741702e-08
2007,8.38840730210677e-09,2.157018919035636e-08
2008,8.089135583588813e-09,1.702975893635994e-08
2009,9.53638501499654e-09,1.8595951445377068e-08
2010,4.723792912386671e-09,2.0784689525044087e-08
2011,7.265546830836911e-09,1.911985947344874e-08
2012,4.425528388196653e-09,1.599998711299122e-08
2013,8.08846234434668e-09,2.398647502843687e-08
2014,9.311413862178597e-09,1.7107016248019136e-08
2015,8.201329393386914e-09,1.3964425171764105e-08
2016,7.871092222444531e-09,1.4085112631789798e-08
2017,6.037467414898856e-09,1.1320251402935355e-08
2018,5.162933192082164e-09,1.6005094138904497e-08
2019,7.90806176098613e-09,2.1428297358738746e-08
