year,premier_ADJ air_NOUN
1888,3.804368731152863e-08
1889,6.390439410974835e-08
1890,4.7847022621727575e-08
1891,3.952016314201501e-08
1892,1.7551835096440982e-08
1893,3.0176241949675386e-08
1894,1.071261657159539e-08
1895,1.3842813118003505e-08
1896,2.240870955461105e-08
1897,1.3984112534615178e-08
1898,1.810673611046809e-08
1899,2.7085134135518274e-08
1900,1.3496738504592543e-08
1901,1.5089595351014395e-08
1902,9.329539141234022e-09
1903,2.700110068865058e-08
1904,1.7198801494089366e-08
1905,2.0126959654476195e-08
1906,2.36632491379396e-08
1907,3.39427645434931e-08
1908,3.290630568031361e-08
1909,5.005895076237721e-08
1910,3.740905540894346e-08
1911,1.8621309716415624e-08
1912,2.2400510502063042e-08
1913,4.295421618394357e-08
1914,4.28591582779525e-08
1915,1.5314990164938536e-08
1916,8.789969641043172e-09
1917,2.1932848870420685e-09
1918,8.040463406189247e-09
1919,2.1178051312631396e-08
1920,3.104614876292544e-08
1921,5.14946840723951e-08
1922,2.8773948279603445e-08
1923,3.3971035318103304e-08
1924,2.836157442231979e-08
1925,4.6192346836448905e-08
1926,3.7896870752618383e-08
1927,4.7941668412931904e-08
1928,2.8565102283550914e-08
1929,4.2333544891803854e-08
1930,3.5712252044461934e-08
1931,1.8248571542756054e-08
1932,3.06867029564728e-08
1933,1.7205992852709073e-08
1934,2.2765002327673756e-08
1935,2.0346082152400413e-08
1936,1.1882220007919386e-07
1937,1.0072894518486919e-08
1938,9.075650453382877e-09
1939,1.2235240376412548e-08
1940,1.01431314458722e-08
1941,3.8369532440185594e-08
1942,9.102635312174812e-09
1943,8.709705845433291e-09
1944,1.6065930807940276e-08
1945,1.089252066321933e-08
1946,6.542918740137793e-08
1947,1.907339353124371e-08
1948,2.8266908813634473e-08
1949,1.47255123650325e-08
1950,2.446133051670074e-08
1951,3.518262581270193e-08
1952,6.326882240337284e-09
1953,1.508335811806205e-08
1954,2.14995790059902e-08
1955,2.5341142073642686e-08
1956,2.8779766569897447e-08
1957,3.534015063921814e-08
1958,2.316228225884842e-08
1959,3.875374032791257e-08
1960,1.9378332827280076e-08
1961,2.570818935510033e-08
1962,5.5175021440589944e-08
1963,2.3277792138287623e-08
1964,2.068549243006146e-08
1965,3.0096239556076654e-08
1966,2.326411452369115e-08
1967,2.5637745704187864e-08
1968,7.904891569099348e-08
1969,3.179230420591317e-08
1970,4.736686776141141e-08
1971,4.162101996385559e-08
1972,8.823852787331887e-08
1973,2.811733906815661e-08
1974,1.743927158237568e-08
1975,1.6563292959403952e-08
1976,2.171140239815017e-08
1977,2.762087475405295e-08
1978,4.45544342531079e-08
1979,3.160065631391262e-08
1980,5.173487238607777e-08
1981,3.415796712147312e-08
1982,2.4830009937026887e-08
1983,5.368018685114606e-08
1984,9.046453453009917e-08
1985,5.17338007988144e-08
1986,4.495864214248968e-08
1987,7.210763969256462e-08
1988,1.9188972188999287e-08
1989,3.731922948446709e-08
1990,4.03200163812123e-08
1991,6.740684721506796e-08
1992,2.810071492165278e-08
1993,2.326467135604915e-08
1994,2.373717028492095e-08
1995,4.880205639601343e-08
1996,5.284711224184946e-08
1997,2.7810387548399262e-08
1998,3.814503424237614e-08
1999,3.564756798080104e-08
2000,4.5947528004575133e-08
2001,3.8992785694746956e-08
2002,3.461165060114624e-08
2003,4.625284466541757e-08
2004,5.15360573938306e-08
2005,4.8640496297380764e-08
2006,4.941467945940303e-08
2007,5.392547294813532e-08
2008,1.345351007264739e-07
2009,4.2436912872645394e-08
2010,4.6293173294742473e-08
2011,1.5678285225639854e-08
2012,3.165954887140998e-08
2013,2.0081699858565116e-08
2014,3.8328378526575335e-08
2015,2.637724778875583e-08
2016,2.112766767092822e-08
2017,3.3960754791673153e-08
2018,2.6330960967158035e-08
2019,2.2193593407493495e-08
