year,son_DET art_NOUN
1911,7.4325628531823895e-06
1912,7.536990807466282e-06
1913,7.332974163887229e-06
1914,6.850768940580565e-06
1915,4.376552823259772e-06
1916,5.303648109133974e-06
1917,5.495275189559834e-06
1918,5.79257947208589e-06
1919,7.130557889922784e-06
1920,8.392304465587586e-06
1921,9.091083214229911e-06
1922,9.215779229521104e-06
1923,8.709323395805768e-06
1924,8.616761817847873e-06
1925,8.266230466347224e-06
1926,7.890351270134488e-06
1927,7.76320550244236e-06
1928,7.903392628350048e-06
1929,8.18597044371927e-06
1930,7.902911249857425e-06
1931,6.902521903384695e-06
1932,6.696276670936641e-06
1933,6.726396321710126e-06
1934,5.969223280999358e-06
1935,7.822470308838092e-06
1936,6.902599906766227e-06
1937,6.242676235501676e-06
1938,6.9623200715795974e-06
1939,6.720205846022509e-06
1940,6.169559952695636e-06
1941,7.198714939704587e-06
1942,8.46545077592964e-06
1943,8.192929840333818e-06
1944,8.26752776106332e-06
1945,7.20649140362184e-06
1946,8.198138345960615e-06
1947,8.008440943285677e-06
1948,7.779923038242487e-06
1949,6.813003778916027e-06
1950,6.765153372612076e-06
1951,7.186850893958763e-06
1952,6.238306070827093e-06
1953,7.064398744205391e-06
1954,7.362628934970417e-06
1955,7.370517749905048e-06
1956,6.643765573244309e-06
1957,7.0865835368749686e-06
1958,6.428360336485639e-06
1959,6.0510089667786815e-06
1960,6.669607017784074e-06
1961,6.408287276826741e-06
1962,5.8789936900893736e-06
1963,6.4770455026064155e-06
1964,6.02860433218666e-06
1965,6.175201150426801e-06
1966,5.8874826436294825e-06
1967,5.969650260340131e-06
1968,7.761166784803208e-06
1969,5.260718040744905e-06
1970,6.050082475894669e-06
1971,5.876271444549275e-06
1972,6.541963429640418e-06
1973,5.0732499232708506e-06
1974,4.585403601709004e-06
1975,4.721109391425671e-06
1976,4.519970971728071e-06
1977,4.415226314335996e-06
1978,5.114255031912762e-06
1979,4.951940042019487e-06
1980,5.413400359088882e-06
1981,4.873835862895248e-06
1982,5.115602419891729e-06
1983,4.882370973291472e-06
1984,5.046877220138413e-06
1985,5.179997273785375e-06
1986,5.016185426143238e-06
1987,5.203360785799305e-06
1988,5.178624036261681e-06
1989,5.061695119934484e-06
1990,5.818069581664531e-06
1991,5.1405048679953325e-06
1992,5.452089823165807e-06
1993,5.5995845684719825e-06
1994,5.272289257618468e-06
1995,5.391543055566217e-06
1996,5.478483871002027e-06
1997,5.283494147079182e-06
1998,5.590154614765197e-06
1999,5.475100977037073e-06
2000,5.253481276668026e-06
2001,5.190859752701726e-06
2002,5.641260713673546e-06
2003,5.425333540642896e-06
2004,5.127617541234031e-06
2005,5.461246843196932e-06
2006,5.803754049793497e-06
2007,5.238759641201796e-06
2008,4.852204071426058e-06
2009,4.872139058420544e-06
2010,4.029395540783298e-06
2011,3.671013146799851e-06
2012,3.712337630190632e-06
2013,3.5882093101236023e-06
2014,4.054362918282095e-06
2015,5.91559656015761e-06
2016,3.9347175828652325e-06
2017,3.2094168389562583e-06
2018,3.6148277686720576e-06
2019,3.592045850098202e-06
