year,aucun_DET cadeau_NOUN
1910,9.085056262847502e-09
1911,1.5429085564733214e-08
1912,1.0418842677495377e-08
1913,1.2727175757731857e-08
1914,1.6741860009439335e-08
1915,2.473960036830647e-08
1916,1.098746227334857e-08
1917,9.869782324756216e-09
1918,4.594550517822427e-09
1919,2.0257266308831845e-08
1920,6.815008557481406e-09
1921,1.4388220170857835e-08
1922,2.0658220023506146e-08
1923,1.2739137744688378e-08
1924,2.0626599095407983e-08
1925,1.5397448649423495e-08
1926,2.0063049888108253e-08
1927,2.1183527820767267e-08
1928,2.2852082448565625e-09
1929,1.5596569369336066e-08
1930,8.402882833991043e-09
1931,2.5091783761865827e-08
1932,2.520693342944469e-08
1933,2.7529588830788043e-08
1934,2.156684431042777e-08
1935,2.992070946561398e-08
1936,1.33371855781661e-08
1937,1.2591118370153254e-08
1938,1.9447821131279852e-08
1939,1.6823456405745674e-08
1940,2.7893612752905028e-08
1941,2.6563522936839945e-08
1942,1.8205270180260413e-08
1943,5.225823351828751e-08
1944,4.177142010064472e-08
1945,2.832055301382752e-08
1946,2.9234319853799207e-08
1947,2.2649654818351905e-08
1948,1.522064252412747e-08
1949,1.2762111145647737e-08
1950,2.4461331182834556e-08
1951,1.2793682557799002e-08
1952,1.4762725042416491e-08
1953,2.370241980464982e-08
1954,2.1499578783945594e-08
1955,2.3464020060259827e-08
1956,2.965188206083269e-08
1957,1.7670075902476157e-08
1958,3.4743422361316334e-08
1959,3.2553141515734296e-08
1960,1.9378334104036554e-08
1961,2.7097821542199085e-08
1962,2.156265105357491e-08
1963,1.7458343881671112e-08
1964,2.8594651535485127e-08
1965,1.641613067704384e-08
1966,2.4925835617750636e-08
1967,2.760987993788433e-08
1968,2.2457078807658348e-08
1969,2.4525492747784483e-08
1970,2.1154135165790677e-08
1971,1.9525910444073702e-08
1972,2.000757282072385e-08
1973,2.0950174539624555e-08
1974,2.1939729366593497e-08
1975,2.6843955946986853e-08
1976,3.7137924513430676e-08
1977,3.349765620441758e-08
1978,2.9702957538013663e-08
1979,2.8089471748593553e-08
1980,3.013129845630402e-08
1981,3.858585273519566e-08
1982,3.9107263205551135e-08
1983,3.410270599246701e-08
1984,3.015484423274373e-08
1985,3.609334664478325e-08
1986,5.3350922013528645e-08
1987,5.1330861339238254e-08
1988,4.7372775702214653e-08
1989,3.402635617710814e-08
1990,4.304434186863659e-08
1991,4.278869580875977e-08
1992,3.912060414501539e-08
1993,4.542150000563794e-08
1994,5.433174254942941e-08
1995,2.982347879765257e-08
1996,3.9501880655379296e-08
1997,5.322332996549051e-08
1998,5.292623483921233e-08
1999,5.30143350607748e-08
2000,5.3016378398496045e-08
2001,5.1698300307378986e-08
2002,4.205972548021464e-08
2003,4.6669537234755865e-08
2004,5.109557799087838e-08
2005,4.773974682237281e-08
2006,5.847403539149809e-08
2007,7.58951075319203e-08
2008,6.726754842034666e-08
2009,9.011884172238638e-08
2010,7.652544731229227e-08
2011,1.0057046306855e-07
2012,9.08935460230964e-08
2013,1.0180306286855512e-07
2014,1.1606786021189919e-07
2015,9.619936891525072e-08
2016,1.139237033598306e-07
2017,1.2552900696682912e-07
2018,1.4275510196171126e-07
2019,1.2295760942748757e-07
