year,bien_ADV couvert_ADJ
2004,2.99525808600265e-08
2005,1.5763124139311913e-08
2006,4.776752149382446e-08
2007,3.5550868915379397e-08
2008,5.1940762801905294e-08
2009,3.862236042095901e-08
2010,3.7790343299093365e-08
2011,5.812437464669529e-08
2012,4.629783845189195e-08
2013,4.8809688735218515e-08
2014,4.309235990263005e-08
2015,6.006919051060322e-08
2016,6.959702858466699e-08
2017,4.930598151986487e-08
2018,5.524338675400031e-08
2019,5.637683031523011e-08
