year,en_ADP an_NOUN,en_ADP camp_NOUN
1957,2.31477991108342e-07,1.0602045180663211e-07
1958,2.556123281927114e-07,1.2739254967586433e-07
1959,2.1082034362684965e-07,9.610927576009232e-08
1960,1.986279155596904e-07,1.1350166517765103e-07
1961,2.0913959231094736e-07,1.2089797002401426e-07
1962,2.416285432849108e-07,1.3381528640721285e-07
1963,2.133797532000159e-07,1.0798308691661873e-07
1964,2.293656092833274e-07,1.5574959266739796e-07
1965,2.1450410364609596e-07,1.335178545502913e-07
1966,2.0549968060556978e-07,1.4844720830353708e-07
1967,1.9770645359740158e-07,1.434727694427096e-07
1968,1.8280062505371397e-07,1.9852058213976065e-07
1969,1.630491064108508e-07,1.96658106688119e-07
1970,1.692330778291229e-07,1.4210059762209681e-07
1971,1.6905328026339816e-07,1.3565369672008387e-07
1972,1.8468528922843674e-07,1.549304329273582e-07
1973,1.3783009528145485e-07,1.6870404251356774e-07
1974,2.3852424302361896e-07,1.8620641928368542e-07
1975,2.2560346923938823e-07,1.8276736568623164e-07
1976,1.5255116581069927e-07,1.771193288702122e-07
1977,1.4280580318271063e-07,2.1156414220513398e-07
1978,1.188118274875194e-07,1.9188109945389442e-07
1979,1.281582141521298e-07,1.7321840473094596e-07
1980,1.5804718556111652e-07,2.6037989830918207e-07
1981,1.1449244580186146e-07,1.7268750385213139e-07
1982,1.3904804907483026e-07,2.1788333148808903e-07
1983,1.3388469954911386e-07,2.5134957937211766e-07
1984,1.786094572242547e-07,2.4123874631243325e-07
1985,1.0527226579348792e-07,2.3761454315263109e-07
1986,1.0190625043815515e-07,2.4457500225061324e-07
1987,1.1305011188289527e-07,2.3282212002762037e-07
1988,2.4645836249614916e-07,2.7943940483776686e-07
1989,1.053719477228654e-07,2.409285635440739e-07
1990,1.0897301572221352e-07,2.8932336548770365e-07
1991,1.1781545167233176e-07,2.801780507599716e-07
1992,1.4160556649489564e-07,3.311476541867364e-07
1993,1.0801454858322401e-07,3.029946591404098e-07
1994,9.283870938681105e-08,2.9803335599432046e-07
1995,1.1441371272624679e-07,3.557127756792511e-07
1996,1.2117468917161034e-07,3.037374369796453e-07
1997,7.719779804293836e-08,3.826325800648789e-07
1998,8.201181977973704e-08,3.413980416144824e-07
1999,8.27206416420534e-08,3.660731169308207e-07
2000,8.350079627739149e-08,4.0910970255936263e-07
2001,1.0339659703428872e-07,3.4830634587645903e-07
2002,1.0602556049787992e-07,3.5268832065948885e-07
2003,8.500522735710447e-08,4.2044252301920437e-07
2004,1.0263163519041996e-07,3.5810952980774857e-07
2005,9.097574116267992e-08,4.29207332230952e-07
2006,7.782812000423078e-08,3.5084422078668354e-07
2007,7.869124660220272e-08,3.5351141960959787e-07
2008,7.705965823778804e-08,3.3804070848075796e-07
2009,6.53242375747709e-08,4.1340228329467266e-07
2010,8.077686158847186e-08,4.322270714673948e-07
2011,3.7474924913238894e-08,3.7972042210565604e-07
2012,3.6765930244708755e-08,3.928507650297064e-07
2013,2.8727987766430374e-08,3.9912379656836805e-07
2014,3.3131311125145224e-08,4.4196735382584507e-07
2015,2.1722439139115757e-08,3.453424358978996e-07
2016,2.7548822750800284e-08,3.29343066596266e-07
2017,2.440142932158551e-08,3.8212135736181985e-07
2018,2.0135440093049795e-08,3.5262834785498853e-07
2019,4.28565950505444e-08,3.012716541794802e-07
