year,aucun_DET canal_NOUN
1877,2.9687117097942917e-08
1878,4.468925496325937e-08
1879,2.871382953628654e-08
1880,2.502960061434578e-08
1881,1.5339516323820135e-08
1882,1.3976308999019693e-08
1883,2.1485752954575332e-08
1884,7.790002243268646e-08
1885,2.5782542323327107e-08
1886,1.936039190075789e-08
1887,4.504957828999068e-08
1888,3.7409627395845746e-08
1889,2.8819629349641218e-08
1890,3.342737020517461e-08
1891,3.378336543846672e-08
1892,3.823792660284653e-08
1893,3.0792081995301146e-08
1894,1.7014155639927253e-08
1895,1.865770427045277e-08
1896,3.715128293890757e-08
1897,2.9716239691168767e-08
1898,4.300349898400668e-08
1899,9.39688327150634e-09
1900,2.4917055641004993e-08
1901,3.409130766574009e-08
1902,3.6336099684675105e-08
1903,2.1060858834687224e-08
1904,2.1498501645567103e-08
1905,3.302885875910988e-08
1906,1.6975808314612095e-08
1907,1.8514235478050978e-08
1908,2.2592390180875555e-08
1909,2.0353638774395222e-08
1910,2.1376603265288452e-08
1911,2.500575824182505e-08
1912,1.6149205861459848e-08
1913,2.4393752795504042e-08
1914,2.9465673012651905e-08
1915,7.068457152925589e-09
1916,6.592477230782379e-09
1917,1.864292187292449e-08
1918,2.067547733020092e-08
1919,4.051453178499642e-08
1920,3.558948957760322e-08
1921,2.877644078580488e-08
1922,3.098732825890238e-08
1923,2.7601465113491486e-08
1924,2.0626599095407983e-08
1925,4.069325920674771e-08
1926,1.3375366592072169e-08
1927,8.919380123373344e-09
1928,2.170947865920425e-08
1929,1.1140406153131721e-08
1930,7.352522590764465e-09
1931,1.596749932275543e-08
1932,1.534335103414719e-08
1933,1.9500125292282178e-08
1934,1.5576054224197833e-08
1935,1.6755597798123745e-08
1936,1.576212937948185e-08
1937,2.0145789036973838e-08
1938,1.1668692678767911e-08
1939,7.647025235257843e-09
1940,2.2822046474857416e-08
1941,4.132103725851266e-08
1942,6.978687139280737e-08
1943,1.1612940831184915e-08
1944,6.4263723231761105e-09
1945,1.089252021913012e-08
1946,1.1136883415474585e-08
1947,2.145756705651536e-08
1948,1.1959076839929139e-08
1949,1.7670615193310368e-08
1950,1.70165788127008e-08
1951,1.2793682557799002e-08
1952,1.6871685715180718e-08
1953,5.386913581872932e-09
1954,1.2704296725729591e-08
1955,1.783265446420046e-08
1956,9.593255967388359e-09
1957,2.297109880089465e-08
1958,1.3235589513271862e-08
1959,1.007597205671118e-08
1960,1.3841666701708277e-08
1961,1.8065213991391715e-08
1962,1.9660065575521912e-08
1963,1.0992290633282664e-08
1964,1.155953976983426e-08
1965,1.1491291473930687e-08
1966,1.0524242366471981e-08
1967,1.5777073869571723e-08
1968,1.8414804570099363e-08
1969,1.725867981861029e-08
1970,7.357959852516416e-09
1971,1.6956711590410123e-08
1972,9.234264020108185e-09
1973,1.4885650712059828e-08
1974,4.050411672729126e-08
1975,7.996072248772634e-09
1976,1.65692282116936e-08
1977,7.052138428775834e-09
1978,1.4257419467256227e-08
1979,8.192762912528906e-09
1980,7.959211123509391e-09
1981,1.0753434365184944e-08
1982,1.9864006883807406e-08
1983,1.136756910824488e-08
1984,1.2177918229383522e-08
1985,1.3835783629900789e-08
1986,3.5966913891627428e-09
1987,1.4665960224036212e-08
1988,4.797243047249822e-09
1989,1.6464366980883938e-08
1990,1.035243724079038e-08
1991,8.20605094986604e-09
1992,1.046889430700304e-08
1993,5.539207592608619e-09
1994,1.3714809288245533e-08
1995,1.1387147003105724e-08
1996,9.074756945892659e-09
1997,6.233362825902589e-09
1998,6.198568103243929e-09
1999,1.0511462728013399e-08
2000,7.068850393920911e-09
2001,1.1829271784336015e-08
2002,2.4972962087144168e-08
2003,2.875176807748403e-08
2004,8.369103104977071e-09
2005,1.0358623625528196e-08
2006,7.412201852297073e-09
2007,7.988958827809256e-09
2008,5.960415716543821e-09
2009,9.53638545908575e-09
2010,1.2281861527796423e-08
2011,1.3766299100659296e-08
2012,1.2936160587173617e-08
2013,1.0319762544508393e-08
2014,1.0610681444589432e-08
2015,9.309616522124031e-09
2016,9.94243232188552e-09
2017,1.006244565449066e-08
2018,1.0842159725577005e-08
2019,8.928457140289225e-09
