year,non_ADV ouverts_ADJ,non_ADV couverts_ADJ
1867,2.3778776281346836e-08,3.4454963326879806e-08
1868,1.2843672791973404e-08,2.4699369660652337e-08
1869,1.4650557433881772e-09,3.271957993433716e-08
1870,1.1468097582678638e-09,1.490852596930381e-08
1871,6.37270636261178e-09,4.5671061599250606e-08
1872,5.442605477412599e-09,6.410179764770874e-08
1873,5.387403856360606e-09,3.292302608315367e-08
1874,4.779687312606029e-09,5.795370938699307e-08
1875,8.010138330405425e-09,2.7463329388410784e-08
1876,1.813804395567331e-08,3.929909553335165e-08
1877,2.4739263970730008e-09,7.731019735501832e-08
1878,1.3285995414946683e-08,2.717589886458427e-08
1879,1.0996785704264767e-08,2.993569481191116e-08
1880,7.059631101924424e-09,3.0805662021293756e-08
1881,5.5780060570498335e-09,2.8587281875047665e-08
1882,5.324308105514319e-09,1.8635077481121698e-08
1883,5.0554711528150165e-09,2.0853818227806187e-08
1884,7.2618666635548834e-09,3.3668655419205606e-08
1885,1.4180398189012067e-08,6.058897383809381e-08
1886,1.1616235084943582e-08,1.2261581083805595e-08
1887,3.3297514079322355e-08,3.982643903555072e-08
1888,1.3949351895803375e-08,1.521747527988282e-08
1889,6.891650361495749e-09,3.633779144252003e-08
1890,6.554386366985909e-09,5.3745967676377404e-08
1891,2.8046567734918426e-08,4.3344694944380535e-08
1892,3.0715710863660206e-08,3.5103667528346705e-08
1893,1.3548516086814288e-08,1.9091091374434654e-08
1894,1.5123694296903523e-08,2.7726773765834878e-08
1895,9.027921521465032e-09,2.046328972937772e-08
1896,1.47425724961181e-08,4.776593343081004e-08
1897,1.631479840114025e-08,4.428302347037061e-08
1898,1.1316709347397591e-08,4.809601605870739e-08
1899,9.949641111006713e-09,7.793885714590942e-08
1900,1.5054054003371675e-08,3.73755817406618e-08
1901,1.7325090695408107e-08,4.3033288932292635e-08
1902,1.816805017540446e-08,5.008489623037349e-08
1903,1.5660639007819555e-08,4.9142006020019835e-08
1904,1.1824175416563776e-08,4.78341632970114e-08
1905,2.4255568220610257e-08,4.025391930895239e-08
1906,1.4403716441790948e-08,6.01869558636281e-08
1907,8.742834012309686e-09,4.0628464148539933e-08
1908,1.0313916831705683e-08,3.241516921548282e-08
1909,1.0451868703853506e-08,4.1257376182102234e-08
1910,1.6566866989364826e-08,4.275320719671072e-08
1911,1.1172785363555704e-08,3.298632123005518e-08
1912,9.376957876838787e-09,4.532196484774431e-08
1913,7.954484182448596e-09,4.825720623102825e-08
1914,5.357394972094198e-09,5.960101745472457e-08
1915,3.534228465440492e-09,8.010918151057922e-08
1916,1.9777431248257926e-08,9.339342454950383e-08
1917,2.0836205649743533e-08,4.0575770299255964e-08
1918,2.067547733020092e-08,3.9053681177847466e-08
1919,1.1970202606903513e-08,6.169258170984904e-08
1920,5.300562211374427e-09,2.8774479687854182e-08
1921,7.572747762196741e-09,5.9067428281878165e-08
1922,9.591316185719734e-09,4.205423209668879e-08
1923,9.554353752605493e-09,2.9724654737606215e-08
1924,1.1602462102189293e-08,5.0277336072213075e-08
1925,2.3096173862313663e-08,5.389107116116065e-08
1926,1.4489979882625903e-08,3.6782257240020044e-08
1927,6.689535148041159e-09,3.4562596340492746e-08
1928,4.570416489713125e-09,4.34189573184085e-08
1929,5.570202965543558e-09,4.233354289340241e-08
1930,8.402882833991043e-09,2.8359728787563654e-08
1931,5.7026783295555106e-09,4.5621426636444085e-08
1932,6.575722188983946e-09,6.466126478699152e-08
1933,3.9000251916831985e-08,2.408838994938378e-08
1934,7.188948103475923e-09,5.391711255242626e-08
1935,1.196828414151696e-08,4.4282650435434334e-08
1936,2.424942913137329e-09,3.758661648589623e-08
1937,7.554670666820584e-09,4.280980192561401e-08
1938,1.9447821131279852e-08,3.3709557811789637e-08
1939,2.4470480752825097e-08,5.964679417047591e-08
1940,7.607348528892999e-09,3.0429394115571995e-08
1941,1.1806010391524069e-08,2.3612020783048138e-08
1942,3.034211770724937e-09,4.247896612241675e-08
1943,2.9032352077962287e-09,2.322588166236983e-08
1944,0.0,3.213186161588055e-08
1945,4.357008087652048e-09,3.485606470121638e-08
1946,6.960552134671616e-09,2.7842208538686464e-08
1947,2.3841741914054637e-09,5.006765846360395e-08
1948,2.174377566888097e-09,2.8266908813634473e-08
1949,1.9634016634739737e-09,6.675565344949064e-08
1950,2.1270722960764488e-09,3.19060831088791e-08
1951,5.330700769690111e-09,3.5182626589858046e-08
1952,4.2179215675730575e-09,6.115985939914026e-08
1953,2.1547654771580937e-09,4.0940545176226806e-08
1954,3.9090144454689835e-09,4.593092128857279e-08
1955,1.8771215692936494e-09,2.9095383879962355e-08
1956,4.360570571293465e-09,3.8373023869553435e-08
1957,4.417518795207798e-09,3.975766915687018e-08
1958,4.9633461784992505e-09,2.8952852559882558e-08
1959,5.425523585955716e-09,4.417926291466756e-08
1960,1.1073333361366622e-08,3.3220000972278285e-08
1961,2.431855783413539e-08,2.987708569435199e-08
1962,4.43936931660005e-09,3.9320131151043825e-08
1963,3.2330267352165265e-09,4.4615767080813384e-08
1964,4.867174663303331e-09,3.346182708696688e-08
1965,5.47204326295514e-09,6.675892905150249e-08
1966,3.8773522170743036e-09,4.431259981174662e-08
1967,2.465167847631733e-09,3.64844829903177e-08
1968,5.838840522187638e-09,6.557467457923849e-08
1969,1.3625273354023193e-08,4.9505160859553143e-08
1970,1.3796174869185052e-08,6.346240866150765e-08
1971,5.138397263237948e-09,7.399292201171193e-08
1972,3.0780880067027283e-09,8.618646774039007e-08
1973,6.064523994098181e-09,5.402939606824475e-08
1974,5.06301445213353e-09,9.5072159922438e-08
1975,4.569184142155791e-09,6.796661722319186e-08
1976,5.713526873840635e-10,5.4278505245974884e-08
1977,2.938390863960194e-09,7.052138073504466e-08
1978,3.5643548113029055e-09,4.633661276898238e-08
1979,6.437170796402825e-09,5.442335293537326e-08
1980,4.548120546843393e-09,6.935884044878549e-08
1981,6.325549417596221e-09,6.325549861685431e-08
1982,8.690503427999374e-09,1.0490678903352091e-07
1983,3.78918940668882e-09,7.325766659960209e-08
1984,4.639206796497319e-09,6.78483971228161e-08
1985,3.609334831011779e-09,4.090579608373446e-08
1986,5.395036861699509e-09,6.893658621720533e-08
1987,1.2221633705067347e-09,6.233032934233051e-08
1988,5.99655392008458e-09,5.636760747051994e-08
1989,2.1952488715726304e-09,5.597884467078984e-08
1990,2.179460389939436e-09,7.573624571932669e-08
1991,0.0,6.799299967497063e-08
1992,2.7549720282848966e-09,7.107828281505135e-08
1993,2.7696036575264316e-09,9.91518120940782e-08
1994,5.274926717646622e-09,7.279398772652712e-08
1995,6.506940763983948e-09,6.615390191200277e-08
1996,2.6690460952494277e-09,6.619234227400739e-08
1997,1.438468344439059e-09,5.5141285315585264e-08
1998,2.3840645013706308e-09,9.44089606491616e-08
1999,3.656160929565999e-09,1.4213325982836977e-07
2000,3.092622158362701e-09,9.808029943769725e-08
2001,1.7524847129024579e-09,9.244357102033973e-08
2002,2.6287327870022636e-09,7.00995457236786e-08
2003,4.583615265119079e-09,8.167168630279775e-08
2004,2.2023955992267474e-09,9.822684177152041e-08
2005,2.251874686720612e-09,8.692236974638945e-08
2006,4.117890028965121e-09,7.4945596395537e-08
2007,2.7961355453243186e-09,5.472436725995067e-08
2008,4.257439734089985e-09,1.3879252946935594e-07
2009,2.860915504498962e-09,9.250293686591249e-08
2010,3.7790344187271785e-09,1.280147898796713e-07
2011,4.206369030868018e-09,6.462512658345076e-08
2012,5.7872298064864935e-09,5.991484641754141e-08
2013,7.2517249982695375e-09,4.8530775842436924e-08
2014,7.145969149746634e-09,4.7639794331644225e-08
2015,5.54143841924315e-09,4.676974185713334e-08
2016,4.556948152156792e-09,4.536234854413124e-08
2017,3.018733707449428e-09,4.5532566161909926e-08
2018,4.904786798931582e-09,3.536609227694498e-08
2019,6.12237061048404e-09,3.800971626333194e-08
