year,on_PRON ose_VERB
1976,8.427452371506661e-07
1977,8.345030195755498e-07
1978,8.596035563357418e-07
1979,8.233726447315348e-07
1980,8.971167488880383e-07
1981,8.659677277478295e-07
1982,9.261593518772315e-07
1983,9.409821046801881e-07
1984,1.02236516852372e-06
1985,8.872947958593613e-07
1986,9.675099690298339e-07
1987,8.970678990749548e-07
1988,9.840344645795085e-07
1989,9.977405923677907e-07
1990,1.0080004102519524e-06
1991,9.63038750967371e-07
1992,9.063858286140203e-07
1993,9.771161941785067e-07
1994,9.315520301811375e-07
1995,9.93392966108786e-07
1996,9.202870714375422e-07
1997,9.028786536191546e-07
1998,9.297852230361059e-07
1999,8.834199078933125e-07
2000,8.964185909121625e-07
2001,9.117301829064672e-07
2002,8.985885386891823e-07
2003,8.563026696606357e-07
2004,9.223632986277153e-07
2005,8.530101638370979e-07
2006,8.791694909859871e-07
2007,8.568158591515385e-07
2008,8.097650194827111e-07
2009,7.261956938009462e-07
2010,6.943975741080521e-07
2011,6.454864802662996e-07
2012,6.277441855218058e-07
2013,5.424848446011765e-07
2014,6.84713750587207e-07
2015,5.942638878764228e-07
2016,5.743826108073335e-07
2017,4.938145039545816e-07
2018,4.623406901771432e-07
2019,5.173403145875e-07
