year,on_PRON ouvre_VERB,on_PRON couvre_VERB
1857,2.0214329765622097e-06,6.941505645841062e-07
1858,2.853013029380236e-06,6.337310338722091e-07
1859,2.405542687711204e-06,7.241070818508888e-07
1860,2.3668617643579637e-06,6.005265476005661e-07
1861,2.591893718317806e-06,5.630860684391337e-07
1862,2.1193873180891387e-06,5.019482713919388e-07
1863,2.234093955166827e-06,6.333178959039287e-07
1864,2.1192697090555157e-06,6.252325022160221e-07
1865,2.2324562678477378e-06,5.963571965139636e-07
1866,1.8465000835021783e-06,5.541933063568649e-07
1867,2.644782369998211e-06,5.813667911525044e-07
1868,2.5084679577958013e-06,6.62437116716319e-07
1869,2.1507017891053692e-06,5.318152247468788e-07
1870,2.7053241069552314e-06,5.940474636645376e-07
1871,2.424814709911516e-06,6.372706451429622e-07
1872,2.2937557844215917e-06,4.698782660739198e-07
1873,2.8116262456023833e-06,6.06980862016826e-07
1874,2.7286040733542904e-06,5.185960674225498e-07
1875,2.2439829763243324e-06,5.206589719364274e-07
1876,2.4885397920115793e-06,5.653023862350892e-07
1877,2.812854290823452e-06,5.06536430577853e-07
1878,2.5684244064905215e-06,5.054717107100259e-07
1879,2.157813668191011e-06,4.520900773741232e-07
1880,2.208380919910269e-06,4.120257202089306e-07
1881,2.1301010804108955e-06,5.208463065287106e-07
1882,2.3287193187115918e-06,5.19120035846754e-07
1883,2.576394535935833e-06,4.2149989809558974e-07
1884,2.2624015798555774e-06,6.11977299058708e-07
1885,2.23405737642679e-06,3.9834029763596845e-07
1886,2.2174101275140856e-06,4.5819592031648426e-07
1887,2.263578153360868e-06,4.4984290781258096e-07
1888,2.333346259320024e-06,5.757278103146746e-07
1889,2.0148680164311372e-06,4.62367083287063e-07
1890,2.5063974931072153e-06,4.6077337856331724e-07
1891,2.6994821951120684e-06,4.4555798695000703e-07
1892,2.9098434879415436e-06,3.811255453456397e-07
1893,2.201633861886876e-06,4.5757034428106635e-07
1894,2.432394154538997e-06,4.1905236969341786e-07
1895,2.0547549866023473e-06,3.5509825835333686e-07
1896,2.115264237545489e-06,3.89793612498579e-07
1897,2.324858741076241e-06,3.839804350036502e-07
1898,2.3137013158702757e-06,4.362591639051061e-07
1899,2.0700780680726893e-06,4.958237909136187e-07
1900,2.180761413228538e-06,3.9244362426416046e-07
1901,2.0343009907719534e-06,3.5097281170237693e-07
1902,4.59700783039807e-06,3.265338612834512e-07
1903,1.92355850003878e-06,3.2077307565714364e-07
1904,1.9762496776820626e-06,3.015164793396252e-07
1905,1.7185327578772558e-06,2.9932403222687753e-07
1906,2.2582970302664762e-06,3.045357281905581e-07
1907,1.8298236454938888e-06,2.617707295371474e-07
1908,1.8206519030172785e-06,2.8486057246368546e-07
1909,1.9638510764252715e-06,2.882515417468312e-07
1910,1.8731248019321356e-06,2.9339387097593317e-07
1911,1.851490196713712e-06,2.426090688345539e-07
1912,1.9014387362403795e-06,2.7766215637825553e-07
1913,1.8215769443941099e-06,2.964371361713347e-07
1914,1.7096787132686586e-06,2.357253734430742e-07
1915,1.3583218105850392e-06,2.3797139725445504e-07
1916,1.5712070364770625e-06,1.9228058079079346e-07
1917,1.5934214729895757e-06,2.346814866882596e-07
1918,1.4805939372308785e-06,3.009430713518668e-07
1919,1.4115631756794755e-06,2.292754217592119e-07
1920,1.5901686936103943e-06,2.771436840021124e-07
1921,1.5410541038818337e-06,2.786771062801563e-07
1922,1.5759270581838791e-06,2.464230490772934e-07
1923,1.321685601851641e-06,2.675218944148128e-07
1924,1.3948737205282669e-06,2.6169997369152043e-07
1925,1.3296797476414213e-06,2.4086009986490353e-07
1926,1.3865795835954486e-06,2.81997309059534e-07
1927,1.1572895743938716e-06,3.690393306499118e-07
1928,1.2465811209949607e-06,2.262356169069335e-07
1929,1.325708325339292e-06,2.3172045615638126e-07
1930,1.2121158761146944e-06,2.1007206996159766e-07
1931,1.0800872587424237e-06,2.1898284430221793e-07
1932,1.2778819495906646e-06,2.7179650174957715e-07
1933,1.061036229543788e-06,2.557957685667134e-07
1934,1.037604874909448e-06,2.3723528386199177e-07
1935,1.2794095880508394e-06,2.537276166947322e-07
1936,1.1251735259065754e-06,2.4491923866776233e-07
1937,1.0715041582898266e-06,2.0397611422140471e-07
1938,1.0073971452584374e-06,2.0096082664622372e-07
1939,8.931725403726887e-07,2.1717551845767957e-07
1940,9.15417658120532e-07,1.8257636469343197e-07
1941,1.2160190294707718e-06,2.6268372721460764e-07
1942,1.1651373199583759e-06,2.1846324216312496e-07
1943,1.0829067207396292e-06,2.3806528659520154e-07
1944,9.993008802666736e-07,2.056439214470629e-07
1945,1.0587529857275513e-06,1.1981772107816369e-07
1946,1.017632740740737e-06,1.6844536077087469e-07
1947,1.027579060064454e-06,2.0146272561305523e-07
1948,1.068706552587173e-06,1.9678116913723898e-07
1949,8.422993289514125e-07,1.5118192564500532e-07
1950,9.710085038250327e-07,1.3294202005909028e-07
1951,9.414017654307827e-07,1.7271471008939443e-07
1952,9.680129835487605e-07,1.4657277347396303e-07
1953,9.384003618606584e-07,1.950062760158744e-07
1954,9.166638932356364e-07,1.4951979920851954e-07
1955,7.752512090064556e-07,1.830193525620416e-07
1956,7.761816078755146e-07,1.2994501119578672e-07
1957,8.534646553925995e-07,1.5284614640620475e-07
1958,8.346693789462734e-07,1.530364972524012e-07
1959,7.905762942073125e-07,1.612155493546652e-07
1960,7.363766627577206e-07,1.384166683493504e-07
1961,8.435065268486142e-07,1.1464462801313857e-07
1962,7.940129336247992e-07,1.2176556296594754e-07
1963,8.806764526525512e-07,1.3902014650568617e-07
1964,7.617128403580864e-07,1.4601524078727834e-07
1965,7.6170842078227e-07,1.5595323610284595e-07
1966,7.245109543418948e-07,1.2684481554003924e-07
1967,7.982213503510138e-07,1.6171500583084253e-07
1968,7.58600123162978e-07,1.4327616604248306e-07
1969,6.93980595656285e-07,1.2535251592282748e-07
1970,6.750928065457629e-07,1.2324583131828604e-07
1971,7.060158111471537e-07,1.4130593406491698e-07
1972,6.699971919488235e-07,1.677558056911721e-07
1973,7.034847868681027e-07,1.2845765162694534e-07
1974,5.90685019119519e-07,1.3051326419599718e-07
1975,6.254070683553437e-07,1.3079289828965557e-07
1976,5.987776177107662e-07,1.1941270905424517e-07
1977,6.44682955908138e-07,1.5397168695585606e-07
1978,6.089106392437316e-07,1.348514260257616e-07
1979,6.905328291395563e-07,1.8784834665552808e-07
1980,6.617515424522935e-07,1.1256598675402074e-07
1981,6.717733640471124e-07,1.3410164712013284e-07
1982,6.828252736568174e-07,1.4463480368931414e-07
1983,6.428991810025764e-07,1.2125407167218327e-07
1984,8.008430540940026e-07,2.244216297242474e-07
1985,6.394538303311492e-07,1.11287823401085e-07
1986,6.905647467192466e-07,1.2648364489109554e-07
1987,6.404135888260498e-07,1.0938362215995312e-07
1988,6.950005655426139e-07,1.3852039693063034e-07
1989,7.11260625507748e-07,1.1909225072770369e-07
1990,6.38037036537753e-07,1.3185735525667042e-07
1991,6.834468706529151e-07,1.0667866412461535e-07
1992,6.6945821686204e-07,9.036308057375209e-08
1993,6.691362699484671e-07,1.1410767619679518e-07
1994,6.962903285057109e-07,1.1024596879849469e-07
1995,7.537206556662568e-07,1.1766718266414955e-07
1996,6.560515117826071e-07,9.82208945288221e-08
1997,7.086853770488233e-07,9.685687096805395e-08
1998,6.847033802159785e-07,1.0156115060055981e-07
1999,6.786748940612597e-07,1.3207881721655212e-07
2000,6.715407891988434e-07,1.2282127315188518e-07
2001,6.593723895775838e-07,1.1259714582934066e-07
2002,7.023097765568309e-07,1.1829298429688606e-07
2003,6.76708296509787e-07,1.116735379724787e-07
2004,7.157785546496598e-07,1.1188169679599014e-07
2005,6.827684160271019e-07,9.097574427130439e-08
2006,7.581035248449552e-07,9.759399244302358e-08
2007,7.381797786365496e-07,1.0745149570112744e-07
2008,7.748540440388751e-07,9.877260254143039e-08
2009,7.63387589586273e-07,1.0108568204714174e-07
2010,7.747020447368413e-07,1.1573293079436553e-07
2011,9.426090628039674e-07,9.636409714630645e-08
2012,9.8144604976369e-07,9.974460191131129e-08
2013,8.788533278902833e-07,9.232003783665732e-08
2014,9.116524068986109e-07,9.59292236757392e-08
2015,9.380547112414206e-07,1.0573064912478003e-07
2016,9.720798743728665e-07,1.4147252436202962e-07
2017,8.180767991916582e-07,7.873863427931838e-08
2018,8.828615847278343e-07,7.74439996575893e-08
2019,8.987129831439233e-07,9.362124764322743e-08
