year,on_PRON ouvrira_VERB,on_PRON couvrira_VERB
1857,1.703646717032825e-07,3.514686586214566e-08
1858,1.3604419457635686e-07,6.949019937252388e-08
1859,1.909565021662729e-07,4.7866430818999106e-08
1860,1.9407260154480355e-07,6.04188272745887e-08
1861,1.7967821186459787e-07,4.998921454557603e-08
1862,1.5722592827671633e-07,3.252950131482635e-08
1863,1.7730904033896877e-07,3.7459656709870615e-08
1864,1.6110285727677365e-07,7.52772320034012e-08
1865,1.9815814233936635e-07,5.9306237254475036e-08
1866,1.9949012752817907e-07,3.60055368853196e-08
1867,1.256878139344053e-07,3.299911810472622e-08
1868,1.8672724166890475e-07,5.236266442665283e-08
1869,2.2903704177679174e-07,7.178772953864154e-08
1870,1.6972784422364384e-07,3.612450782952692e-08
1871,2.464113091349418e-07,3.2925649762205467e-08
1872,1.8383911637442907e-07,4.7169246286671296e-08
1873,2.2686956668849234e-07,5.267683977905335e-08
1874,2.3241229563097932e-07,4.122480312673815e-08
1875,1.7908379490449988e-07,4.176714918369129e-08
1876,2.0979670800613803e-07,2.0556449653597042e-08
1877,2.1956096318831442e-07,1.0390490867706603e-07
1878,1.576202173225738e-07,2.959153411197235e-08
1879,1.2340836619273432e-07,4.581993984231758e-08
1880,2.0729643068762016e-07,4.685027743533965e-08
1881,1.4851440965912843e-07,3.0679033313774084e-08
1882,1.7636770088813591e-07,3.9932309903178975e-08
1883,1.3902545603627914e-07,3.159669503816076e-08
1884,1.8682802860325864e-07,2.3766109080725073e-08
1885,1.546952521636058e-07,2.384885200434894e-08
1886,1.5617382231880583e-07,3.1621973484163846e-08
1887,1.6126444180031285e-07,2.8074376157150027e-08
1888,1.5788131335625621e-07,3.867775077992519e-08
1889,1.4472465537096468e-07,2.318100555953606e-08
1890,1.7696842746772745e-07,3.6704563832756776e-08
1891,1.8102784693496687e-07,4.9081495312464085e-08
1892,1.6486187348618841e-07,2.570090007480985e-08
1893,2.420257647628432e-07,3.571881679320654e-08
1894,1.6320986873097354e-07,2.2685541445355284e-08
1895,1.408355725374122e-07,3.671354864565046e-08
1896,1.7691087350613088e-07,2.4177817969928128e-08
1897,1.9927360561666774e-07,2.680288169187861e-08
1898,1.5220974880492122e-07,2.998928128050693e-08
1899,1.824100834824094e-07,3.758753308602536e-08
1900,1.993364477925752e-07,2.491705464180427e-08
1901,1.3692410583132641e-07,2.4031577172678453e-08
1902,2.3765773349282426e-07,3.633610035080892e-08
1903,1.6146658055049556e-07,2.5381035939631147e-08
1904,1.5747651360698e-07,3.6009989656804464e-08
1905,1.2437429042222448e-07,3.818961769042062e-08
1906,1.507246061294154e-07,3.2922780501820625e-08
1907,1.6405669889252295e-07,3.805704151815803e-08
1908,1.27204978994655e-07,2.799491682914379e-08
1909,1.3202360271691305e-07,3.080550703415952e-08
1910,1.3841350643417627e-07,2.672075405385499e-08
1911,1.0374729697559815e-07,2.5537795211860725e-08
1912,1.5159415767129758e-07,2.5526164293410147e-08
1913,1.0499919689266335e-07,2.6514948903155755e-08
1914,1.0647822179521427e-07,3.147469529451996e-08
1915,1.496156789571046e-07,1.64930663570928e-08
1916,1.505282334335334e-07,9.888716068218173e-09
1917,2.2371505181695284e-07,1.5352993543160665e-08
1918,1.2175559049865115e-07,1.1486376294556067e-08
1919,1.0220711388342352e-07,1.0128633265438225e-08
1920,8.556621899913353e-08,1.1358347151713133e-08
1921,1.3782400820616658e-07,2.4990065794483485e-08
1922,8.705964038568936e-08,9.591316518786641e-09
1923,8.705077192416866e-08,2.1231897129325716e-08
1924,8.379556071247407e-08,1.8048273875415077e-08
1925,7.038833871320094e-08,1.5397449093512705e-08
1926,6.910605510057621e-08,1.3375365925938354e-08
1927,8.138934326495928e-08,2.2298449753321847e-08
1928,6.284322839889e-08,1.9424270192303084e-08
1929,1.2031639151643958e-07,2.2280812084218837e-08
1930,5.987053963707467e-08,1.8906487042613662e-08
1931,5.474571285191132e-08,1.2545892325022123e-08
1932,9.753987662008967e-08,2.6302887423668153e-08
1933,5.6206243215228824e-08,1.1470662419910127e-08
1934,8.746553525895706e-08,1.4377896206951846e-08
1935,7.89906735576551e-08,2.752705441366743e-08
1936,8.244805549395551e-08,1.576212893539264e-08
1937,7.554670666820584e-08,2.89595720737168e-08
1938,9.075650275747194e-08,2.3337385357535823e-08
1939,7.799965828780842e-08,2.141166977054354e-08
1940,8.368083648235825e-08,1.01431314458722e-08
1941,5.312704765003673e-08,1.7709015143196893e-08
1942,1.4564216677115382e-07,9.102635090130207e-09
1943,8.709705756615449e-08,1.7419411024732767e-08
1944,1.0603514333240582e-07,1.2852744646352221e-08
1945,1.1981772374269894e-07,1.5249528750871377e-08
1946,7.517396571898871e-08,6.960552134671616e-09
1947,8.34460998078157e-08,1.6689219339838246e-08
1948,5.6533815850912106e-08,1.3046265623373188e-08
1949,8.933477868566797e-08,1.47255123650325e-08
1950,5.9558025178318985e-08,1.3825969702452312e-08
1951,7.143139235665785e-08,1.8124382994422206e-08
1952,6.010538200484916e-08,1.687168582620302e-08
1953,7.002987878479416e-08,1.508335811806205e-08
1954,5.472620401292261e-08,1.3681550781186047e-08
1955,8.071623014416218e-08,5.631364707880948e-09
1956,4.7094164123961946e-08,8.72114158667614e-09
1957,5.9194753987412696e-08,1.1485549067380418e-08
1958,6.452349854413342e-08,1.2408365557270429e-08
1959,5.735553543217975e-08,1.0075972278755785e-08
1960,6.782416761552668e-08,4.844583290086746e-09
1961,7.504011989567516e-08,9.727422756178328e-09
1962,6.468795366032509e-08,1.4586499841318101e-08
1963,7.306640270599019e-08,1.3578711488548834e-08
1964,5.90144910717072e-08,1.5818317267157767e-08
1965,7.551419756168798e-08,2.188817349590977e-08
1966,6.369936045302893e-08,1.1078149952936656e-08
1967,7.198289786458645e-08,1.8735275553183328e-08
1968,4.8507289740484794e-08,9.881114482190867e-09
1969,6.35846086893821e-08,1.2716921959921024e-08
1970,6.898087701046052e-08,5.0585974298300584e-09
1971,5.498085187127799e-08,1.0790634830115664e-08
1972,6.566587984480066e-08,1.128632298730281e-08
1973,4.686223054051197e-08,5.513203893414698e-09
1974,5.850594586576108e-08,8.438357679274588e-09
1975,5.597250574140844e-08,6.8537762132336866e-09
1976,5.884932630095818e-08,9.141642887122714e-09
1977,5.34787130135328e-08,5.289103488514968e-09
1978,4.514849472059268e-08,7.128709622605811e-09
1979,3.160065586982341e-08,5.266776126333639e-09
1980,5.400893243745486e-08,1.1370301589153087e-08
1981,4.8706731092806876e-08,5.6929946312678226e-09
1982,4.4694016487767385e-08,3.7245013739806154e-09
1983,6.062703583609164e-08,1.326216336750008e-08
1984,5.799008562235031e-08,1.5077421977593986e-08
1985,4.030423816914208e-08,1.02264483547998e-08
1986,6.474044411675095e-08,8.991728028817647e-09
1987,4.5831126449513704e-08,5.49973533381376e-09
1988,3.957725613901175e-08,1.199310739607995e-08
1989,5.268597114138629e-08,4.939309850016116e-09
1990,4.849299450881972e-08,7.083246211792016e-09
1991,5.0408601737217396e-08,8.7921980806982e-09
1992,4.297756550641907e-08,5.509944056569793e-09
1993,3.6004849990334264e-08,1.661762194515859e-08
1994,5.063929542359347e-08,7.912389854425328e-09
1995,5.6935735237573226e-08,3.7957155196721715e-09
1996,4.964425670550554e-08,2.6690460952494277e-09
1997,4.794894570281372e-08,3.835915585170824e-09
1998,4.625085381348981e-08,9.059445638115449e-09
1999,4.433094957789763e-08,1.0968482788697997e-08
2000,4.064588932095603e-08,8.836062659334232e-09
2001,5.607951258923549e-08,8.3243023585311e-09
2002,4.337409142962656e-08,1.2267420412825913e-08
2003,3.791900038407903e-08,6.667076668520622e-09
2004,4.3166952679030146e-08,4.845270407116686e-09
2005,4.548786947111694e-08,1.170974872621855e-08
2006,3.088417521723841e-08,4.941467679486777e-09
2007,3.555086713902256e-08,1.0785094428644726e-08
2008,4.981204249077109e-08,8.51487946817997e-09
2009,4.958920296616043e-08,9.536384792951935e-09
2010,4.345889692558558e-08,7.558069059498962e-09
2011,6.309553857164474e-08,8.412738394802943e-09
2012,5.855314721969762e-08,1.0893608681783462e-08
2013,7.837441273750301e-08,8.64628757479835e-09
2014,6.193173440749433e-08,7.145969149746634e-09
2015,6.073416436436219e-08,1.0861219257307653e-08
2016,6.93898911663382e-08,1.4085111965655983e-08
2017,6.414809039512193e-08,1.584835163104259e-08
2018,5.627597232660264e-08,7.744400232212456e-09
2019,5.7652324692014645e-08,8.673358475874693e-09
