year,fallut_VERB être_VERB
1925,2.0896537833436923e-08
1926,1.3375366592072169e-08
1927,1.5608915049369898e-08
1928,1.2568645679778001e-08
1929,5.570202965543558e-09
1930,1.1553964007759987e-08
1931,6.843213995466613e-09
1932,4.383814644626227e-09
1933,8.02946331646126e-09
1934,1.0783422155213884e-08
1935,9.574627313213568e-09
1936,2.424942913137329e-09
1937,7.554670666820584e-09
1938,1.2965214679638848e-08
1939,1.2235240376412548e-08
1940,1.2678914806940611e-08
1941,1.4757512545315876e-08
1942,1.8205270180260413e-08
1943,8.709705845433291e-09
1944,1.2852744646352221e-08
1945,1.5249527862692958e-08
1946,8.352662561605939e-09
1947,1.549713246618012e-08
1948,1.848220954059343e-08
1949,9.817008539414473e-09
1950,6.381216888229346e-09
1951,1.1727541604500402e-08
1952,4.2179215675730575e-09
1953,5.386913581872932e-09
1954,7.818028890937967e-09
1955,6.569925492527773e-09
1956,1.1337483840634377e-08
1957,2.6505113659425206e-09
1958,9.099467845885556e-09
1959,9.300897829689347e-09
1960,8.305000243069571e-09
1961,9.72742331128984e-09
1962,5.7077609305622445e-09
1963,6.466053470433053e-09
1964,7.300761772910391e-09
1965,8.20806533852192e-09
1966,3.3234448526542337e-09
1967,6.902469706915326e-09
1968,9.88111459321317e-09
1969,1.3171097990039016e-08
1970,1.1956685419534097e-08
1971,6.679916619845017e-09
1972,3.5911027485013847e-09
1973,2.205281512956958e-09
1974,6.1881286761433785e-09
1975,3.998036124386317e-09
1976,6.8562320265641574e-09
1977,4.7014254711541525e-09
1978,5.940591130126904e-09
1979,6.437170796402825e-09
1980,1.0233271119375331e-08
1981,3.1627747087981106e-09
1982,6.2075020679230875e-09
1983,5.052252838311233e-09
1984,9.278413592994639e-09
1985,3.609334831011779e-09
1986,4.7955883708539204e-09
1987,4.888653482026939e-09
1988,7.195864348830128e-09
1989,4.939309850016116e-09
1990,2.724325431913144e-09
1991,7.033758464558559e-09
1992,2.7549720282848966e-09
1993,8.862731881720265e-09
1994,1.5824779264761446e-09
1995,1.4098372247417501e-08
1996,3.736664311304594e-09
1997,5.753873377756236e-09
1998,1.0013071261028017e-08
1999,6.398281460207045e-09
2000,7.068850393920911e-09
2001,7.886181485616817e-09
2002,9.200564754507923e-09
2003,1.0000615446870142e-08
2004,5.285749615779878e-09
2005,5.854874363109275e-09
2006,7.823991232669414e-09
2007,7.988958827809256e-09
2008,3.8316958494988285e-09
2009,9.53638501499654e-09
2010,7.085689368580006e-09
2011,5.7359579308524644e-09
2012,9.531907707582832e-09
2013,1.0877587719448911e-08
2014,9.094869746206768e-09
2015,1.0861219479352258e-08
2016,1.6156452176119274e-08
2017,3.773417134311785e-09
2018,1.1358453733123497e-08
2019,9.693753355577428e-09
