year,en_ADP airs_NOUN,en_ADP serres_NOUN
1940,2.5357829169792012e-09,3.0429394115571995e-08
1941,0.0,6.493305448884712e-08
1942,6.068423541449874e-09,6.675266206457309e-08
1943,2.0322646676618206e-08,6.967764676346633e-08
1944,6.4263723231761105e-09,4.819779064746399e-08
1945,1.5249527862692958e-08,4.7927089408261736e-08
1946,1.3921104269343232e-08,8.770295956139762e-08
1947,7.152522574216391e-09,8.46381809083141e-08
1948,1.6307831529616124e-08,9.132386136201376e-08
1949,8.835307596655184e-09,8.933477912975718e-08
1950,7.444753036267571e-09,1.0529007909987342e-07
1951,1.3859821956785368e-08,8.95557730196117e-08
1952,1.0544803696888039e-08,9.279427715114252e-08
1953,5.386913581872932e-09,7.757156028631584e-08
1954,7.818028890937967e-09,1.1727043536247095e-07
1955,1.2201290200408721e-08,1.1262729548988659e-07
1956,1.744228317335228e-09,1.0465369926215828e-07
1957,8.835037590415595e-09,1.1662249921329249e-07
1958,1.1581141212690937e-08,7.693186143686859e-08
1959,5.425523585955716e-09,8.680837737529146e-08
1960,2.2838749558218296e-08,6.297958166090467e-08
1961,4.863711378089164e-09,7.365049148333469e-08
1962,8.244543714397423e-09,9.195836486730613e-08
1963,1.6165133231993423e-08,1.1121611676045973e-07
1964,6.083968384640315e-09,8.09167753357265e-08
1965,1.2038495811328431e-08,1.3297064871409248e-07
1966,6.092982229866095e-09,7.256187861681695e-08
1967,1.5284040255636455e-08,1.198071577501736e-07
1968,1.5719955531734442e-08,1.1138711181191141e-07
1969,8.629339798282842e-09,8.084328834145893e-08
1970,1.6095537708205043e-08,8.277705065840024e-08
1971,9.762954888969944e-09,1.0636483072090641e-07
1972,2.3598676068825597e-08,7.233506804649181e-08
1973,9.372446541089374e-09,1.0089162660875672e-07
1974,9.563471792262135e-09,6.356895915216043e-08
1975,3.4268881066168433e-09,7.367809429226213e-08
1976,6.8562320265641574e-09,7.998937845421494e-08
1977,7.639816335114347e-09,8.051190825142385e-08
1978,1.1287123569125868e-08,7.722768602391739e-08
1979,1.1118749476679568e-08,5.969013017192992e-08
1980,6.253665585376211e-09,6.367368687865138e-08
1981,1.2018544381930951e-08,6.135783148231155e-08
1982,7.449002747961231e-09,4.1590266564028866e-08
1983,1.2630632317822688e-08,6.631081816976803e-08
1984,1.0438215292118969e-08,8.408561980033369e-08
1985,7.82022557821449e-09,6.436647348451174e-08
1986,8.392279760016663e-09,8.392279671198821e-08
1987,1.2221634038134255e-08,6.96633131180846e-08
1988,1.4991384134077634e-08,7.855485495422698e-08
1989,4.939309850016116e-09,6.475984093423648e-08
1990,8.717841171179685e-09,7.519138500722278e-08
1991,1.1722930182145319e-08,8.264666162549617e-08
1992,7.713921945651236e-09,6.336435476317348e-08
1993,8.862731548653358e-09,5.594599566949299e-08
1994,7.912389743403025e-09,6.22441333475443e-08
1995,1.3556126887692699e-08,4.1210625467691386e-08
1996,4.270473752399084e-09,4.270473730194624e-08
1997,1.054876808126437e-08,4.507200856984639e-08
1998,7.629006981701991e-09,2.288701994590525e-08
1999,1.2339543165040823e-08,4.844413226123834e-08
2000,1.192868470667463e-08,4.418031662734023e-08
2001,7.0099388516098315e-09,3.110660529159759e-08
2002,1.0076809608960957e-08,2.716357272447567e-08
2003,1.2500768864498468e-08,2.541822929913451e-08
2004,1.4535811221350059e-08,2.7750185621622236e-08
2005,1.1259373877692269e-08,1.4862373554080932e-08
2006,1.070651389767363e-08,2.5530917824312382e-08
2007,1.358123019601365e-08,2.117074093810345e-08
2008,1.021785517307805e-08,2.2138685551453818e-08
2009,3.337734755248789e-09,4.2913732345439826e-08
2010,8.9752067999882e-09,3.967986117459077e-08
2011,2.2943831279320648e-09,4.1681295637197024e-08
2012,4.425528637996834e-09,3.1319125071149756e-08
2013,6.693900156395927e-09,2.6775601014161765e-08
2014,4.547434789836657e-09,4.569089284700567e-08
2015,6.871383573248124e-09,2.3939014506813017e-08
2016,4.349813981230355e-09,2.4027544398563805e-08
2017,4.024978267347379e-09,2.842640789424422e-08
2018,1.8070267504555204e-09,2.2458760184917992e-08
2019,7.652963041060445e-09,4.1581099452514536e-08
