year,on_PRON avait_VERB,on_PRON savait_VERB
1853,4.219289348839084e-05,3.0833084565529134e-06
1854,3.966422264056746e-05,3.022318082912534e-06
1855,4.429434920893982e-05,3.232986159673601e-06
1856,4.318707669881405e-05,2.950480165964109e-06
1857,4.5339455937210005e-05,3.2213079066423234e-06
1858,4.196914505882887e-05,3.3771257221815176e-06
1859,4.5316269279283006e-05,3.64090396942629e-06
1860,4.96061466037645e-05,3.701110813381092e-06
1861,4.478892151382752e-05,3.6510991776594892e-06
1862,4.664549578592414e-05,3.3997847594946506e-06
1863,4.367995734355645e-05,3.3863527733046794e-06
1864,4.3056655158579815e-05,3.3174723057527444e-06
1865,4.4891056859341916e-05,3.1182843258648063e-06
1866,4.672788600146305e-05,3.671591457532486e-06
1867,4.700821500591701e-05,3.471701347734779e-06
1868,4.325403187976917e-05,3.335896963108098e-06
1869,4.284555598133011e-05,3.555201942617714e-06
1870,4.618719140125904e-05,3.578046403163171e-06
1871,5.022329878556775e-05,4.183681880931545e-06
1872,4.844039540330414e-05,3.8715065784344915e-06
1873,4.5944979319756385e-05,3.42339603776054e-06
1874,4.710142729891231e-05,3.718596872204216e-06
1875,4.411869485920761e-05,3.444359435889055e-06
1876,4.1729595977813005e-05,3.309588350930426e-06
1877,4.09552339988295e-05,3.6521338415695936e-06
1878,4.2923426917695906e-05,3.103487642874825e-06
1879,4.260154764779145e-05,3.494533984849113e-06
1880,4.097024520888226e-05,3.225609475521196e-06
1881,4.200168677925831e-05,3.2171150223803124e-06
1882,4.309428550186567e-05,3.563293262232037e-06
1883,4.117049138585571e-05,2.851917656698788e-06
1884,4.2221814510412514e-05,3.2143661883310415e-06
1885,4.16807042711298e-05,3.3472186942162807e-06
1886,4.0259936213260517e-05,3.2680341064406093e-06
1887,3.858920990751358e-05,3.161305357934907e-06
1888,3.952612587454496e-05,3.0859771413815906e-06
1889,3.989889682998182e-05,3.1519903131993487e-06
1890,3.9397105865646154e-05,3.0366471719389665e-06
1891,3.824468331004027e-05,2.9837724468961824e-06
1892,3.740170632227091e-05,3.058407173739397e-06
1893,3.724856742337579e-05,3.2578024047325016e-06
1894,3.800332342507318e-05,3.2106343041959917e-06
1895,3.880140502587892e-05,3.2777375054138247e-06
1896,3.7272172448865604e-05,3.2085736165754497e-06
1897,3.6770057704416104e-05,2.9553091280831723e-06
1898,3.697791544254869e-05,2.934988629021973e-06
1899,3.6543926398735493e-05,3.072228082601214e-06
1900,3.553068199835252e-05,2.969282377307536e-06
1901,3.5874674722435884e-05,2.841314881152357e-06
1902,3.1133163702179445e-05,2.4315725681844924e-06
1903,3.414775301280315e-05,2.8361956765365903e-06
1904,3.517530967656057e-05,3.0474124059765018e-06
1905,3.5399194985075155e-05,3.028849391739641e-06
1906,3.543159891705727e-05,2.913151661232405e-06
1907,3.409859391467762e-05,2.873306584660895e-06
1908,3.45427820320765e-05,3.0372029868885875e-06
1909,3.4345390758971917e-05,3.1245585887518246e-06
1910,3.413041804378736e-05,3.0878503594067297e-06
1911,3.329064520585234e-05,2.9884541845603962e-06
1912,3.3715895369823556e-05,3.00375222650473e-06
1913,3.275179551565088e-05,2.972325660266506e-06
1914,3.180953308401513e-05,3.0577332381653832e-06
1915,3.471083709882805e-05,3.3787224538173177e-06
1916,3.475993526080856e-05,3.5269753198008402e-06
1917,3.3008937862177845e-05,3.2965072023216635e-06
1918,3.283495425421279e-05,3.490709900688671e-06
1919,3.2178668334381655e-05,3.3203501743628294e-06
1920,3.095982583545265e-05,3.3075507417379413e-06
1921,3.0032759241294116e-05,3.0662054086860735e-06
1922,3.0872970455675386e-05,2.9460096584443818e-06
1923,2.802397966661374e-05,2.7144978957949206e-06
1924,2.881922728192876e-05,2.6866144935411285e-06
1925,2.8846021450590342e-05,2.6505609866944724e-06
1926,2.9570704555226257e-05,3.0150304155540653e-06
1927,3.090007749051438e-05,3.0392786811717087e-06
1928,2.8499975087470375e-05,2.777670601972204e-06
1929,2.925804892583983e-05,2.9499796028176206e-06
1930,2.9782968340441585e-05,2.8401743747963337e-06
1931,2.844838172677555e-05,2.5741890112840338e-06
1932,2.914031256295857e-05,2.7113893565910985e-06
1933,2.8564243621076457e-05,2.7839297445098055e-06
1934,2.8437081709853373e-05,2.63954211732198e-06
1935,2.6823317512025824e-05,2.534882582949649e-06
1936,2.6503413664613618e-05,2.481929072928324e-06
1937,2.820158715621801e-05,2.715904201977537e-06
1938,2.6560538117337273e-05,2.618973326207197e-06
1939,2.5638946226536063e-05,2.4883420337573625e-06
1940,2.408486670901766e-05,2.4394232127633586e-06
1941,2.6156215426453855e-05,2.5707587383294594e-06
1942,2.665858391992515e-05,2.7884406108569237e-06
1943,2.846041525117471e-05,2.961299855996913e-06
1944,2.8137872050137958e-05,2.891867552534677e-06
1945,2.995878867295687e-05,3.2568634651397588e-06
1946,2.7842208510264754e-05,2.7633392392090173e-06
1947,2.7087794478575233e-05,2.8550485922096414e-06
1948,2.515428650440299e-05,2.447261920224264e-06
1949,2.3001249701337656e-05,2.277545945617021e-06
1950,2.2608651306654792e-05,2.4269895675388398e-06
1951,2.5406120585103054e-05,2.5384797481819987e-06
1952,2.3501205305365147e-05,2.479083434536733e-06
1953,2.2884686586621683e-05,2.3864027980380342e-06
1954,2.3767784568917705e-05,2.571154311681312e-06
1955,2.2501995772472583e-05,2.3407706066791434e-06
1956,2.225024900326389e-05,2.3887207021289214e-06
1957,2.2520510356116574e-05,2.297993262345699e-06
1958,2.2838009499537293e-05,2.3120920218389074e-06
1959,2.176255065933219e-05,2.167884190384939e-06
1960,2.14961078199849e-05,2.2963325250202615e-06
1961,2.1501774426724296e-05,2.271353253036068e-06
1962,2.2482235635834513e-05,2.465118484451523e-06
1963,2.3346332454821095e-05,2.4661526367708575e-06
1964,2.2087239358370425e-05,2.175018607886159e-06
1965,2.1879418000025908e-05,2.2615955117544218e-06
1966,2.277722978760721e-05,2.2377861910172214e-06
1967,2.246211533929454e-05,2.269433480250882e-06
1968,2.3753302684781374e-05,2.483752894022473e-06
1969,2.2928611087991158e-05,2.272695667215885e-06
1970,2.0368672267068177e-05,2.1020772464908077e-06
1971,2.058185145870084e-05,2.2557564989256207e-06
1972,1.974490896827774e-05,1.95561199234362e-06
1973,1.9395451090531424e-05,2.053668367807404e-06
1974,1.9621994397311937e-05,1.996515436530899e-06
1975,1.8402388832328143e-05,1.9327648601574765e-06
1976,1.8608957361720968e-05,1.8974622548739717e-06
1977,1.8414895748719573e-05,2.0133854263804096e-06
1978,1.8939793335448485e-05,2.0061377199454e-06
1979,1.9617570615082514e-05,2.1388962068158435e-06
1980,1.901228097267449e-05,2.062572718841693e-06
1981,1.8791309685184387e-05,2.070352365990402e-06
1982,1.9761583644140046e-05,2.1360015125537757e-06
1983,1.900847018987406e-05,2.0827912408094562e-06
1984,1.8743555301625747e-05,2.0522691670521453e-06
1985,1.8468364487489453e-05,2.089804866045597e-06
1986,1.9398754375288263e-05,2.2179596612659225e-06
1987,1.8191291019320488e-05,2.0025146909574687e-06
1988,1.8881948562921025e-05,2.0688110566879914e-06
1989,1.9644184703793144e-05,2.2056763100408716e-06
1990,1.8184872715210076e-05,2.1658387936440704e-06
1991,1.8166439076594543e-05,2.1452962641888007e-06
1992,1.8673751583264675e-05,2.1852438862879353e-06
1993,1.8517570879339473e-05,2.1924183215560333e-06
1994,1.820324405343854e-05,2.1595549242192646e-06
1995,1.7932044556800975e-05,2.0827633875342144e-06
1996,1.7096308056352427e-05,1.9740265315704164e-06
1997,1.6960021639533807e-05,2.0900945401081117e-06
1998,1.7097081126848934e-05,2.1265856275931583e-06
1999,1.6770810361776967e-05,2.054762433090218e-06
2000,1.6636097370792413e-05,1.950119155935681e-06
2001,1.6478614043080597e-05,2.0346348037492135e-06
2002,1.7430690149922157e-05,2.023686249685852e-06
2003,1.769233767845435e-05,2.027624645961623e-06
2004,1.7224055227416102e-05,2.0050609350619197e-06
2005,1.6758902802394005e-05,1.967237835742708e-06
2006,1.7944940736924764e-05,2.019001385633601e-06
2007,1.7101165667554596e-05,1.9105594901702716e-06
2008,1.829464372349321e-05,2.109135664341011e-06
2009,1.9521457033988554e-05,1.991674025703105e-06
2010,2.065903618131415e-05,2.0742175479426805e-06
2011,2.1415007722680457e-05,2.081005504805944e-06
2012,2.628117181302514e-05,2.4762534280853288e-06
2013,2.767509431578219e-05,2.639906824697391e-06
2014,3.0232214157877024e-05,3.0506791972584324e-06
2015,2.844021400960628e-05,2.7130882926940103e-06
2016,2.9520738280552905e-05,2.813708306348417e-06
2017,2.422030593152158e-05,2.2939859718462685e-06
2018,2.8161735826870427e-05,2.6971164288625005e-06
2019,2.704914368223399e-05,2.653537421792862e-06
