year,mon_DET salut_NOUN
1867,9.429012965966876e-07
1868,8.891773086716626e-07
1869,9.884242775370922e-07
1870,1.0390096534251825e-06
1871,7.41358157974048e-07
1872,7.740594227811926e-07
1873,7.919484072971272e-07
1874,7.420464833707285e-07
1875,7.203402438982209e-07
1876,6.324131496260321e-07
1877,8.003151670266107e-07
1878,6.347082024404926e-07
1879,9.377814409461394e-07
1880,5.589944263029167e-07
1881,5.536170881725866e-07
1882,7.221092968023868e-07
1883,6.673222152642211e-07
1884,4.911662712103748e-07
1885,4.6537490216991273e-07
1886,5.466084020966377e-07
1887,6.052313255011654e-07
1888,4.698395521529619e-07
1889,5.319101132883475e-07
1890,5.68920720311894e-07
1891,4.863530014276307e-07
1892,4.833022919648045e-07
1893,4.317049917546001e-07
1894,4.6190281999258787e-07
1895,5.224157124672502e-07
1896,4.7647993439703384e-07
1897,4.014605687885364e-07
1898,5.22266160984941e-07
1899,4.985875712293364e-07
1900,5.46617872743127e-07
1901,4.375982713966664e-07
1902,4.04116358154738e-07
1903,3.693750549871311e-07
1904,3.681618254702812e-07
1905,4.567271680855356e-07
1906,4.3674127603310353e-07
1907,4.5411306714981947e-07
1908,5.053819354117195e-07
1909,4.389784908909178e-07
1910,3.9546715679961153e-07
1911,4.485075315585618e-07
1912,4.4488458073033144e-07
1913,5.228747874674866e-07
1914,4.071620098855533e-07
1915,4.4531279819182146e-07
1916,4.010423655387285e-07
1917,4.529133192932022e-07
1918,3.8134770363740245e-07
1919,5.073524178555999e-07
1920,4.672067017708059e-07
1921,3.922683262658211e-07
1922,4.751390481061435e-07
1923,3.938516686119442e-07
1924,4.795684169778269e-07
1925,4.487256659579941e-07
1926,5.394731168451017e-07
1927,5.396224773690506e-07
1928,4.113374947323223e-07
1929,4.534145503498621e-07
1930,4.6530962460877845e-07
1931,4.0032803205747314e-07
1932,3.737201854647765e-07
1933,3.613258581225409e-07
1934,4.0737372586363563e-07
1935,4.4761384110358904e-07
1936,3.5404165643626584e-07
1937,3.8906554244988456e-07
1938,3.837703608233767e-07
1939,3.0282220819799477e-07
1940,3.296517769868501e-07
1941,4.7224041921367643e-07
1942,4.2782387321693705e-07
1943,4.6161440714342916e-07
1944,5.205361439664102e-07
1945,4.858063977764004e-07
1946,4.3990689224671087e-07
1947,5.388233681458132e-07
1948,4.174805035006557e-07
1949,4.319483704051663e-07
1950,5.424034235090858e-07
1951,4.627048504346476e-07
1952,4.302279936752029e-07
1953,4.374173911969592e-07
1954,5.795113722228962e-07
1955,4.0827394620635005e-07
1956,3.5146200261237937e-07
1957,2.853717200324013e-07
1958,3.5405201703753164e-07
1959,4.4024247181084775e-07
1960,4.768454235914987e-07
1961,5.343134308333219e-07
1962,5.1433264758316e-07
1963,5.088783971984867e-07
1964,4.6116480678648486e-07
1965,4.432355034111879e-07
1966,4.7082136056531e-07
1967,4.2302278036032703e-07
1968,4.419553079060279e-07
1969,3.6833656258394853e-07
1970,3.7341647507460607e-07
1971,3.8281062408884736e-07
1972,4.165679170498038e-07
1973,2.8227603365849063e-07
1974,2.1489684431941214e-07
1975,2.815759803098672e-07
1976,2.9710338456112595e-07
1977,2.9912819332622576e-07
1978,3.39207780086781e-07
1979,3.739410834313617e-07
1980,2.683391135960278e-07
1981,2.7958930193250353e-07
1982,3.5755214433663696e-07
1983,3.0818742402516364e-07
1984,3.4852040542432405e-07
1985,3.007778968111552e-07
1986,2.7454743456445385e-07
1987,3.0920733173900317e-07
1988,2.9323149242088675e-07
1989,3.2818971185122336e-07
1990,2.582660671990311e-07
1991,2.8135034213505605e-07
1992,3.1406683032031424e-07
1993,3.17950496153685e-07
1994,3.212430348398243e-07
1995,3.3619195782819133e-07
1996,3.170826889942191e-07
1997,3.059142681394178e-07
1998,3.061138951210296e-07
1999,3.391089142823489e-07
2000,3.4328103382108566e-07
2001,3.049323371584478e-07
2002,3.7985191703171495e-07
2003,3.41271000792176e-07
2004,3.2507359470912434e-07
2005,3.427353405527356e-07
2006,3.121360530045081e-07
2007,3.1116995025115557e-07
2008,3.316545615916766e-07
2009,3.990977273105045e-07
2010,4.0435668857696783e-07
2011,4.74937316141677e-07
2012,5.698719185431855e-07
2013,6.186279364328584e-07
2014,5.768746049739093e-07
2015,7.026544253108113e-07
2016,7.541749127426556e-07
2017,9.121606403539317e-07
2018,6.433014867468501e-07
2019,6.152982443552446e-07
