year,un_DET sentier_NOUN
1914,8.812914522593474e-07
1915,7.610372065869342e-07
1916,8.976756404877051e-07
1917,1.0111043593497016e-06
1918,8.293163560324501e-07
1919,9.327550145599162e-07
1920,7.670670925108425e-07
1921,7.921093896356979e-07
1922,9.517536554426442e-07
1923,1.010638243315043e-06
1924,9.978117176956403e-07
1925,9.205474711393435e-07
1926,9.30702590551391e-07
1927,9.789019337347327e-07
1928,9.175110946557652e-07
1929,8.076794593137038e-07
1930,8.875545205455637e-07
1931,1.0276226092287288e-06
1932,8.373086011204123e-07
1933,7.903285990096265e-07
1934,7.308764153890479e-07
1935,9.203610673580442e-07
1936,8.050810222925975e-07
1937,8.360502690152316e-07
1938,8.958962993688147e-07
1939,7.723495727418594e-07
1940,6.111236743322479e-07
1941,8.116632130850121e-07
1942,9.86118848800288e-07
1943,1.094519625155499e-06
1944,1.028219578813605e-06
1945,8.648661093957344e-07
1946,9.814378358896647e-07
1947,7.736645031286571e-07
1948,7.632065432972013e-07
1949,7.352939128679736e-07
1950,8.348758946397083e-07
1951,8.848963233276663e-07
1952,8.889269764722485e-07
1953,8.34971640273352e-07
1954,7.749621175889843e-07
1955,8.35319092118425e-07
1956,8.14554610428786e-07
1957,6.900164173373469e-07
1958,7.53601351988209e-07
1959,7.192693800561756e-07
1960,7.848225287432342e-07
1961,7.54570109506858e-07
1962,7.102991190777175e-07
1963,7.869186831044317e-07
1964,7.982166536635305e-07
1965,6.566452093181852e-07
1966,7.095554614977573e-07
1967,7.001076731683042e-07
1968,7.657863889676264e-07
1969,8.311417012407674e-07
1970,6.70954008796798e-07
1971,7.368461716339425e-07
1972,6.299820540789369e-07
1973,6.792267193134194e-07
1974,5.844968988810706e-07
1975,5.671499820891768e-07
1976,6.010630535513428e-07
1977,6.29403309915233e-07
1978,6.635640303898072e-07
1979,7.156963199861366e-07
1980,7.504398595870043e-07
1981,7.097266347955156e-07
1982,7.715925249840438e-07
1983,6.953162952072489e-07
1984,6.547080673158234e-07
1985,6.863751949026664e-07
1986,6.785757591387664e-07
1987,6.324695576154227e-07
1988,6.740126465842877e-07
1989,6.805271759446896e-07
1990,6.336781019911086e-07
1991,6.805161376632896e-07
1992,7.151907297497928e-07
1993,8.004154850027589e-07
1994,8.102287338829228e-07
1995,7.569741313773193e-07
1996,7.686852896426899e-07
1997,7.321803927595738e-07
1998,8.530183244204181e-07
1999,7.545402205266782e-07
2000,8.87582501718498e-07
2001,7.588258803536974e-07
2002,8.460138687382823e-07
2003,8.03799405701966e-07
2004,8.866844893873349e-07
2005,7.602329112899042e-07
2006,9.34349237979859e-07
2007,9.93427065054675e-07
2008,1.2533902946643138e-06
2009,1.31172974704441e-06
2010,1.5267298607568591e-06
2011,2.452695667898297e-06
2012,2.494976854450215e-06
2013,2.2695109578307893e-06
2014,2.0903042781128534e-06
2015,2.2609068253132136e-06
2016,2.4963788973764167e-06
2017,2.1385211823599093e-06
2018,2.366688761412661e-06
2019,2.5836403665380203e-06
