year,certain_ADJ oeil_NOUN,certain_ADJ seuil_NOUN
1998,9.536258449571733e-10,7.638543024768296e-07
1999,0.0,6.914714276717859e-07
2000,0.0,7.033506221887365e-07
2001,0.0,7.277192821675271e-07
2002,0.0,6.598119739464892e-07
2003,1.6667691671301554e-09,7.22127765584446e-07
2004,0.0,7.263500947374268e-07
2005,4.5037495954858286e-10,6.967300691940181e-07
2006,8.235779835885637e-10,7.078652970449184e-07
2007,3.994479469415779e-10,6.111553716436902e-07
2008,8.514879357157668e-10,6.330812993837753e-07
2009,0.0,6.513350854220334e-07
2010,0.0,6.769195124434191e-07
2011,0.0,6.783726007597579e-07
2012,0.0,6.025527454767143e-07
2013,0.0,5.809747563034762e-07
2014,0.0,5.238211997493636e-07
2015,0.0,4.865382834395859e-07
2016,0.0,4.2151771140197525e-07
2017,0.0,5.09411279381311e-07
2018,2.5814667070633845e-10,4.809272695638356e-07
2019,0.0,4.561166235816927e-07
