year,long_ADJ office_NOUN
1998,4.7681290027412615e-09
1999,1.8280804647829996e-09
2000,5.3016377954406835e-09
2001,3.5049694258049158e-09
2002,4.381221607729913e-09
2003,5.000307723435071e-09
2004,6.166707589017051e-09
2005,2.251874686720612e-09
2006,4.117890028965121e-09
2007,3.595031605740928e-09
2008,2.554463751636149e-09
2009,2.384096253749135e-09
2010,3.3066551718974324e-09
2011,1.91198598620268e-09
2012,3.404252713057332e-10
2013,1.9523875849358774e-09
2014,3.4647122948427977e-09
2015,2.21657536769726e-09
2016,2.278474076078396e-09
2017,5.282783988036499e-09
2018,2.323319980845895e-09
2019,1.7856913725466939e-09
