year,aurons_VERB ajouté_VERB
1874,3.525019565131515e-08
1875,6.007603303714859e-08
1876,2.9020871039620033e-08
1877,8.040260723873871e-08
1878,2.5968081018845623e-08
1879,2.3826368433788048e-08
1880,3.401458670282409e-08
1881,4.392679642251096e-08
1882,3.793569547383413e-08
1883,5.371438049905919e-08
1884,4.951272813968899e-08
1885,3.867381437316908e-08
1886,5.6145136539953455e-08
1887,5.288428894800745e-08
1888,3.360525724360741e-08
1889,4.0723389105323804e-08
1890,6.161123167203186e-08
1891,5.991766727220238e-08
1892,4.638699024894777e-08
1893,4.310891554837326e-08
1894,4.285046628638156e-08
1895,6.620476256102847e-08
1896,3.656158042986135e-08
1897,5.302309347143819e-08
1898,5.262269908712369e-08
1899,5.9145087050183065e-08
1900,5.1391424449320766e-08
1901,5.309301798206434e-08
1902,4.3210498290591204e-08
1903,4.806195974538241e-08
1904,5.5896101969210576e-08
1905,6.605771574186292e-08
1906,6.738881808132646e-08
1907,3.651418722938615e-08
1908,3.094175227147389e-08
1909,3.355599886845084e-08
1910,3.366815093386322e-08
1911,3.1922244403403965e-08
1912,4.063348413296808e-08
1913,3.234823608977422e-08
1914,2.6117300322425763e-08
1915,4.358881966481931e-08
1916,3.186363883855847e-08
1917,2.3029491202919417e-08
1918,4.3648228142956214e-08
1919,2.8544329566670967e-08
1920,4.316171953178127e-08
1921,3.559191341651058e-08
1922,5.6810101511928224e-08
1923,3.8217415010421973e-08
1924,2.9650736976805092e-08
1925,2.5295809891190402e-08
1926,2.8979959765251806e-08
1927,3.2332753363562006e-08
1928,1.3711249025050165e-08
1929,1.7824650200282122e-08
1930,4.096405348263943e-08
1931,2.6232321204133768e-08
1932,2.082311922890767e-08
1933,1.1470662641954732e-08
1934,1.9170528275935794e-08
1935,2.0346082152400413e-08
1936,2.66743711563322e-08
1937,2.2664012888640173e-08
1938,4.148868626430158e-08
1939,1.988226472349197e-08
1940,4.3108308034334186e-08
1941,8.854508237732261e-09
1942,2.1239483061208375e-08
1943,3.774205836748479e-08
1944,3.534504600111177e-08
1945,2.6142048525912287e-08
1946,2.227376683094917e-08
1947,1.549713246618012e-08
1948,2.2830963786191205e-08
1949,9.817008539414473e-09
1950,1.701657836861159e-08
1951,2.4521224162299404e-08
1952,1.1599284199803606e-08
1953,2.693456835345387e-08
1954,1.8567819282111486e-08
1955,1.595553378308523e-08
1956,2.52913103793162e-08
1957,1.5903067307476704e-08
1958,8.272243334772611e-09
1959,1.2401196514133517e-08
1960,1.868625076895114e-08
1961,6.94815938118154e-09
1962,1.585489073363533e-08
1963,1.681173777967615e-08
1964,9.125952438182594e-09
1965,1.094408652591028e-08
1966,1.273987226824147e-08
1967,6.902469706915326e-09
1968,1.8863946849023705e-08
1969,9.991866889436096e-09
1970,9.657322941336588e-09
1971,1.0276794526475896e-08
1972,1.487742551375959e-08
1973,5.513203671370093e-09
1974,3.937900228123681e-09
1975,6.282628195464213e-09
1976,3.4281160132820787e-09
1977,5.876781727920388e-09
1978,1.0693064211864112e-08
1979,9.948355028654987e-09
1980,5.116635559687666e-09
1981,5.69299452024552e-09
1982,4.345251713999687e-09
1983,6.946847541655643e-09
1984,4.059305780401701e-09
1985,6.617113967877231e-09
1986,5.395036861699509e-09
1987,5.49973533381376e-09
1988,5.99655392008458e-09
1989,7.683371272548811e-09
1990,3.2691906959314565e-09
1991,5.8614650910726596e-09
1992,3.856960972825618e-09
1993,7.754890063438324e-09
1994,2.637463358823311e-09
1995,2.7112254663563817e-09
1996,2.6690460952494277e-09
1997,3.3564262480467733e-09
1998,3.814503379828693e-09
1999,4.570201106446348e-09
2000,3.5344251969604557e-09
2001,1.3143635069212678e-09
2002,1.3143663935011318e-09
2003,4.166922806803086e-09
2004,2.2023955992267474e-09
2005,9.007499190971657e-10
2006,4.941467679486777e-09
2007,2.3966877371606188e-09
2008,2.9802078582719105e-09
2009,1.430457752249481e-09
2010,1.8895172093635892e-09
2011,2.2943831279320648e-09
2012,1.0212758416727752e-09
2013,1.9523875849358774e-09
2014,2.165445156521173e-09
2015,3.768178213903184e-09
2016,6.006886099640951e-09
2017,3.018733707449428e-09
2018,4.130346731301415e-09
2019,2.2958890344426663e-09
