year,certaines_DET règles_NOUN
1928,1.1883082642327736e-06
1929,1.3223662662653624e-06
1930,1.36651879323324e-06
1931,1.4176858904590972e-06
1932,1.3907651901234885e-06
1933,1.2904495214627332e-06
1934,1.3659000845933633e-06
1935,1.352416058253425e-06
1936,1.794457737958055e-06
1937,1.4139826163273028e-06
1938,1.5298952735776084e-06
1939,1.5278756393399817e-06
1940,1.2754987732677137e-06
1941,1.3163701417795437e-06
1942,9.406056640237637e-07
1943,1.2890363922934966e-06
1944,1.0699909438471877e-06
1945,9.607202891004363e-07
1946,1.0774935219615145e-06
1947,1.28149367384367e-06
1948,1.0045624243559814e-06
1949,1.425429559276381e-06
1950,1.395359419120723e-06
1951,1.4328924216044925e-06
1952,1.3982410109747434e-06
1953,1.432919095378793e-06
1954,1.377927603130047e-06
1955,1.4585234637820577e-06
1956,1.4189297274924684e-06
1957,1.5046069208324298e-06
1958,1.5543545828222705e-06
1959,1.4408640751639723e-06
1960,1.6298562677263817e-06
1961,1.7161953103084215e-06
1962,1.6971075211813513e-06
1963,1.6391445392116566e-06
1964,1.4844883260423103e-06
1965,1.4418833806928433e-06
1966,1.4551149050134882e-06
1967,1.563902433332487e-06
1968,1.3474247921863025e-06
1969,1.2721463420461987e-06
1970,1.497804721140028e-06
1971,1.3036113948317052e-06
1972,1.5975276781432513e-06
1973,1.3248228434292741e-06
1974,1.342261420234081e-06
1975,1.5289632351311866e-06
1976,1.290114404639553e-06
1977,1.2182568802643345e-06
1978,1.087128222110323e-06
1979,1.2973824965456515e-06
1980,1.224581467340613e-06
1981,1.1822451799758937e-06
1982,1.1496294405333174e-06
1983,1.2959028232728542e-06
1984,1.195755519489694e-06
1985,1.4274919450940615e-06
1986,1.5231987475772257e-06
1987,1.278993916997706e-06
1988,1.3660149669192378e-06
1989,1.367640091842759e-06
1990,1.455879505840585e-06
1991,1.3610322113777329e-06
1992,1.294836920351372e-06
1993,1.331071494803382e-06
1994,1.3361389434862758e-06
1995,1.1745028523080236e-06
1996,1.3158397571544356e-06
1997,1.2677701271002206e-06
1998,1.2459122231689435e-06
1999,1.3349557796971112e-06
2000,1.2993430260621608e-06
2001,1.3691286966377447e-06
2002,1.4006764885721168e-06
2003,1.3909188893990176e-06
2004,1.3024967877584004e-06
2005,1.2898738788180708e-06
2006,1.3164894525630189e-06
2007,1.2291013788967575e-06
2008,1.1822909833369977e-06
2009,1.2502201123254508e-06
2010,1.1544949920505587e-06
2011,1.2385845593598788e-06
2012,1.0423821343863438e-06
2013,1.3279024031476183e-06
2014,1.1221337459232927e-06
2015,1.2040437695759465e-06
2016,1.1237019350573973e-06
2017,1.2482463773721975e-06
2018,1.1035770199896433e-06
2019,1.0711597511203763e-06
