year,devais_VERB aller_VERB
1871,1.327647112248087e-07
1872,8.042961496812495e-08
1873,6.285304721131979e-08
1874,8.185214284139875e-08
1875,9.898241870587299e-08
1876,5.441413364337677e-08
1877,7.421779457672528e-08
1878,4.166971123709118e-08
1879,6.964630472339195e-08
1880,8.471557322309309e-08
1881,7.669758161910067e-08
1882,7.986461980635795e-08
1883,6.951272979449641e-08
1884,7.856019124119484e-08
1885,4.963139588198828e-08
1886,5.743582676132064e-08
1887,7.051238526400994e-08
1888,4.56524276160053e-08
1889,5.450668894013688e-08
1890,5.1124214195397144e-08
1891,6.756673087693343e-08
1892,6.331197255349252e-08
1893,5.234653954744317e-08
1894,6.427570298228602e-08
1895,1.053257534522345e-07
1896,8.845543675306544e-08
1897,5.127508018176741e-08
1898,6.393941021087812e-08
1899,3.814029270188257e-08
1900,6.436906119233754e-08
1901,4.8622027293276915e-08
1902,4.812078202576231e-08
1903,8.154332675758269e-08
1904,4.5146851590516235e-08
1905,7.534708146295088e-08
1906,8.076369795162464e-08
1907,5.708556116701402e-08
1908,7.17062818011982e-08
1909,6.876229718955074e-08
1910,8.22999197680474e-08
1911,7.129301593522541e-08
1912,8.230885839566326e-08
1913,7.795394907361697e-08
1914,5.49132970206756e-08
1915,4.005459075528961e-08
1916,6.812226160946011e-08
1917,6.031533672512523e-08
1918,7.236417332023848e-08
1919,9.392005040353979e-08
1920,7.117898093156327e-08
1921,8.102839643697735e-08
1922,7.820611358511087e-08
1923,8.492758496458919e-08
1924,1.250487571269332e-07
1925,8.798542694421485e-08
1926,8.805449169813073e-08
1927,1.1260716803462856e-07
1928,1.1540301869672476e-07
1929,8.689517017046455e-08
1930,1.039856769580183e-07
1931,6.729160162421977e-08
1932,6.02774505864545e-08
1933,8.717703536831323e-08
1934,7.428579351653752e-08
1935,8.497481474023516e-08
1936,8.729794842565752e-08
1937,6.547381303789734e-08
1938,4.537825049055755e-08
1939,7.188203454688846e-08
1940,8.621661606866837e-08
1941,9.739958528598436e-08
1942,1.2136847260535433e-07
1943,1.1903264152124393e-07
1944,5.7837350908584995e-08
1945,9.367567344042982e-08
1946,7.238973864787113e-08
1947,1.0967201546918659e-07
1948,9.132385514476482e-08
1949,8.246286853363927e-08
1950,8.614642865722999e-08
1951,9.701875569589902e-08
1952,1.0017564022746228e-07
1953,1.0989303689257213e-07
1954,1.2508846225500747e-07
1955,1.1450441661509103e-07
1956,9.767678932348645e-08
1957,9.630191044607272e-08
1958,1.1250251219507845e-07
1959,1.2246181313457782e-07
1960,1.4256916358590388e-07
1961,1.4313208396288246e-07
1962,1.1732619498161512e-07
1963,1.0798309091342162e-07
1964,1.0586104792764672e-07
1965,7.38725844939836e-08
1966,7.810095326021838e-08
1967,8.825301023307475e-08
1968,9.656544364133879e-08
1969,7.675570401488585e-08
1970,8.185730848708772e-08
1971,7.502060128672383e-08
1972,7.13090386739168e-08
1973,9.317314209056349e-08
1974,7.256987544224103e-08
1975,8.567220532995634e-08
1976,7.427584591823688e-08
1977,7.522280753846644e-08
1978,7.425739312338919e-08
1979,8.075723201272922e-08
1980,8.584577670944782e-08
1981,7.717170547039132e-08
1982,9.807853729171256e-08
1983,1.3009551480536174e-07
1984,8.640522963787589e-08
1985,8.782714644439693e-08
1986,1.0430404984163033e-07
1987,9.532874400974833e-08
1988,9.414589641210114e-08
1989,1.0756719603932652e-07
1990,8.554381736303185e-08
1991,9.554188551419429e-08
1992,9.862799998927585e-08
1993,1.495586019473194e-07
1994,1.1077345618559775e-07
1995,1.1007575295707284e-07
1996,1.03558988939767e-07
1997,8.247218374890508e-08
1998,1.058524716768261e-07
1999,1.1836821300903466e-07
2000,1.1310160630273458e-07
2001,1.1873083849422983e-07
2002,1.3888471528389346e-07
2003,1.5750968884731265e-07
2004,1.3214373950631852e-07
2005,1.4141774329345935e-07
2006,1.5977413170276122e-07
2007,1.79352127815946e-07
2008,1.788124706081362e-07
2009,1.8691314096486167e-07
2010,2.1729448462792789e-07
2011,3.0056420996515953e-07
2012,3.308933571588568e-07
2013,3.7569515143331955e-07
2014,3.7310621792130405e-07
2015,3.615234334120032e-07
2016,3.5979175549982756e-07
2017,4.3268514104966016e-07
2018,4.4711003965858254e-07
2019,4.308618315462809e-07
