year,devrions_VERB aller_VERB
1952,4.2179215675730575e-09
1953,1.6160740301529586e-08
1954,1.5636057781875934e-08
1955,6.569925492527773e-09
1956,3.314033847345854e-08
1957,8.835037590415595e-09
1958,6.617794756635931e-09
1959,1.5501495198577686e-08
1960,1.591791587429725e-08
1961,1.459113452284555e-08
1962,1.1415521861124489e-08
1963,1.1638896069143811e-08
1964,1.3384730657151067e-08
1965,2.0793764932136583e-08
1966,1.495550172592175e-08
1967,1.7256175155466735e-08
1968,2.380450325745187e-08
1969,1.725867981861029e-08
1970,1.839489982558007e-08
1971,2.1067430466814585e-08
1972,1.0260293947794707e-08
1973,1.1026407342740185e-08
1974,1.4626486688484874e-08
1975,1.3707552426467373e-08
1976,1.7711933253394818e-08
1977,2.056873604772136e-08
1978,9.504946163474415e-09
1979,6.437170796402825e-09
1980,2.38776323158163e-08
1981,1.8344094243616382e-08
1982,1.5518756057986138e-08
1983,1.136756910824488e-08
1984,1.797692661398287e-08
1985,1.7445119127046382e-08
1986,1.8582904104391673e-08
1987,1.5277041853778428e-08
1988,1.139345240375178e-08
1989,1.92084268491044e-08
1990,1.6345952147389653e-08
1991,2.5790447111262438e-08
1992,1.4876849085965205e-08
1993,2.1602909683338112e-08
1994,2.7429617688312646e-08
1995,1.138714633697191e-08
1996,1.3879040139386234e-08
1997,1.7741109914481967e-08
1998,1.621164003040576e-08
1999,1.7823785114501334e-08
2000,1.6346715980830595e-08
2001,1.7086726700199506e-08
2002,1.270554239596322e-08
2003,1.583430631058036e-08
2004,1.5416770082765652e-08
2005,1.5763124139311913e-08
2006,2.2236605445868918e-08
2007,4.433872291542684e-08
2008,4.2148652568130274e-08
2009,6.866197566068877e-08
2010,9.211396445607534e-08
2011,1.0286484553034825e-07
2012,1.2051054909534287e-07
2013,1.3471473891968344e-07
2014,1.3404105914105457e-07
2015,1.1747849271159794e-07
2016,1.3836552170687355e-07
2017,1.2905086066439253e-07
2018,1.4688545491026161e-07
2019,1.4183491714447882e-07
