year,mêmes_ADJ règles_NOUN
1871,1.1035402849302045e-06
1872,1.0238145478069782e-06
1873,1.1289604344710824e-06
1874,1.0503363228053786e-06
1875,1.06134325505991e-06
1876,1.2001339655398624e-06
1877,8.819547474558931e-07
1878,1.0538209380683838e-06
1879,1.1589389714572462e-06
1880,1.1962865755776875e-06
1881,1.0737661568782642e-06
1882,1.1460573432486854e-06
1883,1.220896251652448e-06
1884,1.2305563359404914e-06
1885,1.4096605127633666e-06
1886,1.2403558002915815e-06
1887,1.3253717270345078e-06
1888,1.2579779422594584e-06
1889,1.1916290532099083e-06
1890,1.2918695802000002e-06
1891,1.4966668686611229e-06
1892,1.2737617680613766e-06
1893,1.3813328223477583e-06
1894,1.1708259535225807e-06
1895,1.3090486845612759e-06
1896,1.5049217836349271e-06
1897,1.383261746923381e-06
1898,1.3478201026373426e-06
1899,1.306166723225033e-06
1900,1.383934773002693e-06
1901,1.2932341633131728e-06
1902,1.2206966175654088e-06
1903,1.2712118859781185e-06
1904,1.3436563222057885e-06
1905,1.4135318906483008e-06
1906,1.296334517064679e-06
1907,1.3340535360839567e-06
1908,1.3334421282706899e-06
1909,1.2415720220815274e-06
1910,1.336037712462712e-06
1911,1.4753397863387363e-06
1912,1.274745386581344e-06
1913,1.1613547030719928e-06
1914,1.3614479712487082e-06
1915,1.371280632156413e-06
1916,1.3162979257685947e-06
1917,1.19424362310383e-06
1918,1.4656616258434951e-06
1919,1.38025643536821e-06
1920,1.5053597053338308e-06
1921,1.4501811165246181e-06
1922,1.3693447726836894e-06
1923,1.3418558637567912e-06
1924,1.2801383491023444e-06
1925,1.337378421339963e-06
1926,1.3486827583619743e-06
1927,1.2531728543763165e-06
1928,1.4008326161274454e-06
1929,1.4048052889847895e-06
1930,1.4326915334095247e-06
1931,1.3059133152637514e-06
1932,1.2866496490460122e-06
1933,1.1218307918170467e-06
1934,1.0471901532582706e-06
1935,1.0280756441716221e-06
1936,1.0742496669990942e-06
1937,1.1130548500659643e-06
1938,1.1927996865779278e-06
1939,1.1409362059566774e-06
1940,1.262819864678022e-06
1941,1.0625409458953072e-06
1942,9.861188345894334e-07
1943,8.303252911900927e-07
1944,8.322152211803768e-07
1945,8.212959983211476e-07
1946,8.394425776714343e-07
1947,9.572459021001123e-07
1948,9.936904916685307e-07
1949,1.067108769348124e-06
1950,1.1188400321771041e-06
1951,9.797828397495323e-07
1952,1.0354997357353568e-06
1953,1.0170492714678403e-06
1954,9.371862006446463e-07
1955,1.0136456012332928e-06
1956,1.1843310403492069e-06
1957,1.044301484398602e-06
1958,1.0365121170252678e-06
1959,1.1354845810274128e-06
1960,1.0083654160553124e-06
1961,9.956712574421545e-07
1962,8.041600949582062e-07
1963,8.173091146090883e-07
1964,8.493219638694427e-07
1965,8.979623089544475e-07
1966,9.073004321180633e-07
1967,8.218869425036246e-07
1968,7.963280381773075e-07
1969,1.0277998399033095e-06
1970,1.0820799616340082e-06
1971,8.653061627228453e-07
1972,7.982508236636932e-07
1973,8.380069971281046e-07
1974,8.950284495767846e-07
1975,8.824237056614948e-07
1976,8.964523772192479e-07
1977,7.710337968092063e-07
1978,7.241580988193164e-07
1979,8.801367812338867e-07
1980,7.868248417253199e-07
1981,8.305446499434765e-07
1982,8.21873300083098e-07
1983,8.077288953245443e-07
1984,9.475579645368271e-07
1985,1.057535087056749e-06
1986,9.28545773604128e-07
1987,9.856747738012928e-07
1988,9.312648217019159e-07
1989,1.077867182175396e-06
1990,9.360782655676303e-07
1991,1.2250462759766378e-06
1992,1.0832550287886988e-06
1993,1.0219837349723093e-06
1994,1.082414883057936e-06
1995,1.0714762765928754e-06
1996,1.0254475455440115e-06
1997,1.0074073770738323e-06
1998,9.111894883062632e-07
1999,1.0214399708274868e-06
2000,1.1062751354984357e-06
2001,1.0655106734702713e-06
2002,1.0234533647235367e-06
2003,1.0658989140210906e-06
2004,9.721373999127536e-07
2005,9.088566912396345e-07
2006,9.854110203377786e-07
2007,9.654656878410606e-07
2008,9.110921155297547e-07
2009,8.94512936611136e-07
2010,8.602027037341031e-07
2011,9.261660238735203e-07
2012,7.799142736075737e-07
2013,8.788533136794285e-07
2014,8.343460535797931e-07
2015,8.819753247735207e-07
2016,8.161079563251405e-07
2017,9.227262580679962e-07
2018,7.411391038658621e-07
2019,7.826430419299868e-07
