year,tes_DET routes_NOUN
1949,5.890204768377316e-09
1950,1.3825969702452312e-08
1951,8.529121409139861e-09
1952,7.381362632230548e-09
1953,8.619061908632375e-09
1954,5.863521668203475e-09
1955,3.754243138587299e-09
1956,1.9186511934776718e-08
1957,6.184526224473075e-09
1958,9.099467679352102e-09
1959,1.007597205671118e-08
1960,3.460416619915918e-09
1961,9.72742331128984e-09
1962,3.805173953708163e-09
1963,7.759263453976928e-09
1964,3.6503808864551957e-09
1965,7.660860668057268e-09
1966,1.4955501503877144e-08
1967,8.381570104631919e-09
1968,9.431973424511852e-09
1969,4.995933389206897e-09
1970,7.357959852516416e-09
1971,5.138397263237948e-09
1972,7.182205663536223e-09
1973,2.7566018356850464e-09
1974,8.438357568252286e-09
1975,1.0851811893530794e-08
1976,1.4855169427896442e-08
1977,5.289103655048422e-09
1978,5.940591130126904e-09
1979,5.851973128301324e-09
1980,5.6851505725319385e-09
1981,3.1627747087981106e-09
1982,4.966001831974154e-09
1983,3.78918940668882e-09
1984,3.479405208395292e-09
1985,2.4062232206745193e-09
1986,5.994485352545098e-09
1987,3.0554083707556856e-09
1988,4.797243047249822e-09
1989,6.036934174780129e-09
1990,2.179460389939436e-09
1991,4.10302547493302e-09
1992,4.4079553340736766e-09
1993,6.647049133334804e-09
1994,4.2199412852994556e-09
1995,4.337960657352369e-09
1996,8.007138063703678e-09
1997,3.3564262480467733e-09
1998,5.72175506974304e-09
1999,5.027221222642098e-09
2000,6.627047355323157e-09
2001,5.695575122643959e-09
2002,2.1906108038649563e-09
2003,8.333845613606172e-09
2004,5.285749615779878e-09
2005,9.007498746882447e-09
2006,1.070651389767363e-08
2007,3.994479413904628e-09
2008,4.257439817356712e-09
2009,4.76819250749827e-09
2010,5.196172381261022e-09
2011,2.6767803251726008e-09
2012,8.851056776393307e-09
2013,6.136075203500013e-09
2014,6.063246349441442e-09
2015,5.3197807964311394e-09
2016,6.8354220061905835e-09
2017,5.7859061153298086e-09
2018,4.3884932354743e-09
2019,4.846876677788714e-09
