year,mais_CONJ appliquer_VERB
1870,7.454263428741115e-09
1871,1.805600158277798e-08
1872,1.0280476692159368e-08
1873,7.781805866358127e-09
1874,1.5533983876991897e-08
1875,1.2015207218052382e-08
1876,4.232210359944588e-09
1877,1.608052180301911e-08
1878,1.7513357430942733e-08
1879,1.710611030603104e-08
1880,1.2835692508872398e-08
1881,1.1853262871230896e-08
1882,1.3976308999019693e-08
1883,1.0742876366265364e-08
1884,7.2618666635548834e-09
1885,1.4180398633101277e-08
1886,1.097088864199236e-08
1887,3.003305337756501e-08
1888,1.268122939990235e-08
1889,1.8795409673089125e-08
1890,1.7696843546133323e-08
1891,7.011642266796514e-09
1892,8.775917548220491e-09
1893,2.2170299485146927e-08
1894,1.2603078580752936e-08
1895,9.629783193076946e-09
1896,5.307325912085048e-09
1897,3.4960281336537946e-09
1898,1.5843393930126126e-08
1899,8.844125432005967e-09
1900,4.1528424032932776e-09
1901,1.4530721070826758e-08
1902,1.7677022068340875e-08
1903,1.2420506845245427e-08
1904,1.4511488011237361e-08
1905,6.708986699521802e-09
1906,1.6461390250910313e-08
1907,1.542853000913169e-08
1908,8.840500331785961e-09
1909,8.801574025163461e-09
1910,1.4429206718347132e-08
1911,5.852411666396051e-09
1912,6.251305251225858e-09
1913,4.772690798127144e-09
1914,9.375441145653696e-09
1915,5.890381071793627e-09
1916,6.592477008737774e-09
1917,8.773139770212879e-09
1918,1.9526839700745313e-08
1919,6.445493971884986e-09
1920,6.815008557481406e-09
1921,1.1359120977161297e-08
1922,1.3280283539529592e-08
1923,3.1847844361720945e-09
1924,2.1915761649893284e-08
1925,9.898360353588487e-09
1926,1.5604594283402662e-08
1927,3.344767462998277e-09
1928,9.140832868403947e-09
1929,4.4561625500705304e-09
1930,1.6805765667982087e-08
1931,9.124285327288817e-09
1932,1.3151443933878681e-08
1933,1.9500125958415992e-08
1934,1.677421224144382e-08
1935,1.4361940969820353e-08
1936,2.182448666232517e-08
1937,8.813782814698357e-09
1938,1.1668693344901726e-08
1939,7.647025235257843e-09
1940,7.607348750937604e-09
1941,8.854507793643052e-09
1942,9.102635312174812e-09
1943,8.709705623388686e-09
1944,9.639558484764166e-09
1945,6.535512131478072e-09
1946,1.9489545977080525e-08
1947,8.344609669919123e-09
1948,1.3046265623373188e-08
1949,8.83530737461058e-09
1950,1.3825969480407707e-08
1951,6.396841056854896e-09
1952,4.2179215675730575e-09
1953,1.4005975490505307e-08
1954,5.863521668203475e-09
1955,1.595553333899602e-08
1956,1.2209598221346596e-08
1957,6.18452644651768e-09
1958,9.926692356998501e-09
1959,1.0075972611822692e-08
1960,6.920833295342987e-09
1961,1.389631831827387e-08
1962,1.0781326054143392e-08
1963,1.0992290633282664e-08
1964,9.125952216137989e-09
1965,8.20806489443271e-09
1966,1.273987226824147e-08
1967,8.381570548721129e-09
1968,1.3025105882746857e-08
1969,1.2716921737876419e-08
1970,1.10369398065302e-08
1971,9.24911525146399e-09
1972,5.130146862875051e-09
1973,1.1577728109557484e-08
1974,9.000914458212605e-09
1975,9.138368284311582e-09
1976,6.856232359631065e-09
1977,1.2341242250357709e-08
1978,1.0693064211864112e-08
1979,8.192762468439696e-09
1980,6.822180820265089e-09
1981,1.4548763527244546e-08
1982,1.3656504815884318e-08
1983,1.5788290674834116e-08
1984,1.0438215181096666e-08
1985,6.015558162708601e-09
1986,1.0790073945443623e-08
1987,8.555143704569446e-09
1988,9.594486094499644e-09
1989,7.134558721588746e-09
1990,6.538381169818308e-09
1991,9.37834432335194e-09
1992,5.509944278614398e-09
1993,1.4401939640862338e-08
1994,1.5824779708850656e-08
1995,7.0491861237087505e-09
1996,1.0676183936908501e-08
1997,9.58978896292706e-09
1998,1.2873949017944142e-08
1999,8.226361924990044e-09
2000,6.1852438726361925e-09
2001,1.7524847351069184e-08
2002,8.762442771370615e-09
2003,6.250384210204629e-09
2004,1.0571499231559756e-08
2005,8.106749493919096e-09
2006,1.2353669642806153e-08
2007,1.4380125978874503e-08
2008,1.3623806971452268e-08
2009,1.0490023960585404e-08
2010,9.919965293647692e-09
2011,1.2236709867607942e-08
2012,1.46382865828798e-08
2013,1.0040849929282558e-08
2014,6.9294245896855955e-09
2015,8.86630147078904e-09
2016,9.32103016992869e-09
2017,9.056200678259074e-09
2018,8.002546625363038e-09
2019,5.867271779536054e-09
