year,devais_VERB avoir_VERB
1897,9.322741334472084e-08
1898,8.940200757479033e-08
1899,9.009952606220395e-08
1900,9.655359178850631e-08
1901,9.947954993094754e-08
1902,9.133128031635351e-08
1903,7.2902970771338e-08
1904,9.67432498555354e-08
1905,8.412037288962892e-08
1906,5.96725371337925e-08
1907,8.897119130324427e-08
1908,7.907336652124286e-08
1909,1.1497055396603173e-07
1910,1.0207327960642942e-07
1911,7.980560923215307e-08
1912,1.0002088401961373e-07
1913,9.598411310207666e-08
1914,1.0647822534792795e-07
1915,5.890380805340101e-08
1916,7.251725264723063e-08
1917,6.141197417264266e-08
1918,1.2635014456918725e-07
1919,1.5192949831543956e-07
1920,9.76817915443462e-08
1921,9.314479143540666e-08
1922,1.3354063810311345e-07
1923,1.1677543199084539e-07
1924,1.3278372534841765e-07
1925,1.2647905123230885e-07
1926,1.3040981627909787e-07
1927,1.7727268186717993e-07
1928,1.1083260176292242e-07
1929,1.3034275525569683e-07
1930,1.407482841386809e-07
1931,1.0378874293337503e-07
1932,8.87722464426588e-08
1933,1.1814782396868395e-07
1934,1.2700475338078832e-07
1935,1.3165112022761605e-07
1936,1.1760972995489283e-07
1937,1.309476260757947e-07
1938,1.283556230191607e-07
1939,1.345876512459654e-07
1940,1.0396709626547818e-07
1941,1.9775067983118788e-07
1942,1.9115533689273434e-07
1943,1.7129087837020052e-07
1944,1.285274464635222e-07
1945,2.330999393507227e-07
1946,1.8375857280261698e-07
1947,1.8358140607688256e-07
1948,1.652527004125659e-07
1949,1.5903553673979332e-07
1950,1.3081493932531885e-07
1951,2.260217115690466e-07
1952,1.697713400972134e-07
1953,2.04702715222993e-07
1954,2.54085932738235e-07
1955,1.5861677127304574e-07
1956,1.9971413678376848e-07
1957,1.4577811668914364e-07
1958,1.8198934981228376e-07
1959,1.619906271344007e-07
1960,2.4638165996293537e-07
1961,2.2512035968702548e-07
1962,1.9913743187771615e-07
1963,2.1467296562605043e-07
1964,2.1233049096736067e-07
1965,1.5102840222880332e-07
1966,1.899902599689085e-07
1967,1.5875680503540934e-07
1968,1.80554920348186e-07
1969,1.4760712474526372e-07
1970,1.5865600744291442e-07
1971,1.6442871242361434e-07
1972,1.2979270991309022e-07
1973,1.7421723441657377e-07
1974,1.7833062315730785e-07
1975,1.673463714269019e-07
1976,1.6969174509995355e-07
1977,1.5397168340314238e-07
1978,1.5861378699355555e-07
1979,1.5741808567781845e-07
1980,1.9329512213062117e-07
1981,1.8913392807462515e-07
1982,1.942948273381262e-07
1983,1.9198560607947002e-07
1984,2.203623239438457e-07
1985,2.081383030372308e-07
1986,2.092075419568573e-07
1987,2.0776776921138662e-07
1988,1.7090178516809829e-07
1989,2.497095579201414e-07
1990,2.0160008773473237e-07
1991,2.356309067863549e-07
1992,2.132348413397267e-07
1993,3.0077896440161567e-07
1994,1.9306231990867673e-07
1995,2.2503171237531205e-07
1996,2.4234938678091567e-07
1997,2.3255238090769126e-07
1998,2.0026142522056034e-07
1999,2.1297137209330685e-07
2000,2.3857370479163365e-07
2001,2.685682716219162e-07
2002,2.790838209421054e-07
2003,3.021019097104727e-07
2004,2.876328721868049e-07
2005,2.760798452072777e-07
2006,3.2901940016927256e-07
2007,3.575059110971779e-07
2008,3.8614979303019936e-07
2009,4.353359770448151e-07
2010,5.796093773824396e-07
2011,6.095411322348809e-07
2012,7.291909582818334e-07
2013,8.135877465065278e-07
2014,8.629298804407881e-07
2015,7.977454856700206e-07
2016,7.842093623366964e-07
2017,8.955576618063787e-07
2018,1.0016091209763545e-06
2019,9.132536433753558e-07
