year,pouvions_VERB aller_VERB
1890,3.8015443237782165e-08
1891,1.1473596295275001e-08
1892,1.9432388143059143e-08
1893,2.771287377356657e-08
1894,2.0164925729204697e-08
1895,2.166701307260155e-08
1896,3.3023361822870356e-08
1897,3.204692333724779e-08
1898,1.9804241802034994e-08
1899,1.8241008703512307e-08
1900,2.803168719367477e-08
1901,2.235495522029396e-08
1902,2.1605249145295602e-08
1903,1.83607493653426e-08
1904,2.741058935384899e-08
1905,2.3223416079076742e-08
1906,6.173021205313489e-09
1907,1.902852098112362e-08
1908,1.5716445034286153e-08
1909,1.7603147384193107e-08
1910,1.8170112525695004e-08
1911,1.755723388896513e-08
1912,2.2400511667797218e-08
1913,2.7575547179026216e-08
1914,4.2859159776753586e-08
1915,5.301343009023185e-08
1916,3.735737053034427e-08
1917,3.3995917192441993e-08
1918,1.4932290071101306e-08
1919,3.9593746947730324e-08
1920,2.1959472462640406e-08
1921,4.0892835784234194e-08
1922,1.8444838545406128e-08
1923,1.9108707505210987e-08
1924,2.9650736976805092e-08
1925,2.1996356736053713e-08
1926,1.671920735191179e-08
1927,1.8953683067479687e-08
1928,1.5996457491951332e-08
1929,3.342121956961819e-08
1930,1.05036033204442e-08
1931,2.6232321204133768e-08
1932,1.3151444377967891e-08
1933,2.982372038218273e-08
1934,2.156684431042777e-08
1935,1.4361940969820353e-08
1936,7.274828739411987e-09
1937,2.895957251780601e-08
1938,2.463390735840676e-08
1939,6.117620188206274e-09
1940,2.7893612752905028e-08
1941,2.3612020783048138e-08
1942,1.8205270180260413e-08
1943,3.193558839598154e-08
1944,2.2492303131116387e-08
1945,3.485606470121638e-08
1946,1.3921104269343232e-08
1947,1.3112957830685446e-08
1948,8.697510267552389e-09
1949,1.2762110479513922e-08
1950,9.571825110299415e-09
1951,2.1322803078760444e-08
1952,1.5817205323287453e-08
1953,2.5857186614075545e-08
1954,2.9317607896928166e-08
1955,2.0648336374051723e-08
1956,1.4825940475304833e-08
1957,1.5903067307476704e-08
1958,1.1581140491045971e-08
1959,1.4726420971555854e-08
1960,2.422291700554524e-08
1961,2.640300600376122e-08
1962,2.3465238641051656e-08
1963,2.7157422977097667e-08
1964,2.4335873760605864e-08
1965,1.3132904541635071e-08
1966,1.9386762417639147e-08
1967,2.070740912074598e-08
1968,3.1439910230801615e-08
1969,1.725867981861029e-08
1970,2.6672605457633836e-08
1971,2.980270608077262e-08
1972,1.5903454553267693e-08
1973,1.4334330167287135e-08
1974,2.025205780853412e-08
1975,1.313640396460869e-08
1976,2.2282755196556536e-08
1977,2.938390863960194e-08
1978,2.198018833610149e-08
1979,1.404473604083023e-08
1980,2.6720208268216084e-08
1981,2.213942273954217e-08
1982,1.8622506203769262e-08
1983,1.8314416649900522e-08
1984,1.4497521405587577e-08
1985,2.8273122509858695e-08
1986,2.6375735373562748e-08
1987,1.5277041853778428e-08
1988,1.3792074149421296e-08
1989,1.9757239400064464e-08
1990,2.1249737969242233e-08
1991,2.8135033858234237e-08
1992,1.1570882918476855e-08
1993,1.827938511667071e-08
1994,3.0594573985354145e-08
1995,3.0907969517102174e-08
1996,2.2953797085278893e-08
1997,2.013855748828064e-08
1998,2.2410207023426665e-08
1999,3.1991408633302854e-08
2000,3.1368024622224766e-08
2001,1.7524847351069184e-08
2002,2.3220474432150695e-08
2003,2.708499913239848e-08
2004,2.8631143678126136e-08
2005,2.8373621674404603e-08
2006,2.7589862838794943e-08
2007,2.5564668604260987e-08
2008,3.022782024686421e-08
2009,2.9085974517784052e-08
2010,3.070465481869178e-08
2011,3.74749262732621e-08
2012,3.3702100665777834e-08
2013,4.99253367536312e-08
2014,5.045487228017009e-08
2015,5.541438596878834e-08
2016,5.21977696621434e-08
2017,4.8551299869359354e-08
2018,5.627597587931632e-08
2019,4.9234063936864914e-08
