year,toutes_DET règles_NOUN
1878,1.6305540029293297e-08
1879,3.4823152361695975e-08
1880,2.3746030919369332e-08
1881,3.6257038260600893e-08
1882,2.3293847739580542e-08
1883,4.7395041891107326e-08
1884,3.300848483434038e-08
1885,4.060750324885731e-08
1886,1.936039240035825e-08
1887,3.5909085094321114e-08
1888,2.0924028287794272e-08
1889,2.7566601445982997e-08
1890,3.47382496102e-08
1891,2.8046568956163753e-08
1892,1.8178685001757344e-08
1893,2.6481190573690583e-08
1894,3.3398159349218304e-08
1895,2.347259586699124e-08
1896,2.948514399303548e-08
1897,1.806281169081103e-08
1898,3.451596530812395e-08
1899,3.537649995166703e-08
1900,3.0627212765921286e-08
1901,2.6825947685438223e-08
1902,3.437198548006393e-08
1903,3.9961630449170116e-08
1904,1.8811188162715098e-08
1905,1.7546580910465792e-08
1906,2.6749758852417926e-08
1907,4.011417864546729e-08
1908,2.4556944921982904e-08
1909,4.015718135796931e-08
1910,3.473697940403753e-08
1911,4.043484358451366e-08
1912,3.9591602329913655e-08
1913,3.818152549683873e-08
1914,4.018046190212843e-08
1915,2.3561524287174507e-08
1916,4.394984731703744e-08
1917,4.276905674061027e-08
1918,3.216185273657857e-08
1919,6.721729306491397e-08
1920,6.663563922870708e-08
1921,5.452378065706753e-08
1922,6.123686269177142e-08
1923,8.598918244118181e-08
1924,8.37955622667863e-08
1925,4.5092529710188956e-08
1926,5.127223734469055e-08
1927,4.905659012344188e-08
1928,5.1417184954161144e-08
1929,6.572839938989716e-08
1930,3.7812973197048905e-08
1931,4.334035352826504e-08
1932,2.6302888755935783e-08
1933,5.964744387298992e-08
1934,5.751158305145054e-08
1935,6.702238852795972e-08
1936,6.911087346850309e-08
1937,5.414180748175568e-08
1938,6.093650739558143e-08
1939,7.18820407641374e-08
1940,6.846613587185857e-08
1941,6.493305448884712e-08
1942,7.282108072104165e-08
1943,6.096794180621146e-08
1944,3.213186161588055e-08
1945,6.099811278303946e-08
1946,3.201854159584627e-08
1947,5.006765868564855e-08
1948,3.370285384107774e-08
1949,4.8103338978755517e-08
1950,3.08425478490193e-08
1951,3.8381047229307796e-08
1952,4.74516177462192e-08
1953,2.693456835345387e-08
1954,4.6908174455850826e-08
1955,4.035811329572425e-08
1956,4.098936523533325e-08
1957,3.357314215524099e-08
1958,5.294235772002054e-08
1959,3.255313940631055e-08
1960,2.837541629441276e-08
1961,3.265634729299194e-08
1962,2.0928456134772233e-08
1963,3.556329353227028e-08
1964,3.346182664287767e-08
1965,3.6662689439914686e-08
1966,1.994066989308152e-08
1967,3.1061113570096666e-08
1968,3.8177035699415995e-08
1969,3.996746797407802e-08
1970,4.322801461231762e-08
1971,4.419021948365298e-08
1972,4.6171322765076184e-08
1973,3.4733182663337914e-08
1974,5.513060147288584e-08
1975,4.454954627419738e-08
1976,3.999468822790675e-08
1977,4.642657813747064e-08
1978,2.7326720664078152e-08
1979,3.218585509223715e-08
1980,3.809051124514795e-08
1981,3.28928564385933e-08
1982,3.848651530802272e-08
1983,2.2103606056589342e-08
1984,3.827345507190216e-08
1985,3.188245756291508e-08
1986,2.997242726232585e-08
1987,3.2387330872740705e-08
1988,4.3175187869337606e-08
1989,3.6221606047881494e-08
1990,3.7595690116631886e-08
1991,3.634108480810028e-08
1992,3.856960972825618e-08
1993,2.9357799746776436e-08
1994,2.479215588380157e-08
1995,3.307695095600138e-08
1996,3.5765217898386936e-08
1997,3.212579302580565e-08
1998,3.862184816405545e-08
1999,4.0674790563466345e-08
2000,3.0926221694649314e-08
2001,5.038393630085736e-08
2002,2.6725451796050237e-08
2003,2.6668306507549033e-08
2004,3.1274016265570026e-08
2005,4.819012033863146e-08
2006,2.5119129165585008e-08
2007,2.157018919035636e-08
2008,3.363377487630714e-08
2009,2.4794601483080214e-08
2010,2.5036102968556406e-08
2011,3.059177616782094e-08
2012,2.2468067517600332e-08
2013,1.701366358908274e-08
2014,2.8800420631691637e-08
2015,2.4603986584215143e-08
2016,2.7755956200081755e-08
2017,2.9684213531666614e-08
2018,2.5814666515522333e-08
2019,2.397928444697328e-08
