year,devez_VERB avoir_VERB
1913,3.685577780743188e-07
1914,3.9845625110501715e-07
1915,3.769843885947921e-07
1916,3.4610505394994107e-07
1917,3.8711479533048987e-07
1918,3.239157990719832e-07
1919,3.637100007836125e-07
1920,3.831549122423894e-07
1921,3.5364729455977795e-07
1922,4.198045360226388e-07
1923,3.991596599917102e-07
1924,3.790137554915418e-07
1925,4.685223871092603e-07
1926,3.990317622992734e-07
1927,5.451971105685516e-07
1928,3.542072875006852e-07
1929,4.600987892899866e-07
1930,3.928347780401964e-07
1931,3.0452301302830165e-07
1932,3.112508295544103e-07
1933,3.028254695891519e-07
1934,3.3308793945252546e-07
1935,3.8298509252854274e-07
1936,2.837183217252459e-07
1937,2.883365937123017e-07
1938,3.37095571012469e-07
1939,3.4258673053955135e-07
1940,2.0286263691104978e-07
1941,4.0435585901832383e-07
1942,4.065843768330524e-07
1943,3.512914474868012e-07
1944,3.920087010556017e-07
1945,3.267756198965799e-07
1946,4.1624102209425473e-07
1947,4.649139668799762e-07
1948,3.739929468338232e-07
1949,3.386867888366396e-07
1950,3.488398476747534e-07
1951,4.339190411428717e-07
1952,3.15289639729599e-07
1953,3.436850875004893e-07
1954,4.2217357076879125e-07
1955,3.6322302321423194e-07
1956,4.5262726189321256e-07
1957,3.7990662349329796e-07
1958,4.4835559265266056e-07
1959,3.72810973203741e-07
1960,3.868745750423841e-07
1961,4.175843741904828e-07
1962,4.3061882593065093e-07
1963,3.569261366465071e-07
1964,5.694594165106537e-07
1965,4.071200407906872e-07
1966,3.511773343234381e-07
1967,4.521117773492733e-07
1968,3.7099096061865566e-07
1969,3.4880699217865185e-07
1970,3.030559696526325e-07
1971,3.339958425385703e-07
1972,3.103738777099352e-07
1973,3.2252242476715764e-07
1974,2.8802926976823073e-07
1975,2.627280935030285e-07
1976,2.611081697523332e-07
1977,2.1920396875430015e-07
1978,3.0653450266981963e-07
1979,3.7745229519714485e-07
1980,2.888056656047411e-07
1981,2.960357221581944e-07
1982,2.774753511403105e-07
1983,2.848207429906324e-07
1984,2.615352912016533e-07
1985,2.676923429589806e-07
1986,3.081165402818442e-07
1987,2.499324125437852e-07
1988,2.614497418562678e-07
1989,3.0404197559619206e-07
1990,2.462790291701822e-07
1991,2.954178341951774e-07
1992,2.2756069029128412e-07
1993,2.8249957040316076e-07
1994,3.0119829830255185e-07
1995,2.581086562258861e-07
1996,2.6316794787817344e-07
1997,2.3063442711190874e-07
1998,2.536644672090915e-07
1999,2.605014799428318e-07
2000,2.3813190352939273e-07
2001,2.3702355633758998e-07
2002,2.672545065252052e-07
2003,3.3377051522620604e-07
2004,3.440142108956934e-07
2005,3.8236834143390297e-07
2006,3.60727170800601e-07
2007,4.921198524243664e-07
2008,5.257937800706713e-07
2009,5.988849807181396e-07
2010,6.830604775132088e-07
2011,8.600113119427988e-07
2012,1.0658715154931997e-06
2013,1.0395068557045306e-06
2014,1.0506739727134118e-06
2015,1.0794722129503498e-06
2016,1.143586814578157e-06
2017,9.164372158920742e-07
2018,1.087571945390664e-06
2019,1.0805983947648201e-06
