year,pourrons_VERB appliquer_VERB
1979,3.5111840102075575e-09
1980,5.6851505725319385e-09
1981,6.325549417596221e-09
1982,4.966001831974154e-09
1983,1.89459470334441e-09
1984,1.739702604197646e-09
1985,0.0
1986,2.997242676272549e-09
1987,3.6664902225425067e-09
1988,4.797243047249822e-09
1989,5.488121956886971e-09
1990,3.814055737905164e-09
1991,6.4476117778156095e-09
1992,2.2039776670368383e-09
1993,3.323524566667402e-09
1994,3.6924485691258724e-09
1995,5.422450821690461e-10
1996,3.736664311304594e-09
1997,5.274384040632185e-09
1998,1.43043876743576e-09
1999,1.3710603763428253e-09
2000,8.836062992401139e-10
2001,3.943090742808408e-09
2002,1.752488598683044e-09
2003,3.333538334260311e-09
2004,4.404791198453495e-09
2005,3.602999676388663e-09
2006,4.529678854225949e-09
2007,2.7961355453243186e-09
2008,2.9802078582719105e-09
2009,4.76819250749827e-09
2010,1.8895172093635892e-09
2011,4.5887662558641296e-09
2012,3.063827413996023e-09
2013,1.9523875849358774e-09
2014,6.279790909502481e-09
2015,3.103205470367243e-09
2016,3.935546111222266e-09
2017,3.773417134311785e-09
2018,1.5488800242380307e-09
2019,3.5713827450933877e-09
