year,aurions_VERB ajouté_VERB
1961,2.08444772553662e-09
1962,4.43936931660005e-09
1963,3.879631726988464e-09
1964,3.6503808864551957e-09
1965,3.830430195250756e-09
1966,7.754704434148607e-09
1967,5.423369309198733e-09
1968,4.491415683816058e-09
1969,3.6334062425424918e-09
1970,4.5987250119061684e-10
1971,5.652237344833111e-09
1972,1.0260293725750103e-09
1973,1.6539611902288698e-09
1974,1.1251143350321513e-09
1975,3.4268881066168433e-09
1976,2.285410749536254e-09
1977,4.11374712072643e-09
1978,1.7821774056514528e-09
1979,2.3407893401383717e-09
1980,1.1370301367108482e-09
1981,6.325549528618524e-10
1982,2.483000915987077e-09
1983,1.2630632095778083e-09
1984,1.1598016991243298e-09
1985,3.609334831011779e-09
1986,1.7983456945813714e-09
1987,2.4443267410134695e-09
1988,1.1993107618124554e-09
1989,3.841685636274406e-09
1990,2.179460389939436e-09
1991,1.1722930404189924e-09
1992,1.1019888335184191e-09
1993,2.2156829704300662e-09
1994,1.0549853213248639e-09
1995,2.7112254663563817e-09
1996,1.067618438099771e-09
1997,2.876936688878118e-09
1998,1.43043876743576e-09
1999,9.140402323914998e-10
2000,3.5344251969604557e-09
2001,0.0
2002,1.3143663935011318e-09
2003,8.333845835650777e-10
2004,4.404791253964646e-10
2005,1.3511248786457486e-09
2006,1.6471559671771274e-09
2007,1.997239706952314e-09
2008,1.2772318758180745e-09
2009,2.384096253749135e-09
2010,1.4171379625338432e-09
2011,1.911985902935953e-09
2012,2.0425516833455504e-09
2013,1.1156500168141292e-09
2014,8.661780737106994e-10
2015,1.5516027351836215e-09
2016,8.285360175719347e-10
2017,7.54683426862357e-10
2018,7.744400121190154e-10
2019,1.7856913725466939e-09
