year,voulons_VERB ajouter_VERB
1922,1.696925089333945e-08
1923,1.4862327368803108e-08
1924,1.5469948877466777e-08
1925,1.2097995494286806e-08
1926,2.0063049888108253e-08
1927,1.3379070296082318e-08
1928,1.0283437212876834e-08
1929,7.798284684668033e-09
1930,1.2604324695075775e-08
1931,1.710803587684495e-08
1932,1.0959536389520963e-08
1933,2.867665571670841e-08
1934,2.2765002327673756e-08
1935,5.98414207075848e-09
1936,1.33371855781661e-08
1937,1.7627565185307503e-08
1938,1.9447821131279852e-08
1939,2.5999884911698246e-08
1940,1.2678914806940611e-08
1941,0.0
1942,6.068423541449874e-09
1943,1.1612940831184915e-08
1944,0.0
1945,8.714016175304096e-09
1946,1.9489545977080525e-08
1947,1.3112957830685446e-08
1948,4.348755133776194e-09
1949,1.570721330779179e-08
1950,1.4889506516624351e-08
1951,1.9190522948520083e-08
1952,2.741649041126948e-08
1953,1.1851209791302608e-08
1954,1.172704333640695e-08
1955,6.569925492527773e-09
1956,6.104799332717903e-09
1957,1.501956425897788e-08
1958,1.0753916868111446e-08
1959,1.4726420971555854e-08
1960,5.536666680683311e-09
1961,1.667558180429296e-08
1962,1.2049716779927166e-08
1963,9.052474325699222e-09
1964,1.0951143103454797e-08
1965,1.3680108601477059e-08
1966,1.0524241922382771e-08
1967,1.5777073869571723e-08
1968,1.1677681044375277e-08
1969,1.862120768691966e-08
1970,1.5635665207014426e-08
1971,1.3873672877195986e-08
1972,2.0520587895589415e-08
1973,1.929621262775072e-08
1974,1.518904291231138e-08
1975,1.028066431985053e-08
1976,1.314111219841152e-08
1977,1.880570188461661e-08
1978,1.3069301196821925e-08
1979,1.1703946256602649e-08
1980,1.3644362084619388e-08
1981,1.771153890217647e-08
1982,1.1173503899897241e-08
1983,1.3893695083311286e-08
1984,1.275781880138993e-08
1985,1.5038894574104233e-08
1986,1.4386765556650971e-08
1987,1.711028652096047e-08
1988,8.395175221664886e-09
1989,1.8110803523541108e-08
1990,8.717841559757744e-09
1991,1.3481369798284959e-08
1992,7.162927584403178e-09
1993,3.877445031719162e-09
1994,7.912389854425328e-09
1995,7.591431483433553e-09
1996,5.3380921904988554e-09
1997,6.7128524960935465e-09
1998,9.059445638115449e-09
1999,1.279656292041409e-08
2000,1.0161472552283612e-08
2001,4.8193329327261836e-09
2002,7.886198361006791e-09
2003,1.0000615446870142e-08
2004,1.1452457648886138e-08
2005,8.557123898356167e-09
2006,6.1768350434476815e-09
2007,1.0385647009059085e-08
2008,8.940623352771127e-09
2009,1.3827758493789588e-08
2010,6.140930874920514e-09
2011,1.0707121411712706e-08
2012,5.7872298064864935e-09
2013,8.646287241731443e-09
2014,5.413613113347537e-09
2015,7.979671146074452e-09
2016,8.699628573083373e-09
2017,4.2765391228272165e-09
2018,7.486253394972664e-09
2019,2.806086474294034e-09
