year,pourrais_VERB aller_VERB
1874,2.5690820137924675e-08
1875,3.547346949517305e-08
1876,6.348315650939185e-08
1877,6.184816214727107e-08
1878,4.7104890654736664e-08
1879,2.8102896010295808e-08
1880,5.390990764908565e-08
1881,4.183504387356152e-08
1882,3.7270154962243396e-08
1883,5.9401784824331116e-08
1884,2.706695667598069e-08
1885,3.480643329112354e-08
1886,3.549405036551434e-08
1887,2.9380160526670807e-08
1888,3.550744054336974e-08
1889,2.255449160770695e-08
1890,3.8015443237782165e-08
1891,4.52569608455633e-08
1892,1.9432388143059143e-08
1893,2.8328715373504565e-08
1894,3.465846631911518e-08
1895,2.1065151400989635e-08
1896,4.422771837653272e-08
1897,4.5448366847722355e-08
1898,2.772593887812036e-08
1899,4.0351324059884064e-08
1900,3.945200433008722e-08
1901,3.017919070202879e-08
1902,1.6203935970793282e-08
1903,3.510143287144274e-08
1904,3.171028950532673e-08
1905,2.6835946798087207e-08
1906,3.858138342138773e-08
1907,4.011417686911045e-08
1908,3.6835416494795936e-08
1909,4.400786934866119e-08
1910,4.80973554317643e-08
1911,4.62872549178428e-08
1912,2.7609932118366487e-08
1913,4.8787505591008085e-08
1914,4.3528835647066444e-08
1915,1.4136913861761968e-08
1916,2.4172416956957932e-08
1917,1.6449636319748606e-08
1918,2.756730310693456e-08
1919,3.6831394822911534e-08
1920,2.5745588771997063e-08
1921,5.452378104564559e-08
1922,3.8365264742878935e-08
1923,3.6094224498128824e-08
1924,4.769901096324247e-08
1925,3.519416935660047e-08
1926,5.9074533709235766e-08
1927,4.3481975353643065e-08
1928,4.570416578530967e-08
1929,5.23599084090165e-08
1930,4.20144132817768e-08
1931,4.1059283972799676e-08
1932,5.4797684612140074e-08
1933,4.3588517684156614e-08
1934,4.313368862085554e-08
1935,5.2660450222674626e-08
1936,3.6374142808881516e-08
1937,2.6441348666139675e-08
1938,5.186085871855539e-08
1939,4.435274547631707e-08
1940,3.296517903095264e-08
1941,3.836953510472085e-08
1942,6.675266206457309e-08
1943,3.4838823381733164e-08
1944,6.105053529381621e-08
1945,7.189063211399116e-08
1946,6.960551957035932e-08
1947,5.602809238780537e-08
1948,6.305695166020087e-08
1949,4.0249734212238764e-08
1950,6.912984673590472e-08
1951,5.224086763178093e-08
1952,4.112473561690422e-08
1953,5.8178667217134716e-08
1954,9.186184257714558e-08
1955,4.223523575319632e-08
1956,5.843164885277474e-08
1957,5.301022554249357e-08
1958,5.046068451974861e-08
1959,5.425523497137874e-08
1960,6.505583627358646e-08
1961,4.377340445671507e-08
1962,5.961439342172525e-08
1963,6.660035012373555e-08
1964,6.996563683969725e-08
1965,6.019247678068496e-08
1966,5.0405581930590415e-08
1967,4.930335606445624e-08
1968,5.9286687559279017e-08
1969,5.904285060864822e-08
1970,6.208279046404641e-08
1971,4.778709694619465e-08
1972,6.925698414761428e-08
1973,6.229920046507686e-08
1974,5.6818272753389465e-08
1975,3.655347313724633e-08
1976,4.056603941648973e-08
1977,4.348818549715361e-08
1978,4.217819693508318e-08
1979,4.506019379846293e-08
1980,4.548120458025551e-08
1981,6.072527725109467e-08
1982,5.7729771185677237e-08
1983,5.052253015946917e-08
1984,4.1172960152380256e-08
1985,6.075713798736615e-08
1986,5.454981888419752e-08
1987,6.844114608384189e-08
1988,5.217001941559829e-08
1989,6.036934507847036e-08
1990,5.7210836956755884e-08
1991,6.213153369571955e-08
1992,6.391535123384529e-08
1993,6.20391205075066e-08
1994,5.960666982218754e-08
1995,5.097103894513566e-08
1996,6.619234227400739e-08
1997,6.137464936273318e-08
1998,6.389293361053205e-08
1999,5.895559596069688e-08
2000,5.87598201207129e-08
2001,5.257454205320755e-08
2002,6.703268695673614e-08
2003,6.833753474211335e-08
2004,5.550036874524267e-08
2005,6.845699118684934e-08
2006,7.412202052137218e-08
2007,1.1623935591842383e-07
2008,1.1580235792507665e-07
2009,1.2969483975666662e-07
2010,1.8611744678764808e-07
2011,2.282911282236455e-07
2012,2.7029767579733743e-07
2013,2.99273125392574e-07
2014,2.9861487860216585e-07
2015,2.9635612008860335e-07
2016,3.229219203149114e-07
2017,3.6979486139898654e-07
2018,3.8076635178185825e-07
2019,3.688728327233548e-07
