year,véritables_ADJ règles_NOUN
1906,2.5206503551089554e-08
1907,1.542852956504248e-08
1908,4.0273391732625896e-08
1909,3.190570296851547e-08
1910,1.870452770447173e-08
1911,2.6601870928288918e-08
1912,3.750783328371199e-08
1913,2.9166443482608884e-08
1914,2.4777952134513725e-08
1915,1.6493066468115103e-08
1916,9.888715624128963e-09
1917,1.315970976634162e-08
1918,2.067547733020092e-08
1919,2.1178051312631396e-08
1920,3.9375606775138294e-08
1921,2.877644078580488e-08
1922,1.4018077088007175e-08
1923,3.078624999375279e-08
1924,2.5783249313349188e-08
1925,2.969508017258704e-08
1926,2.1177662290483568e-08
1927,4.2367055641534535e-08
1928,1.7139061725401916e-08
1929,2.33948540540041e-08
1930,3.466189113510154e-08
1931,3.649714130915527e-08
1932,3.1782654730250215e-08
1933,4.817678100899059e-08
1934,3.4746584276490466e-08
1935,1.795242710045386e-08
1936,1.6974599503782883e-08
1937,1.76275650742852e-08
1938,3.5006078036303734e-08
1939,3.364691281149135e-08
1940,1.7750480640899013e-08
1941,1.4757512545315876e-08
1942,1.517105907566929e-08
1943,5.2258233296242906e-08
1944,2.2492303131116387e-08
1945,8.714016175304096e-09
1946,2.7842208538686464e-08
1947,3.2186353138285995e-08
1948,3.044128504825494e-08
1949,3.141442661558358e-08
1950,2.9779013033248702e-08
1951,3.944718685033877e-08
1952,4.007025466989944e-08
1953,3.124409886368085e-08
1954,4.202190395652394e-08
1955,2.9095383879962355e-08
1956,3.0523995775411095e-08
1957,2.6505112771246786e-08
1958,3.887954491688106e-08
1959,2.480239236213322e-08
1960,3.183583308086213e-08
1961,3.682524507553353e-08
1962,3.361236977639237e-08
1963,2.9743844720542256e-08
1964,6.570685684437194e-08
1965,2.5718604135249734e-08
1966,3.2680540162921545e-08
1967,5.3740658534362495e-08
1968,3.1439910230801615e-08
1969,2.679637134406221e-08
1970,3.127133113567382e-08
1971,3.6996461116878265e-08
1972,2.9241837729010456e-08
1973,2.7566018800939673e-08
1974,2.4752514704573514e-08
1975,3.1413140089142644e-08
1976,3.085304456362792e-08
1977,3.0559267116814226e-08
1978,3.148513272321907e-08
1979,3.745263088550388e-08
1980,4.60497204812782e-08
1981,3.415796712147312e-08
1982,3.2279010242497463e-08
1983,2.7787390166622572e-08
1984,4.349256244040589e-08
1985,3.9101127669027846e-08
1986,2.937297871596911e-08
1987,3.422057304192094e-08
1988,3.1781734521896254e-08
1989,3.622160671401531e-08
1990,4.0320017546946474e-08
1991,4.396098773895574e-08
1992,5.0691486563891885e-08
1993,5.317639306667843e-08
1994,4.325439917352014e-08
1995,4.0668382439434936e-08
1996,4.590759394851318e-08
1997,3.212579302580565e-08
1998,4.4343600791307836e-08
1999,5.667049310376093e-08
2000,3.578605500820231e-08
2001,3.7240301509200435e-08
2002,4.5126579806265e-08
2003,4.7502920541564464e-08
2004,3.832168360418109e-08
2005,3.557962202638265e-08
2006,3.623743188851947e-08
2007,3.5950316862320975e-08
2008,3.065356679599063e-08
2009,2.62250594573743e-08
2010,2.881513677666092e-08
2011,2.370862617340208e-08
2012,1.6680838044180746e-08
2013,3.43062392382798e-08
2014,3.161549955166265e-08
2015,3.347028983136102e-08
2016,3.645558521725434e-08
2017,2.9935776524325775e-08
2018,2.9945013579890656e-08
2019,2.9591458172717466e-08
