year,fausses_ADJ rumeurs_NOUN
1921,1.817459427400081e-08
1922,1.3280283539529592e-08
1923,2.441668023323018e-08
1924,2.3204924204378585e-08
1925,1.4297631523163545e-08
1926,0.0
1927,1.6723836537835268e-08
1928,1.9424270192303084e-08
1929,1.6710609784809094e-08
1930,1.8906487042613662e-08
1931,1.0264820993199919e-08
1932,1.6439305028370654e-08
1933,5.735331320977366e-09
1934,1.677421224144382e-08
1935,1.9149254626427137e-08
1936,1.33371855781661e-08
1937,1.1332006444320086e-08
1938,1.0372171566075394e-08
1939,9.176430282309411e-09
1940,1.2678914806940611e-08
1941,1.7709015143196893e-08
1942,6.675266206457309e-08
1943,3.4838823381733164e-08
1944,2.8918675454292497e-08
1945,4.357008265287732e-08
1946,1.9489545977080525e-08
1947,2.0265479960812627e-08
1948,2.2830963786191205e-08
1949,2.3560819073509265e-08
1950,1.701657836861159e-08
1951,2.2388944032059044e-08
1952,1.3708244650523227e-08
1953,1.8315507332999914e-08
1954,2.14995790059902e-08
1955,1.407841132561316e-08
1956,2.2674967681268754e-08
1957,2.9155624414745063e-08
1958,2.9780077070995503e-08
1959,4.5729411368711226e-08
1960,2.4914999841030294e-08
1961,2.084447814354462e-08
1962,4.439369477582389e-08
1963,2.2631186591404173e-08
1964,1.8860301764789256e-08
1965,1.860494691641179e-08
1966,2.880318916709257e-08
1967,2.1200442290592036e-08
1968,3.772789453071468e-08
1969,3.179230390060184e-08
1970,3.173120291521947e-08
1971,2.1067430466814585e-08
1972,3.334595388704287e-08
1973,3.583582497412863e-08
1974,2.3627401424253236e-08
1975,4.740528547486633e-08
1976,2.6282224341311888e-08
1977,3.819908300783936e-08
1978,3.267325099365337e-08
1979,3.686743144104554e-08
1980,3.6953480275769834e-08
1981,3.985096341807548e-08
1982,4.159026545380584e-08
1983,3.2839643893112225e-08
1984,4.987147256274582e-08
1985,3.910112733596094e-08
1986,4.3160296780975216e-08
1987,4.522004326545925e-08
1988,5.097070848725238e-08
1989,4.774666351181622e-08
1990,6.156975462801029e-08
1991,5.8614652687083435e-08
1992,3.250867003368185e-08
1993,5.151462900698789e-08
1994,5.433174260494056e-08
1995,4.609083248396928e-08
1996,3.5231408901381656e-08
1997,5.082588216964723e-08
1998,4.6250853147356e-08
1999,3.88467114031954e-08
2000,6.185244150191949e-08
2001,4.6002722159377285e-08
2002,5.3889023021724825e-08
2003,5.375330536239176e-08
2004,5.373845368694674e-08
2005,6.755624071264066e-08
2006,7.453380668209775e-08
2007,6.351222414657798e-08
2008,6.599031654452858e-08
2009,7.056924999915282e-08
2010,7.321879280652865e-08
2011,7.380265976131284e-08
2012,6.94467530426568e-08
2013,7.168051519013119e-08
2014,8.055456390820837e-08
2015,7.181704192449345e-08
2016,6.296873833466776e-08
2017,8.024800257633302e-08
2018,7.847658634041466e-08
2019,9.846812787372983e-08
