year,puissions_VERB appliquer_VERB
1953,3.232148326759443e-09
1954,2.9317608341017376e-09
1955,7.508486277174597e-09
1956,4.360570571293465e-09
1957,0.0
1958,0.0
1959,3.8753737996444215e-09
1960,2.7683333403416555e-09
1961,2.779263708063695e-09
1962,8.8787386332001e-09
1963,4.526237162849611e-09
1964,4.867174663303331e-09
1965,2.73602163147757e-09
1966,2.769537488234164e-09
1967,4.930335695263466e-09
1968,4.042274071025531e-09
1969,1.3625273131978588e-09
1970,1.8394900047624674e-09
1971,5.138397485282553e-10
1972,1.5390440033513642e-09
1973,3.859242703185828e-09
1974,2.2502286700643026e-09
1975,2.8557400888473694e-09
1976,1.7140580066410394e-09
1977,4.7014254711541525e-09
1978,4.158414057542359e-09
1979,2.925986564150662e-09
1980,1.1370301367108482e-09
1981,3.1627747087981106e-09
1982,2.483000915987077e-09
1983,1.2630632095778083e-09
1984,2.3196033982486597e-09
1985,1.8046674155058895e-09
1986,1.1988970927134801e-09
1987,4.277571630240118e-09
1988,1.1993107618124554e-09
1989,3.2928733073589456e-09
1990,3.2691906959314565e-09
1991,8.20605094986604e-09
1992,5.509944056569793e-09
1993,5.539207315052863e-09
1994,4.747434001473039e-09
1995,2.1689803286761844e-09
1996,2.6690460952494277e-09
1997,1.917957792585412e-09
1998,2.3840645013706308e-09
1999,6.8553016596695215e-09
2000,3.97622823555821e-09
2001,1.7524847129024579e-09
2002,3.066854992184176e-09
2003,3.333538334260311e-09
2004,1.3214374039449694e-09
2005,3.602999676388663e-09
2006,4.529678854225949e-09
2007,1.1983438685803094e-09
2008,1.7029758714315335e-09
2009,3.337734755248789e-09
2010,9.447586046817946e-10
2011,1.911985902935953e-09
2012,2.0425516833455504e-09
2013,3.904775169871755e-09
2014,1.9489005964601347e-09
2015,2.438232948875907e-09
2016,3.72841224560716e-09
2017,7.54683426862357e-10
2018,1.290733298020541e-09
2019,1.7856913725466939e-09
